"course_title","code","subject","description"
"Computational Fluid Dynamics","ENGRMAE 237","ENGRMAE - Mechanical and Aerospace Engr","Mathematical, physical, and computational fundamentals of computational fluid dynamics, numerical methods for solving the Euler and Navier-Stokes equations. Topics include: finite-difference and finite-volume discretization, time marching methods, von Neumann analysis, upwinding, flux splitting, TVD, and other high-resolution shock-capturing schemes.Prerequisite:ENGRMAE 230C.ENGRMAE 230Cwith a grade of B- or betterRestriction: Graduate students only."
"Dynamics of Unsteady Flows","ENGRMAE 239","ENGRMAE - Mechanical and Aerospace Engr","Unsteady potential flow modeling (Kelvin's circulation theorem, unsteady Bernoulli's equation). Theodorsen's frequency response, Wagner's step response, and the Kussner sharp-edged gust. State Space approximations for Unsteady Loads. Vortex Lattice. Flutter.Prerequisite:ENGRMAE 230Ais recommended.Restriction: Graduate students only."
"Inertial Navigation","ENGRMAE 240","ENGRMAE - Mechanical and Aerospace Engr","Provides a basic understanding of 1) theory, operation, and performance characteristics of a strapdown inertial navigation system  (INS), (2) distinction between strap down and gimbaled INS, (3) Kalman filtering theory and its application to strap down INS aiding.Restriction: Graduate students only."
"Dynamics","ENGRMAE 241","ENGRMAE - Mechanical and Aerospace Engr","Kinematics and dynamics of three-dimensional motions. Lagrange's equations, Newton-Euler equations. Applications include robot systems and spinning satellites.Restriction: Graduate students only."
"Robotics","ENGRMAE 242","ENGRMAE - Mechanical and Aerospace Engr","Spatial rigid-body transformations.  Forward and inverse kinematics. Jacobian of serial and parallel chains.  Screw coordinates and transformations. Rate and static analyses using screw theory. Singularity analysis. Trajectory generation. Not offered every year.Restriction: Graduate students only."
"Spatial Mechanism Design","ENGRMAE 245","ENGRMAE - Mechanical and Aerospace Engr","Fundamental kinematic theory required for planar, spherical, and spatial mechanism design. The focus is on algebraic methods for the exact solution of constraint equations. Not offered every year.Restriction: Graduate students only."
"Micro-System Design","ENGRMAE 247","ENGRMAE - Mechanical and Aerospace Engr","Covers the fundamentals of the many disciplines needed for design of Micro-Electro-Mechanical Systems (MEMS): microfabrication technology, structural mechanics on micro-scale, electrostatics, circuit interface, control, computer-aided design, and system integration.Same asEECS 278.Restriction: Graduate students only."
"Micro-System Design","ENGRMAE 247P","ENGRMAE - Mechanical and Aerospace Engr","Covers the fundamentals of the many disciplines needed for design of Micro-Electro-Mechanical Systems (MEMS): microfabrication technology, structural mechanics on micro-scale, electrostatics, circuit interface, control, computer-aided design, and system integration.Restriction: Master of Engineering students only. Graduate students only."
"Micro-Sensors and Actuators","ENGRMAE 249","ENGRMAE - Mechanical and Aerospace Engr","Introduction to the technology of Micro-Electro-Mechanical Systems (MEMS). Fundamental principles and applications of important microsensors, actuation principles on microscale.  Introduction to the elements of signal processing; processing of materials for micro sensor/actuator fabrication; smart sensors and microsensor/microactuator array devices.Same asEECS 279.Restriction: Graduate students only."
"Micro-Sensors and Actuators","ENGRMAE 249P","ENGRMAE - Mechanical and Aerospace Engr","Introduction to the technology of Micro-Electro-Mechanical Systems (MEMS). Fundamental principles and applications of important microsensors, actuation principles on microscale. Introduction to the elements of signal processing; processing of materials for micro sensor/actuator fabrication; smart sensors and microsensor/microactuator array devices.Restriction: Master of Engineering students only. Graduate students only."
"Biorobotics","ENGRMAE 250","ENGRMAE - Mechanical and Aerospace Engr","Sensors, actuators, and neural circuits for biological movement control from an engineering perspective.  Current approaches to robotic and mechatronic devices that support and enhance human movement in health and following neurologic injuries like stroke and spinal cord injury.Restriction: Graduate students only."
"Micro/Nano Robotics","ENGRMAE 251","ENGRMAE - Mechanical and Aerospace Engr","Covers the emerging field of robotics at small scale (micro/nano robotics). Understanding different physical phenomena at small scales, the differences between nano and micro robotics, common fabrication, and different mechanisms of locomotion and environmental interaction.Restriction: School of Engineering students have first consideration for enrollment. Graduate students only.Concurrent with ENGRMAE 173."
"Fundamentals of Microfabrication","ENGRMAE 252","ENGRMAE - Mechanical and Aerospace Engr","Introduces Engineering and Science students to the science of miniaturization. Different options to make very small machines (micro and nano size) are reviewed, materials choices are discussed, scaling laws are analyzed, and many practical applications are listed.Restriction: Graduate students only."
"Fundamentals of Microfabrication","ENGRMAE 252P","ENGRMAE - Mechanical and Aerospace Engr","Introduces engineering and science students to the science of miniaturization. Different options to make very small machines (micro and nano size) are reviewed, materials choices are discussed, scaling laws are analyzed, and many practical applications are listed.Same asENGR 252P.Restriction: Graduate students only. Master of Engineering students only."
"Advanced BIOMEMS Manufacturing Techniques","ENGRMAE 253","ENGRMAE - Mechanical and Aerospace Engr","Introduction to BIOMEMS. Advanced biotechnology/biomedicine equipment based on MEMS and NEMS. Fundamentals of MEMS/NEMS sensing techniques and the biological and physics principles involved and the preferred MEMS and NEMS manufacturing techniques.Restriction: Graduate students only.Concurrent withENGRMAE 153."
"Mechanics of Solids and Structures","ENGRMAE 254","ENGRMAE - Mechanical and Aerospace Engr","Finite deformation kinematics; stress and strain measures; invariance in solid mechanics; objective rates; constitutive theory of elastic and inelastic solids; rate formulations; computational approaches; theories of plates and shells; applications to aerospace vehicles.Restriction: Graduate students only."
"Mechanics of Solids and Structures","ENGRMAE 254P","ENGRMAE - Mechanical and Aerospace Engr","Finite deformation kinematics; stress and strain measures; invariance in solid mechanics; objective rates; constitutive theory of elastic and inelastic solids; rate formulations; computational approaches; theories of plates and shells; applications to aerospace vehicles.Restriction: Master of Engineering students only. Graduate students only."
"Composite Materials and Structures","ENGRMAE 255","ENGRMAE - Mechanical and Aerospace Engr","Motivation for composite materials. Different classifications according to the nature of the matrix (PMC, MMC, CMC) and the reinforcement topology (fibers, whiskers, particulates). Mechanical properties. Failure mechanisms. Designing with composite materials. Advantages and limitations of homogenization techniques for numerical modeling.Restriction: Graduate students only.Concurrent withENGRMAE 155."
"Nanomechanics","ENGRMAE 256","ENGRMAE - Mechanical and Aerospace Engr","Nanoscale materials and the experimental and computational techniques used to measure their properties.  Mechanical behavior is the main focus, but other material properties such as diffusion and electron transport are discussed.Restriction: Graduate students only."
"Materials Failure and Fracture","ENGRMAE 257","ENGRMAE - Mechanical and Aerospace Engr","Introduces materials failure and fracture behaviors under mechanical, thermal, and environmental conditions. It aims to provide a solid foundation and basic understanding of classic fatigue and fracture problems, and their underlying physical mechanisms.Prerequisite: Recommended: A foundational knowledge of mechanical behavior and mechanics of materials, or completion ofENGRMAE 156.Restriction: Graduate students only.Concurrent with ENGRMAE 154."
"Fabrication and Characterization of Nanomaterials ","ENGRMAE 257P","ENGRMAE - Mechanical and Aerospace Engr","Introduction to nanoscale materials and experimental and computational techniques. Topics materials synthesis techniques, thin film deposition, nanoparticle and nanowire growth, characterization with electrons and X-rays, forces and surface interactions at the nanoscale, structure-property scaling laws, and atomistic/multiscale computer modeling.Restriction: Master of Engineering students only. Graduate students only."
"Mechanical Behavior of Solids - Continuum Theories","ENGRMAE 258","ENGRMAE - Mechanical and Aerospace Engr","Presents a continuum, macroscopic view of deformation and failure of solids. Covers elasticity, plasticity, visco-elasticity, visco-plasticity, fracture and fatigue. Topics include discussions of physical behavior, mathematical formalism and measurement techniques.Prerequisite:ENGRMAE 254.ENGRMAE 254with a grade of B- or betterRestriction: Graduate students only."
"Mechanical Behavior of Solids - Atomistic Theories","ENGRMAE 259","ENGRMAE - Mechanical and Aerospace Engr","Presents atomistic mechanisms that control mechanical behavior of materials. Covers plasticity, dislocation theory, strengthening mechanisms, high-temperature diffusion and gain boundary sliding, shear localization, void formation, ductile rupture, brittle fracture and fatigue.Restriction: Graduate students only."
"Mechanical Behavior of Solids - Atomistic Theories","ENGRMAE 259P","ENGRMAE - Mechanical and Aerospace Engr","Presents atomistic mechanisms that control mechanical behavior of materials. Covers plasticity, dislocation theory, strengthening mechanisms, high-temperature diffusion and gain boundary sliding, shear localization, void formation, ductile rupture, brittle fracture, and fatigue.Restriction: Master of Engineering students only. Graduate students only."
"Current Issues Related to Air Quality, Climate, and Energy","ENGRMAE 260","ENGRMAE - Mechanical and Aerospace Engr","Current issues related to the atmosphere, climate, and air quality in the context of energy conversion and sustainability. Topics include transportation systems; building design; impacts on humans and ecosystems; modeling and meteorology; economics; and application to public policies.Prerequisite: ENGRMAE 261 or CHEM 245 or EARTHSS 240. ENGRMAE 261 with a grade of B- or better. CHEM 245 with a grade of B- or better. EARTHSS 240 with a grade of B- or betterSame asCHEM 241.Restriction: Graduate students only."
"Aviation Systems and the Environment","ENGRMAE 263","ENGRMAE - Mechanical and Aerospace Engr","Methods for analyzing aviation systems, flight and engine performance, operations, and associated modern environmental challenges, including fuel burn, emissions, and noise are introduced. Analysis methods and technological and policy approaches for environmental impact mitigation examined.Restriction: Graduate students only.Concurrent withENGRMAE 163."
"Linear Systems I","ENGRMAE 270A","ENGRMAE - Mechanical and Aerospace Engr","Input-output and state-space representations of continuous-time linear systems. State transition matrices,  Controllability and observability. Irreducible realizations.  State feedback and observer design.Restriction: Graduate students only."
"Linear Systems II","ENGRMAE 270B","ENGRMAE - Mechanical and Aerospace Engr","Advanced topics in linear systems: bases, linear operator representations, and Jordan forms. Review of dynamical systems, and stability. Time-varying systems, discrete-time representations, and multi-input/multi-output systems. Introduction to continuous and discrete time linear regulator (LQR) problems. Not offered every year.Prerequisite:ENGRMAE 270A.ENGRMAE 270Awith a grade of B- or betterRestriction: Graduate students only."
"Network Control","ENGRMAE 271","ENGRMAE - Mechanical and Aerospace Engr","Provides foundations on graph-theoretic, probabilistic and analytic techniques that have proven instrumental for studying networked dynamical systems. Applications are presented in diverse areas of science and engineering that include the coordination of vehicles and distribution of energy and resources.Restriction: Graduate students only."
"Robust Control Theory","ENGRMAE 272","ENGRMAE - Mechanical and Aerospace Engr","Methods for control design of systems with uncertainty. Feedback stability and small gain theorem. Multivariable stability margins and multiplier theory. H-infinity-optimal control, linear matrix inequalities. Not offered every year.Prerequisite:ENGRMAE 270A.ENGRMAE 270Awith a grade of B- or betterRestriction: Graduate students only."
"Stochastic Control","ENGRMAE 273","ENGRMAE - Mechanical and Aerospace Engr","Introduction to the tools stochastic differential equations and stochastic control. Focus on optimal control of dynamical systems in the presence of stochastic noise. Basic concepts are also central in various branches of theoretical physics and mathematical finance; examples are discussed.Restriction: Graduate students only."
"Optimal Control","ENGRMAE 274","ENGRMAE - Mechanical and Aerospace Engr","Principles and methods of optimal control. Topics include objectives and issues in controlling nonlinear systems; linear variational and adjoint equations; optimality conditions via variational calculus, maximum principle, and dynamic programming; solution methods; applications to control robots and aerospace vehicles.Prerequisite:ENGRMAE 200AandENGRMAE 270A.ENGRMAE 200Awith a grade of B- or better.ENGRMAE 270Awith a grade of B- or betterRestriction: Graduate students only."
"Nonlinear Feedback Systems","ENGRMAE 275","ENGRMAE - Mechanical and Aerospace Engr","Advanced tools for feedback control system analysis and synthesis. Norms, operators, Lp spaces, contraction mapping theorem, Lyapunov techniques along with their extensions. Circle criterion positivity and passivity. Applications to nonlinear control methods, such as sliding mode or adaptive techniques.Prerequisite:ENGRMAE 270B.ENGRMAE 270Bwith a grade of B- or betterRestriction: Graduate students only."
"Geometric Nonlinear Control","ENGRMAE 276","ENGRMAE - Mechanical and Aerospace Engr","Using the mathematics of differential geometry, a number of the concepts and results of linear systems theory have been extended to nonlinear systems. Describes these extensions and illustrate their use in nonlinear system analysis and design. Not offered every year.Prerequisite:ENGRMAE 200AandENGRMAE 270A.ENGRMAE 200Awith a grade of B- or better.ENGRMAE 270Awith a grade of B- or betterRestriction: Graduate students only."
"Learning Control Systems","ENGRMAE 277","ENGRMAE - Mechanical and Aerospace Engr","Supervised learning for classification and regression: perceptrons, support vector machines, feed-forward neural networks, Gaussian processes. Generalization and model selection: cross-validation, regularization, and Bayesian methods. Unsupervised learning: clustering and dimensionality reduction. Learning control systems. Introduction to reinforcement learning.Restriction: Graduate students only."
"Parameter and State Estimation","ENGRMAE 278","ENGRMAE - Mechanical and Aerospace Engr","Bayesian and frequentist approaches to parameter and state estimation. Properties of estimators. Linear Gaussian systems and the Kalman Filter. Nonlinear state estimation, extended and unscented Kalman Filters. Introduction to Monte Carlo methods and particle filtering. Application to tracking and navigation.Prerequisite:ENGRMAE 200AandENGRMAE 270A.ENGRMAE 200Awith a grade of B- or better.ENGRMAE 270Awith a grade of B- or betterRestriction: Graduate students only."
"Special Topics in Mechanical Systems","ENGRMAE 279","ENGRMAE - Mechanical and Aerospace Engr","Selected topics of current interest in mechanical systems. Topics include robotics, kinematics, control, dynamics, and geometric modeling.Prerequisite:ENGRMAE 270AandENGRMAE 241.ENGRMAE 270Awith a grade of B- or better.ENGRMAE 241with a grade of B- or betterRepeatability: Unlimited as topics vary.Restriction: Graduate students only."
"Design of Computer-Controlled Robots","ENGRMAE 280","ENGRMAE - Mechanical and Aerospace Engr","The basic aspects of mechatronic design are covered, including motor and sensor selection, control strategies, finite state machines, inertial measurement units, and implementation of advanced feedback control laws. Students work in groups to create their own mechatronic device. Materials fee.Restriction: Graduate students only.Concurrent withENGRMAE 172."
"Fundamentals of Experimental Design","ENGRMAE 284","ENGRMAE - Mechanical and Aerospace Engr","Fundamentals and principles of statistical experimental design and analysis. Emphasis addresses understanding and use of designed experiments, response surfaces, linear regression modeling, process optimization, and development of links between empirical and theoretical models.Restriction: Graduate students only.Concurrent withENGRMAE 184."
"Engineering Design Under Uncertainty","ENGRMAE 285","ENGRMAE - Mechanical and Aerospace Engr","Introduces students to statistical and ML methods used in engineering design under uncertainty. Students learn how to probabilistically formulate a design problem, translate the formulations into a computer, and systematically find the solution.Restriction: Graduate students only."
"Design for Human Movement","ENGRMAE 286","ENGRMAE - Mechanical and Aerospace Engr","Introduces techniques for analysis and modeling of human locomotion, with a focus on lower-limb rehabilitating and robotic assistive devices. Discusses background and current research, with assignments covering independent reading, computer simulations, and a final project.Restriction: Master of Engineering students only. Graduate students only."
"Research Communication in Engineering","ENGRMAE 291","ENGRMAE - Mechanical and Aerospace Engr","Guides students along research communication milestones by completion of a conference/journal publication, research proposal, MS thesis, or other significant publication. Peer review, response to reviewers, and a presentation are used to build skill and confidence.Restriction: School of Engineering students have first consideration for enrollment. Graduate students only."
"Master of Science Thesis Project","ENGRMAE 294","ENGRMAE - Mechanical and Aerospace Engr",""
"Special Topics in Mechanical and Aerospace Engineering","ENGRMAE 295","ENGRMAE - Mechanical and Aerospace Engr","Special topics by individual faculty in major fields of interest.Repeatability: Unlimited as topics vary."
"Special Topics in Mechanical and Aerospace Engineering","ENGRMAE 295P","ENGRMAE - Mechanical and Aerospace Engr","Studies in selected areas of Mechanical and Aerospace Engineering. Topics addressed vary each quarter.Repeatability: Unlimited as topics vary.Restriction: Graduate students only. Master of Engineering students only."
"Master of Science Thesis Research","ENGRMAE 296","ENGRMAE - Mechanical and Aerospace Engr",""
"Doctor of Philosophy Dissertation Research","ENGRMAE 297","ENGRMAE - Mechanical and Aerospace Engr",""
"Seminars in Mechanical and Aerospace Engineering","ENGRMAE 298","ENGRMAE - Mechanical and Aerospace Engr",""
"Individual Research","ENGRMAE 299","ENGRMAE - Mechanical and Aerospace Engr",""
"Statics","ENGRMAE 30","ENGRMAE - Mechanical and Aerospace Engr","Addition and resolution of forces, distributed forces, equivalent system of forces centroids, first moments, moments and products on inertia, equilibrium of rigid bodies, trusses, beams, cables.  Course may be offered online.(Design units: 0)Corequisite:MATH 2DPrerequisite:MATH 2DandPHYSICS 7CSame asENGRCEE 30,ENGR 30.Restriction: School of Engineering students have first consideration for enrollment."
"Computer-Aided Design","ENGRMAE 52","ENGRMAE - Mechanical and Aerospace Engr","Develops skills for interpretation and presentation of mechanical design drawings and the use of CAD in engineering design. An integrated approach to drafting based on sketching, manual drawing, and three-dimensional CAD techniques is presented. Materials fee.(Design units: 0.5)Restriction: Mechanical Engineering Majors have first consideration for enrollment. Materials Science and Engr Majors have first consideration for enrollment."
"Electric Circuits","ENGRMAE 60","ENGRMAE - Mechanical and Aerospace Engr","Design and analysis of analog circuits based on lumped circuit elements with emphasis on the use of operational amplifiers. Sinusoidal and transient response. Constructional and laboratory testing of analog circuits, and introduction to data acquisition. Materials fee.(Design units: 2)Corequisite:MATH 3DPrerequisite:PHYSICS 7DandPHYSICS 7LDOverlaps withEECS 70A.Restriction: Mechanical Engineering Majors have first consideration for enrollment. Aerospace Engineering Majors have first consideration for enrollment. Materials Science Engineering Majors have first consideration for enrollment."
"Dynamics","ENGRMAE 80","ENGRMAE - Mechanical and Aerospace Engr","Introduction to the kinematics and dynamics of particles and rigid bodies. The Newton-Euler, Work/Energy, and Impulse/Momentum methods are explored for ascertaining the dynamics of particles and rigid bodies. An engineering design problem using these fundamental principles is also undertaken.(Design units: 0.5)Prerequisite:MATH 2DandPHYSICS 7CSame asENGRCEE 80,ENGR 80.Restriction: Mechanical Engineering Majors have first consideration for enrollment. Aerospace Engineering Majors have first consideration for enrollment. Civil Engineering Majors have first consideration for enrollment. Materials Science and Engr Majors have first consideration for enrollment. Environmental Engineering Majors have first consideration for enrollment."
"Introduction to Thermodynamics","ENGRMAE 91","ENGRMAE - Mechanical and Aerospace Engr","Thermodynamic principles; open and closed systems representative of engineering problems. First and second law of thermodynamics with applications to engineering systems and design.(Design units: 0.5)Prerequisite:PHYSICS 7CandMATH 2DOverlaps withCBE 40B.Restriction: Mechanical Engineering Majors have first consideration for enrollment. Aerospace Engineering Majors have first consideration for enrollment. Civil Engineering Majors have first consideration for enrollment. Materials Science and Engr Majors have first consideration for enrollment. Environmental Engineering Majors have first consideration for enrollment."
"Topics in Design Project       ","ENGRMAE 93","ENGRMAE - Mechanical and Aerospace Engr","Early-stage design/hands-on experience for students, and allows them to participate alongside seniors in the design project.(Design units: 1)Repeatability: Unlimited as topics vary.Restriction: Mechanical Engineering Majors have first consideration for enrollment. Aerospace Engineering Majors have first consideration for enrollment."
"Ophth Priv Practice","OPHTHAL 650B","OPHTHAL - Ophthalmology",""
"Intermediate Accounting Intensive I","MPAC 200A","MPAC - Accounting",""
"Foundations of Taxation Intensive","MPAC 200B","MPAC - Accounting",""
"Intermediate Accounting Intensive II and Special Topics","MPAC 200C","MPAC - Accounting",""
"Auditing Intensive","MPAC 200D","MPAC - Accounting",""
"Emerging Topics in Accounting","MPAC 230","MPAC - Accounting",""
"Financial Statement Analysis and Forecasting","MPAC 231A","MPAC - Accounting","Develops skills to analyze corporate financial reports. Topics include profitability, risk analysis, cash flow analysis, revenue and asset recognition, and forecasting. The skills are useful for students to evaluate financial reporting quality, detect earnings management, and predict firms' financial performance.Prerequisite: Intermediate accounting.Restriction: Accountancy Majors only."
"Advanced Financial Statement Analysis","MPAC 231B","MPAC - Accounting","Develops skills to analyze corporate financial reports with a focus on liabilities, stockholders' equity, and valuation. Topics include forecasting financial statements, cash flows- and earnings-based equity, and valuation models, accounting analysis of mergers and acquisitions, lease pensions, and derivatives.Restriction: Accountancy Majors only."
"Taxes and Business Strategy","MPAC 232","MPAC - Accounting","Develops a student's ability to identify, understand, and evaluate tax-planning opportunities. The focus is on tax planning concepts and the effects of taxes on business decisions rather than on detailed tax rules, compliance, or legal research.Restriction: Accountancy Majors only."
"Non-for-Profit Accounting","MPAC 233","MPAC - Accounting","Focuses on the accounting and reporting for governmental and non-for-profit entities. Topics include preparation of fund basis financial statements and related reporting and auditing issues. Use of non-financial performance measures for non-for-profit entities is also discussed.Restriction: Accountancy Majors only."
"Accounting Policy and Research","MPAC 234","MPAC - Accounting","Considers issues in contemporary accounting standard setting and regulation by examining academic accounting research of the various issues. Enables students to develop their knowledge and better appreciate current debates in accounting.Restriction: Accountancy Majors only."
"Advanced Managerial Accounting","MPAC 235","MPAC - Accounting","Design of cost information and systems used to plan and control organizational activities; procedures used to account for unit, process, and program costs; cybernetic evaluation of costing procedures; cost estimation, analysis, and accounting via computers.Restriction: Accountancy Majors only."
"Forensic Accounting ","MPAC 236","MPAC - Accounting","Elective course focuses on the principles, and application of forensic accounting.  Topics include the identification, detection, and prevention of fraud, valuations, damage calculations, and litigation support. The role of forensic accountants in the legal system will also be discussed.Restriction: Accountancy Majors only."
"International Accounting","MPAC 237","MPAC - Accounting","An online course. A comprehensive study of differences between US GAAP and International Financial Reporting Standards (IFRS).Prerequisite: Intermediate accounting.Restriction: Accountancy Majors only."
"Advanced Auditing and Assurance Services","MPAC 238","MPAC - Accounting","Designed to provide advanced coverage of topics and emerging issues in auditing and assurance services. Provides a deeper understanding of the fundamental concepts of auditing, assurance services, and developing hot-topics within the auditing profession.Prerequisite: Intermediate accounting and basic auditing.Restriction: Accountancy Majors only."
"Ethics in Accounting and Business","MPAC 239","MPAC - Accounting","Designed to introduce students to the intellectual principles of ethical decision making by emphasizing the theories of ethics and their application in the business, and specifically, accounting professions. MPAC capstone course with a final comprehensive exam for the program.Restriction: Accountancy Majors only."
"Accounting Internship","MPAC 241","MPAC - Accounting",""
"Introduction to Data Analytics for Accounting","MPAC 242","MPAC - Accounting","Intended to provide students with an understanding of data analytic thinking and terminology as well as hands-on experience with data analytics tools and techniques. Topics include data reporting, data visualization, and predictive analytics.Restriction: Accountancy Majors only."
"Advanced Analytics for Accounting","MPAC 243","MPAC - Accounting","Provides students with an understanding of how to synthesize and apply data mining methodologies and advanced data analytic techniques and tools to help solve business and accounting problems.Prerequisite:MPAC 242.MPAC 242with a grade of B- or betterRestriction: Accountancy Majors only."
"Data Analytics for Audit ","MPAC 244","MPAC - Accounting","Prepares students to identify opportunities for and apply analytics in the financial audit process. Case studies and project-based learning are used to simulate analytics-based problem solving and business strategy development.Prerequisite:MPAC 242.MPAC 242with a grade of B- or betterRestriction: Accountancy Majors only."
"Accounting for Income Tax","MPAC 245","MPAC - Accounting","Provides students an understanding of how to master common corporate book-tax differences, compute a corporation’s income tax provision under the ASC 740, recognize advanced topics therein, apply guidance for uncertain tax provisions and assess valuation allowances.Restriction: Accountancy Majors only."
"Advanced Taxation","MPAC 246","MPAC - Accounting","Designed to provide students with an understanding of specific current income tax planning strategies for domestic and global businesses. Topics include tax structures, income tax minimization, federal, state, and international income tax deferrals, and income characterization.Restriction: Accountancy Majors only."
"Special Topic Seminars","MPAC 290","MPAC - Accounting","Studies in selected area of Accounting. Topics addressed vary each quarter.Repeatability: Unlimited as topics vary.Restriction: Accountancy Majors only."
"Professional Research and Communication","MPAC 291","MPAC - Accounting","Combines research of the professional accounting literature on a range of technical topics with a written communication and oral presentations of the findings.Restriction: Accountancy Majors only."
"Corporate Governance","MPAC 293","MPAC - Accounting","Provides students with an understanding of corporate board governance. Topics include selection of and legal requirements for board members, roles of board committees, managing relations with stockholders and CEOs, and the role of boards in developing corporate strategy.Restriction: Accountancy Majors only."
"Individual Study","MPAC 299","MPAC - Accounting",""
"Introduction to Global Studies","INTL ST 1","INTL ST - International Studies","Ongoing historical processes that increase global integration, the social, economic, and political interdependence of different regions, cultures, and peoples. Topics include ancient empires, colonialism, nationalism, industrialization, modern imperialism and warfare, decolonization, global social movements, conflict, inequality, and global governance.Same asSOC SCI 4A.Restriction: International Studies Majors have first consideration for enrollment.(III and VIII )."
"Global Trials","INTL ST 100","INTL ST - International Studies","Explores landmark legal trials that have impacted both domestic and world affairs.The trials provide a lens through which to explore society at the time, as well as shed light on the historical legacies of current social, political, and legal values.Restriction: International Studies Majors have first consideration for enrollment. International Studies Minors have first consideration for enrollment."
"Global Social Movements","INTL ST 101A","INTL ST - International Studies","The evolution of global social movements over past 250 years. Age of Revolutions in America, France, and Haiti; nationalism and labor; 1960s global decolonization; 21st century Latin American indigenous movements; Occupy Wall Street, Arab Spring, and social media's #metoo, #BlackLivesMatter.Restriction: International Studies Majors have first consideration for enrollment. International Studies Minors have first consideration for enrollment."
"Global Cities and Slums","INTL ST 101B","INTL ST - International Studies","Cities as a window into contemporary challenges of the globalized world. Global cities such as Los Angeles, London, and Beijing compared with cities with slums in the global south such as Rio de Janeiro, Johannesburg, and Mumbai.Restriction: International Studies Majors have first consideration for enrollment. International Studies Minors have first consideration for enrollment."
"Global Refugees and Stateless People","INTL ST 102A","INTL ST - International Studies","Examines the reason behind global refugee crises, and what it means to be a displaced migrant or stateless person in history and in contemporary society. Links case studies about refugees around the world.Restriction: International Studies Majors have first consideration for enrollment. International Studies Minors have first consideration for enrollment."
"Global Asias and Orientalism","INTL ST 102B","INTL ST - International Studies","Examines how the modern world is divided between East and West in the age of globalization. Through the postcolonial framework of Orientalism, it considers a pluralistic idea of Asia and the current notion of the new world order as one.Restriction: International Studies Majors have first consideration for enrollment. International Studies Minors have first consideration for enrollment."
"Global Health","INTL ST 103A","INTL ST - International Studies","Explores critical global health and planetary health studies, linking past trends to current research of health inequalities. Case studies include maternal-fetal mortality, environmental contamination, disaster preparedness, pharmaceutical development and access, and humanitarian aid interventions.Restriction: International Studies Majors have first consideration for enrollment. International Studies Minors have first consideration for enrollment."
"Global Trafficking","INTL ST 104A","INTL ST - International Studies","Explores trafficking in different global contexts. Covers sex trafficking, labor trafficking, and organ trafficking. Tracks the use of the concept in policy, human rights, law, humanitarianism, and media. Provides a complex and nuanced understanding of the problem and its solutions.Restriction: International Studies Majors have first consideration for enrollment. International Studies Minors have first consideration for enrollment."
"Global Gender and Sexuality","INTL ST 104BW","INTL ST - International Studies","Develops critical insights into gender and sexuality as products of the world around us and as lived experiences across the globe. Topics include agency and resistance, intersectionality, feminisms, colonialism, heteronormativity, gender violence, masculinities, media and popular culture, globalization and migration.Prerequisite: Satisfactory completion of the Lower-Division Writing requirement.Restriction: International Studies Majors have first consideration for enrollment. International Studies Minors have first consideration for enrollment.(Ib)"
"Global Political Ecology","INTL ST 106A","INTL ST - International Studies","Introduction to political ecology and critical analysis of the global scale and globalization. Topics include current and historical climate change, fossil fuels, international trade and investment, soil erosion and pollution, deforestation, waste, ocean ecology, water crisis, wars, revolutions, and refugees.Restriction: International Studies Majors have first consideration for enrollment. International Studies Minors have first consideration for enrollment."
"Global Food Environment","INTL ST 106B","INTL ST - International Studies","Examines the global political ecology of food, focusing on the U.S., China, and Brazil. Topics include the history of agriculture, imperialism/neocolonialism, Malthusianism, migration, agro-industrialization, deforestation, GMOs, agrochemicals, soil and water contamination, land struggles, food security/safety/sovereignty, dietary habits, and climate change.Restriction: International Studies Majors have first consideration for enrollment. International Studies Minors have first consideration for enrollment."
"Global Cultures and Society","INTL ST 11","INTL ST - International Studies","Offers a general overview of the rise of global interdependence in political, economic, demographic, and cultural terms. Considers what drove people from relative isolation into intensified intercourse with one another, and investigates the consequences of this shift.Same asANTHRO 41A.Restriction: Anthropology Majors have first consideration for enrollment. International Studies Majors have first consideration for enrollment.(III and VIII )."
"World of Coffee       ","INTL ST 111B","INTL ST - International Studies","History of consumption and production of coffee over the centuries, and coffee's cultural, economic, social, political consequences. Coffee's social life as a drug, symbol of hospitality, religious rite, sociability and bourgeois lifestyle, commodity, source of livelihoods, imperial revenues, corporate profits.Same asHISTORY 163."
"International Business","INTL ST 112A","INTL ST - International Studies","Introduction to conducting business in the international arena, decision making in the organization, and globalization of markets and production.  Topics covered range from tax and finance to ethics, marketing, and more.  Continuing corporate regulatory scandals discussed.Same asSOC SCI 115D."
"Global Poverty and Inequality in the 21st Century","INTL ST 115","INTL ST - International Studies","Explores a multidisciplinary understanding of poverty and inequality in the 21st century and assesses impact of education, health, technology, and other interventions. Course offered online only.Same asUPPP 115."
"Global Political Ideologies","INTL ST 12","INTL ST - International Studies","An overview of the major political ideologies shaping the current world order and global conflict. Topics include liberalism, democracy, nationalism, capitalism, communism, socialism, fascism, neoliberalism, clash of civilizations, sectarian violence, populist nationalism, and de-globalization.Same asPOL SCI 44B,SOC SCI 12.Restriction: International Studies Majors have first consideration for enrollment.(III and VIII )."
