"code","level","title","description","credits"
"HUMNNTR 4189","Undergraduate","Professional Experience in Human Nutrition","Supervised pre-planned employment experience with approved biomedical or medical professional.
Prereq: Soph standing and HumNntr major. This course is graded S/U.","1 - 3"
"HUMNNTR 5611","Undergraduate","Medical Nutrition Therapy I","The role of medical nutrition therapy in the treatment of established chronic diseases with emphasis on the biochemical and physiological rationale for dietary modifications.
Prereq: 4609, and Human Nutrition or Medical Dietetics major; or Grad standing. Prereq or concur: MedDiet 4900.",3
"HDFS 2420","Undergraduate","Adolescence and Emerging Adult Development","Current theory and research on individual development during the adolescent and emerging adulthood years.",3
"HDFS 4998H","Undergraduate","Undergraduate Honors Research in Human Development and Family Science","Undergraduate honors research in areas of study related to the unit and the instructor's research agenda.
Prereq: Honors standing, Jr or Sr standing, or permission of instructor. Repeatable to a maximum of 10 cr hrs or 10 completions.","1 - 10"
"CONSCI 2910","Undergraduate","Consumer Problems and Perspectives","Study of common imperfections in the market which manifest themselves in safety, fairness, quality, information and education concerns for consumers.
Prereq: Not open to students with credit for CSCFMFNS 243. GE soc sci orgs and polities course. GE foundation social and behavioral sci course.",3
"CSFRST 3191","Undergraduate","Internship","Supervised practical experience at a department approved internship site related to the student's selected major. Includes an investigation and analysis of assigned problems and documentation of experience.
Prereq: CSCFFS 2990 or CSFRSt 2990; and major or minor in Fashion and Retail Studies. This course is graded S/U.",3
"KNSFHP 1104","Undergraduate","Stress Management for the College Student","This course is designed to help students learn to identify, understand, prevent and manage stress as it occurs in everyday life. The course has two components: the lecture component will address the cognitive approach to stress management; the lab portion will allow students to experience the fundamentals of yoga and its role in stress reduction in the physical, psychological & spiritual domains.",3
"HDFS 3300","Undergraduate","Promoting Early Language and Literacy in ECD&E","This ECDE course focuses on theories of language development, the sequence of speech and language development and differentiating between normal and atypical speech. Emphasis will also be placed on the teacher's role in facilitating communication and literacy skills, on planning and implementing appropriate language and literacy activities, and on selecting & using literature to enhance language.",3
"KNSFHP 1148.09","Undergraduate","Indoor Cycling","This course is designed for students with little to no experience with indoor cycling, and for those interested in taking a more focused approach to indoor cycling. The class will introduce students to the concept of indoor cycling as a means to increased fitness. Students will complete cycle workouts that focus on cardiovascular training using the indoor cycle.",1
"HUMNNTR 2410","Undergraduate","Science of Human Nutrition","Basic principles of biological science, emphasizing the interaction between nutrients and physiological (including cellular) processes.
Prereq: Not open to students with credit for 2210. GE nat sci bio course. GE foundation natural sci course.",4
"KNSFHP 1161.07","Undergraduate","Horseback Riding: English Style III","Student will refine level I and II skills, effectively execute patterns and transitions; identify and explain bits, clean equipment, be able to explain feeding basics. Go to go.osu.edu\ridingclasses to schedule individual riding times.
Prereq: 1161.06, or EduPAES 1161.06 or equiv; travel and stable costs (rental of horse and equipment) for activities must be borne by the student. Repeatable to a maximum of 3 cr hrs. This course is graded S/U.",1
"KNSFHP 1139.14","Undergraduate","Introductory Program of Outdoor Pursuits: Skydiving","Introduction to skydiving including techniques, safe practice and strategies. Students will have the opportunity to skydive; however, it is not required to pass the course.
Prereq: Permission of instructor. Not open to students with credit for EduPAES 139.14. This course is graded S/U.",1
"KNSFHP 1102","Undergraduate","First Aid and CPR","Necessary skills to sustain life, reduce pain, and minimize consequences of injury/illness during an emergency. Course is designed to lead to Certification. Lab fees required.
Prereq: Not open to students with credit for EduPAES 102.",2
"KNSFHP 1161.06","Undergraduate","Horseback Riding: English Style II","Student will effectively access equipment; walk, jog, or trot without breaking gait, halts on command; learn to canter/lope, and good seat and control. Go to go.osu.edu\ridingclasses to schedule individual riding times.
Prereq: Travel and stable costs are responsibility of the student. Not open to students with credit for EduPAES 161.06. This course is graded S/U.",1
"KNSFHP 1161.03","Undergraduate","Horseback Riding: Western Style III","Student will refine level I and II skills, effectively execute patterns and transitions; identify and explain bits, clean equipment, identify concentrates and roughages (feeding). Go to go.osu.edu\ridingclasses to schedule individual riding times.
Prereq: 1161.02, EduPAES 1161.02, or equiv; travel and stable costs (rental of horse and equipment) for activities must be borne by the student. Repeatable to a maximum of 3 cr hrs. This course is graded S/U.",1
"CONSCI 5193","Undergraduate","Individual Studies in Consumer Sciences","Problems in various phases of consumer sciences chosen for individual study under the guidance of a faculty member.
Prereq: Permission of instructor. Repeatable to a maximum of 8 cr hrs or 8 completions. This course is graded S/U.","1 - 4"
"HUMNNTR 3998H","Undergraduate","Undergraduate Honors Research in Human Nutrition","Undergraduate honors research in areas of study related to human nutrition and the instructor's research agenda.
Prereq: Honors standing and written permission of instructor. Repeatable to a maximum of 6 cr hrs or 6 completions. This course is graded S/U.","0.5 - 6"
"BUSML 4201","Undergraduate","Consumer Behavior","Examines how and why people behave as consumers. Its goals are to provide an understanding of consumer behavior and to provide experience in the application of this knowledge to marketing management and social policy decision making.
Prereq: 3250, AcctMIS 2200, 2300, BusOBA 2320, and 2321; and BusMHR 2291 or 2292.",3
"BUSML 3250","Undergraduate","Principles of Marketing","Presents the concepts, framework and tools of market-based management to deliver superior customer satisfaction, value and profitability. The focus of the course is on identifying, creating, delivering and measuring value creation.
Prereq: Econ 2001.01 and 2002.01. Not open to students with credit for 3150 (650) or 450 or to students enrolled in UUSS, UExp or PreBSBA-PR.",3
"BUSML 4381","Undergraduate","Logistics Execution I","Issues and strategies in transportation and warehouse management and policy, including modes of transportation, capacity management and carrier management. Emphasis also on warehouse productivity and operations.
Prereq: 3380, and AcctMIS 2200, 2300, and BusOBA 2320, 2321; and BusMHR 2291 or 2292. Not open to students with credit for 5381.",3
"BUSML 3250H","Undergraduate","Principles of Marketing","Presents the concepts, framework and tools of market-based management to deliver superior customer satisfaction, value and profitability. The focus of the course is on identifying, creating, delivering and measuring value creation.
Prereq: Honors standing, and Econ 2001.01 or equiv. Not open to students with credit for 3150 or 3250.",3
"BUSML 4998","Undergraduate","Undergraduate Research in Marketing & Logistics","Undergraduate Research in Marketing & Logistics for non-honors students.
Prereq: BusAdm 2291 or 499, and Jr standing, and permission of instructor. Repeatable to a maximum of 12 cr hrs or 4 completions. This course is progress graded.","1 - 3"
"BUSML 3245H","Undergraduate","The Strategy and Tactics of Software Marketing","This course provides an overview of the economics and marketing strategies essential for success in the software industry. Students will gain an understanding of the unique economic factors influencing software products, including pricing models, market competition, and the impact of network effects.
Prereq: Honors standing, Engr 1282.04H, and enrollment in the Integrated Business and Engineering (IBE) program; or permission of instructor.",3
"CLAS 2220H","Undergraduate","Classical Mythology","Personalities and attributes of the Greek and Roman gods and goddesses, their mythology and its influence on Western culture.  
Prereq: Honors standing, or permission of department or instructor. Not open to students with credit for 2220. GE lit and diversity global studies course. GE foundation lit, vis and performing arts course.",3
"CLAS 2201","Undergraduate","Classical Civilization: Greece","A survey of ancient Greek civilization, concentrating upon important facets of literature, history, art, and archaeology.
Prereq: Not open to students with credit for Classics 224. GE cultures and ideas and diversity global studies course. GE foundation historical and cultural studies course.",3
"CLAS 2301","Undergraduate","Classical Archaeology","Introduction to the principles, methods, and history of archaeological investigation in the ancient Greek and Roman world, illustrated through a selection of major classical sites.
Prereq or concur: English 1110.xx, GE foundation writing and info literacy course, or permission of instructor. Not open to students with credit for History 2210 or HistArt 2301. GE cultures and ideas and historical study and diversity global studies course. GE foundation historical and cultural studies course. Cross-listed in History 2210 and HistArt 2301.",3
"CLAS 2205","Undergraduate","Sports and Spectacles in the Ancient World","The history and social role of gymnastic and athletic competition in Greece and Rome. The evolution of their modern revivals.
Prereq: Not open to students with credit for Classics 250. GE cultures and ideas course. GE foundation historical and cultural studies course.",3
"LATIN 1101.01","Undergraduate","Elementary Latin I","Elementary level introduction to the Latin language; the course begins the study of grammar and vocabulary. Not open to students with 3 or more years of high school study in this language, except by permission of department.
This course is available for EM credit. GE for lang course. GE world languages course.",4
"CLAS 3223","Undergraduate","The Later Roman Empire","An advanced survey of Rome's history in the fourth, fifth, and sixth centuries with focus on themes of decline, fall, and transformation.
Prereq or concur: English 1110.xx, or GE foundation writing and info literacy course, or permission of instructor. Not open to students with credit for History 3223. GE historical study course. GE theme traditions, cultures, and transformations course. Cross-listed in History.",3
"STAT 1430.01","Undergraduate","Statistics for the Business Sciences","Fundamentals of probability and statistics: Data collection and summaries, random variables, simple linear regression, two-way tables, conditional probability, sampling distributions, confidence intervals, hypothesis tests, analysis of variance. In-person recitation.
Prereq: Math 1131, 1141, 1151, 1156, 1161.xx, or 1181H, or permission of instructor. Not open to students with credit for 1430, 1430.02, or BusMgt 2320. GE data anly course. GE foundation math and quant reasoning or data anyl course.",4
"STAT 4193","Undergraduate","Individual Studies","Individual conferences, assigned readings, and reports on minor investigations.
Prereq: Permission of instructor. Repeatable to a maximum of 15 cr hrs or 5 completions. This course is graded S/U.","1 - 3"
"FDSCTE 4191","Undergraduate","Internship","Following time spent working at an internship, this course is intended to allow students to reflect on the skills learned in the workplace. Students will submit written and oral presentations of this reflection during the semester. There is no formal class meeting for this credit.
Prereq: 2400, and enrollment in a Food Science and Technology major, and permission of instructor. Prereq or concur: FAES 3191. Repeatable to a maximum of 2 cr hrs. This course is graded S/U.",1
"FDSCTE 4193","Undergraduate","Individual Studies","Individual study course to permit undergraduate students to explore in-depth selected areas of food science and nutrition.
Prereq: CPHR 2.5 or above, sophomore standing, and permission of instructor. Repeatable to a maximum of 6 cr hrs or 2 completions. This course is progress graded (S/U).","1 - 3"
"FDSCTE 4999","Undergraduate","Research with Distinction","Conducting and reporting research with Distinction. Students are expected to present research findings at two or more local or national meetings (e.g. CFAES Undergraduate Research Forum, Denman, OVIFT Poster Competition, Undergraduate Research Festival, IFT, etc).
Prereq: CPHR 3.0 or above, and GPA 3.0 or above in FdScTe major, and permission of project supervisor. Repeatable to a maximum of 6 cr hrs or 6 completions. This course is progress graded (S/U).","1 - 5"
"FDSCTE 1200","Undergraduate","The Science of Cooking","The Science of Cooking covers the scientific method, sanitation, hygiene, and safety in the kitchen and laboratory; food components; weights and measurements; heat and heat transfer; cooking methods; food preservation, and tasting and evaluation of foods. Students taking the online-only version will need access to a kitchen.
GE foundation natural sci course.",4
"FDSCTE 3400.01","Undergraduate","Sustainability of the Food Supply Chain","Sustainability of the food supply chain depends on the efficiency of transforming raw food materials into consumer food products. This course introduces key operations in each sector of the supply chain along with sustainability parameters, focusing on energy, water, and waste. Students will recognize the challenges of maintaining a sustainable food supply while minimizing environmental impact.
Prereq: Not open to students with credit for 3400, AgSysMt 3400, or FABEng 3400.01. GE theme sustainability course. Cross-listed in FABEng.",3
"FDSCTE 3110","Undergraduate","Alternative Packaging for a Greener Planet","This Sustainability course focuses on the dependence of humans on earth and environmental systems through the lens of alternative packaging. Plastic packaging accounts for >30% of global plastic consumption. Sustainable alternatives to current packaging methods are urgently needed. This course addresses sustainability through the dimensions of engineering, technology, and design.
Prereq: Soph, Jr, or Sr standing. GE theme sustainability course.",4
"ASE 2193","Undergraduate","Individual Studies","Planning, conducting, and reporting a special study appropriate to the needs of the student.
Prereq: CPHR 2.5 or above, and permission of instructor. Repeatable to a maximum of 6 cr hrs or 3 completions. This course is graded S/U.","1 - 3"
"ASE 5193","Undergraduate","Individual Studies in Agriscience Education","Planning, conducting, and reporting a special study appropriate to the needs of the student.
Prereq: CPHR 2.50 or above, and permission of instructor. Repeatable to a maximum of 6 cr hrs or 3 completions. This course is graded S/U.","1 - 3"
"ASE 4999","Undergraduate","Research with Distinction","Conducting and reporting research with distinction. Students are expected to present at the CFAES Undergraduate Research Forum and the Denman University Undergraduate Research Forum.
Prereq: CPHR 3.0 or above, and GPA 3.0 or above, and permission of project supervisor. Repeatable to a maximum of 6 cr hrs or 3 completions. This course is graded S/U.","1 - 6"
"AGRCOMM 4998","Undergraduate","Undergraduate Research","Conducting and reporting an undergraduate research project.
Prereq: Permission of instructor. Repeatable to a maximum of 10 cr hrs or 5 completions. This course is graded S/U.","1 - 10"
"AGRCOMM 4999H","Undergraduate","Honors Research with Distinction","Conducting and reporting research with distinction. Students are expected to present at the CFAES Undergraduate Research Forum and the University's Denman Undergraduate Research Forum.
Prereq: Honors standing, and FAES 4590.01H (590.01H), and CPHR 3.4 or above, and GPA 3.4 or above in major, and permission of honors project supervisor. Not open to students with credit for 683H. Repeatable to a maximum of 6 cr hrs or 3 completions. This course is graded S/U.","1 - 3"
"COMLDR 2193","Undergraduate","Individual Studies","Planning, conducting, and reporting a special study appropriate to the needs of the student.
Prereq: CPHR 2.50 or above, and permission of instructor. Repeatable to a maximum of 6 cr hrs or 3 completions. This course is progress graded (S/U).","1 - 3"
"COMLDR 4999H","Undergraduate","Research with Distinction - Honors","Conducting and reporting research with distinction. Students are expected to present at the CFAES Undergraduate Research Forum and the University's Denman Undergraduate Research Forum.
Prereq: Honors standing, and FAES 4590.01H (590.01H), and CPHR 3.4 or above, and GPA 3.4 or above in major, and permission of honors project supervisor. Repeatable to a maximum of 6 cr hrs or 3 completions. This course is graded S/U.","1 - 6"
"COMLDR 3535","Undergraduate","Toward Cultural Proficiency","Learner effectiveness in multicultural, multiracial learning environments. Strategies for obtaining insight into learners from varied cultures. Theory will connect practice through service-learning using cognitive, affective and psychomotor domains.
Prereq: Not open to students with credit for AEE 594. GE cultures and ideas and diversity soc div in the US course. GE foundation historical and cultural studies course.",3
"MICRBIO 4000.01","Undergraduate","Basic and Practical Microbiology","Provides an understanding of microorganisms and their interaction with the human experience.
Prereq: 3 cr hrs in Biology. Not open to students with credit for 4000 or 4000.02. GE nat sci bio course. GE foundation natural sci course.",4
"MICRBIO 4193","Undergraduate","Individual Studies","Study of selected topics in microbial and cellular biology. Outlined by instructor to meet individual student's needs.
Prereq: Permission of instructor. Repeatable to a maximum of 9 cr hrs or 3 completions. This course is graded S/U.","1 - 3"
"MICRBIO 4998H","Undergraduate","Honors Research in Microbiology","Laboratory and bioinformatics based research in all areas of microbiology.
Prereq: Honors standing, and permission of instructor. Repeatable to a maximum of 20 cr hrs or 8 completions. This course is graded S/U.","1 - 5"
"MICRBIO 4998","Undergraduate","Undergraduate Research in Microbiology","Laboratory and bioinformatics based research in all areas of microbiology.
Prereq: Permission of instructor. Repeatable to a maximum of 20 cr hrs or 8 completions. This course is graded S/U.","1 - 5"
"MICRBIO 4999H","Undergraduate","Honors Research in Microbiology-Thesis","Laboratory and bioinformatics based research culminating in an Honors thesis.
Prereq: Honors standing, and Jr or Sr standing, and permission of instructor. Repeatable to a maximum of 10 cr hrs or 2 completions. This course is graded S/U.","1 - 5"
"MICRBIO 4999","Undergraduate","Undergraduate Research in Microbiology-Thesis","Laboratory and bioinformatics based research in all areas of microbiology. Thesis.
Prereq: Permission of instructor. Repeatable to a maximum of 10 cr hrs or 2 completions. This course is graded S/U.","1 - 5"
"MICRBIO 4100","Undergraduate","General Microbiology","Fundamental principles of microbiology and the characteristics of microorganisms with emphasis on their structure, molecular biology, growth, classification, physiology, ecology, biotechnology, ecology, and applied microbiology.
Prereq: Biology 1113, or 1113H, and Chem 1220.",5
"ENR 4193","Undergraduate","Individual Studies in Environment and Natural Resources","Individual Studies in Environment and Natural Resources. 
Au, Sp Sems. May Term. Prereq: Permission of instructor. Repeatable to a maximum of 9 cr hrs or 3 completions. This course is graded S/U.","1 - 3"
"ENR 3200","Undergraduate","Environmental and Natural Resources Policy","This course covers topics such as the constitutional foundations of environmental policy, the role of congress and the executive branch in designing policy and bureaucratic agencies in implementing them, and the courts system as the final arbiter for environmental disputes. It also covers some of the foundational legislation in the U.S. to protect the environment and advance sustainability.
Prereq: 2100 and 2300, or permission of instructor. Not open to students with credit for 4000. GE soc sci orgs and polities course. GE theme sustainability course.",3
"ENR 1100","Undergraduate","Environment and Natural Resources Survey","Survey course for ENR students. Covers academic requirements; university procedures, grading system, resources; student rights and responsibilities; overview of academic areas of study. Also covers career opportunities in Env't and Nat Res.
Prereq: Not open to students with credit for 119 or FAES 100.",1
"ENR 2000","Undergraduate","Natural Resources Data Analysis","Introductory data analysis course that focuses on understanding and applying basic statistical concepts, problem solving, and interpreting the results of statistical analysis. 
Au, Sp Sems. GE data anly course. GE foundation math and quant reasoning or data anyl course.",3
"ENR 2100","Undergraduate","Introduction to Environmental Science","Introduction to environmental science, the ecological foundation of environmental systems, the ecological impacts of environmental degradation by humans, and strategies for sustainable management of environment and natural resources.
This course is available for EM credit. GE nat sci bio course. GE foundation natural sci course.",3
"ENR 2191","Undergraduate","Part-time Professional Practice in Environment and Natural Resources","Part-time practical professional experience in an environmental/natural resources field.
Prereq or concur: 3191. Repeatable to a maximum of 4 cr hrs. This course is progress graded (S/U).",1
"ENR 2367","Undergraduate","Communicating Environmental and Natural Resources Information","Concepts, skills development, and practice in accessing and communicating information about the environment and natural resources to varied audiences; emphasis on written and oral communication.  
Prereq: English 1110, and Soph standing or above. GE writing and comm course: level 2.",3
"ENR 3000","Undergraduate","Soil Science","Introduction to soil physical, chemical, and biological properties related to land use, environmental quality, and crop production. 
This course is available for EM credit. GE nat sci phys course. GE foundation natural sci course.",3
"ENR 4999H","Undergraduate","Honors Research With Distinction","Conducting and reporting honors research with distinction.
Prereq: Honors standing, and CPHR 3.4 or above, and permission of instructor. Repeatable to a maximum of 6 cr hrs or 3 completions. This course is graded S/U.","1 - 6"
"ENR 4999","Undergraduate","Research with Distinction","Conducting and reporting undergraduate research. Students are expected to present at the CFAES Undergraduate Research Forum and the Denman Undergraduate Research Forum.
Prereq: 3.0 CPHR or above, and permission of project supervisor. Repeatable to a maximum of 9 cr hrs or 3 completions. This course is graded S/U.","1 - 6"
"ENR 1100H","Undergraduate","Environment and Natural Resources Survey - Honors Section","Survey course for ENR Honors students. Covers academic requirements; university procedures, grading system, resources; student rights and responsibilities; overview of academic areas of study. Also covers career opportunities in Env't and Nat Res.
Prereq: Honors standing. Not open to students with credit for 119 or FAES 100H.",1
"ENR 4998","Undergraduate","Undergraduate Research","Conducting and reporting undergraduate research.
Prereq: Permission of research project supervisor. Repeatable to a maximum of 9 cr hrs or 3 completions. This course is graded S/U.","1 - 6"
"ENR 1200","Undergraduate","Exploring Sustainability: SUSTAINS LC Seminar","This seminar course is designed for SUSTAINS Learning Community students to explore their interests within sustainability, learn about opportunities to be involved in campus and local community sustainability efforts, and connect with campus partners and faculty working and researching in the field. Students must be a part of the SUSTAINS Learning Community in order to take this seminar.
Prereq: Must be in the SUSTAINS Learning Community. Repeatable to a maximum of 2 cr hrs. This course is graded S/U. Cross-listed in AEDEcon.",1
"ENR 2501","Undergraduate","Introduction to Sustainability","Introduces students to principles from various disciplines related to social, economic and environmental sustainability. Students will evaluate key concepts and examine tradeoffs that are a part of sustainability action using case studies representing diverse perspectives. Team-taught course with faculty member in AEDE.
Prereq: Not open to students with credit for 2500, AEDEcon 2500, or AEDEcon 2501. GE theme sustainability course, High-Impact Practice Interdisciplinary and Integrated Collaborative Teaching. Cross-listed in AEDEcon.",4
"FAES 1100H","Undergraduate","Introduction to Ohio State University and Food Agricultural, and Environmental Sciences - Honors","Academic requirements; University procedures, grading system, resources; student rights and responsibilities; overview of academic areas of study.
Prereq: Honors standing, or permission of instructor. Not open to students with credit for 100H, 101, ArtsCol 100, ArtsSci 100, Engineer 100, HomeEc 100, NatRes 100, or UVCSurv 100.",0.5
"NURSING 2890.01H","Undergraduate","Sophomore Honors Seminar I","Discussion of topics relevant to academic, professional, and personal development in nursing.
Prereq: Honors standing, and Soph standing in Nursing.",2
"NRSPRCT 8890","Graduate","Doctor of Nursing Practice Professional Seminar","Development of scholarly writing and peer review skills in scholarly nursing practice.
Prereq: Enrollment in DNP program, or permission of instructor.",1
"NURSING 4110","Undergraduate","Nursing Process in the Perioperative Setting","Study of the nursing process with clients in the preoperative, intraoperative and postoperative phase; emphasis on patient care coordinator, nursing roles, and evidence-based practice.
Prereq: Jr or Sr standing in the College of Nursing, or permission of instructor. This course is graded S/U.",2
"ARTEDUC 4193","Undergraduate","Individual Studies","Individual studies and project work in specified problems in the field of art education.
Prereq: Written permission. Not open to students with credit for 493. This course is graded S/U.","1 - 9"
"ARTEDUC 4191","Undergraduate","Internship","Students intern at non-public school sites to synthesize and apply what they have learned in the classroom through concentrated practice in the field.
Prereq: Jr standing or above, and permission of instructor. Repeatable to a maximum of 9 cr hrs or 9 completions. This course is graded S/U.","1 - 9"
"ASL 1101.01","Undergraduate","Elementary American Sign Language I","Students develop elementary ASL skills-receptive (listening) and expressive (speaking). American deaf culture and history introduced with an emphasis on making comparisons and connections to one's own culture. Instruction primarily in ASL. Not open to native users of ASL, or those with EM credit, or to students with 2 or more years of study in high school.
Prereq: Not open to students with credit for 1101 or 1101.02. This course is available for EM credit. GE for lang course. GE world languages course.",4
"ASL 1102.01","Undergraduate","Elementary American Sign Language II","Further development of ASL skills. Focus on talking about others. Continued exploration of American deaf culture and history. Instruction primarily in ASL. Not open to native users or ASL. 
Prereq: 1101, or 1101.01, or 1101.02. Not open to students with credit for 1102 or 1102.02. This course is available for EM credit. GE for lang course. GE world languages course.",4
"ASL 3350","Undergraduate","American Deaf Arts and Literature","Survey of literary and artistic works about being deaf that are written or created by individuals who are American deaf.
Prereq: Not open to students with credit for ArtsSci 350.",3
"ASL 2104","Undergraduate","American Sign Language Conversational Discourse","This course is designed to develop conversational discourse and personal narrative skills in ASL. Students will continue the development of ASL communication skills both receptively  and expressively, by expanding on ASL vocabulary and ASL grammar. These skills will allow students the ability to expand conversations in ASL beyond every day topics. Course instruction is in the target language, ASL.
Prereq: A grade of C or better in 1103, or permission of department.",3
"ASL 1103.02","Undergraduate","Intermediate American Sign Language","Advanced development of ASL skills. Focus on talking about community. Continued exploration of American deaf culture and history. Instruction primarily in ASL. Fully online. Not open to native users of ASL. 
Prereq: Prereq: 1102, 1102.01, or 1102.02. Not open to students with credit for 1103, or 1103.01. GE for lang course. GE world languages course.",4
"POLITSC 2150","Undergraduate","Voters and Elections","Students will engage in an in-depth study of the mechanics of democracy. Students will take a close look at various forms of voting and representation around the world and examine the motivation and tactics of elite actors (candidates, reporters, interest groups, political parties, media personalities, etc.) and the voting public.
GE soc sci indivs and groups course. GE theme citizenship for div and just wrld course.",3
"POLITSC 2400","Undergraduate","Introduction to Political Theory","An introduction to the field of political theory through classic and contemporary texts and selected case studies.
Prereq: Not open to students with credit for 210 or 210H. GE soc sci orgs and polities course.GE foundation social and behavioral sci course. SS Admis Cond course.",3
"POLITSC 4120","Undergraduate","U.S. Congress","Analysis of legislatures and legislators, with a focus on the U.S. Congress and some attention to state legislatures and representative assemblies in other countries.  
Prereq: Not open to students with credit for 517.  GE soc sci orgs and polities course. GE foundation social and behavioral sci course.",3
"POLITSC 4781","Undergraduate","Data Analysis in Political Science I","Covers basic techniques for analyzing data in political science.
Prereq: Math 1151 and one course in PolitSc at the 3000 level or above; or permission of instructor. Not open to students with credit for 485, 4781H (485H), 585, or 585H. GE data anly course. GE foundation math and quant reasoning or data anyl course.",3
"POLITSC 4250","Undergraduate","African Politics","An introductory survey of Sub-Saharan African politics from the pre-colonial period to the contemporary era. It will examine the common themes, issues, and trends that shape politics and development across forty-nine countries. Students will gain an understanding of how context shapes political behavior and how historical and political forces have influenced African politics.
Prereq: Not open to students with credit for 4597.02 (Au13, African Politics), 4250H, or AfAmASt 4250. GE soc sci orgs and polities and diversity global studies course. Cross-listed in AfAmASt.",3
"BIOMEDE 4193","Undergraduate","Individual Studies in Biomedical Engineering","Provides the opportunity to pursue special studies or research in biomedical engineering not otherwise covered.
Prereq: Permission of instructor. Repeatable to a maximum of 12 cr hrs or 10 completions. This course is graded S/U.","1 - 12"
"BIOMEDE 4998.02","Undergraduate","Undergraduate Research in Biomedical Engineering","Individual Studies in Biomedical Engineering.
Prereq: Permission of instructor. Repeatable to a maximum of 12 cr hrs or 10 completions. This course is graded S/U.","1 - 12"
"BIOMEDE 5193","Undergraduate","Individual Studies in Biomedical Engineering","Provides the opportunity to pursue special studies or research in biomedical engineering not otherwise covered.
Prereq: Permission of instructor. Repeatable to a maximum of 12 cr hrs or 10 completions. This course is graded S/U.","1 - 12"
"BIOMEDE 4999H","Undergraduate","Biomedical Engineering Undergraduate Honors Thesis Research","Honors program students are offered the opportunity to pursue an independent distinction project/research. Student presentations and thesis writing included.
Prereq: Honors standing, or permission of instructor. Repeatable to a maximum of 10 cr hrs or 10 completions.","1 - 6"
"BIOMEDE 4999","Undergraduate","Biomedical Engineering Undergraduate Thesis Research","Students are offered the opportunity to pursue an independent distinction project/research. Student presentations and thesis writing included.
Prereq: Permission of instructor. Repeatable to a maximum of 10 cr hrs or 10 completions.","1 - 6"
"CIVILEN 2193","Undergraduate","Individual Studies in Civil Engineering","Individual conferences, assigned readings, and reports on minor investigations.
Prereq: Permission of instructor. Repeatable to a maximum of 10 cr hrs or 10 completions. This course is graded S/U.","1 - 5"
"CIVILEN 4193","Undergraduate","Individual Studies in Civil Engineering","Individual conferences, assigned readings, and reports on minor investigations.
Prereq: Permission of instructor. Repeatable to a maximum of 10 cr hrs or 10 completions. This course is graded S/U.","1 - 5"
"CIVILEN 4998H","Undergraduate","Undergraduate Research in Civil Engineering","Opportunity for undergraduate honors students to conduct research in Civil and Environmental Engineering.
Prereq: Honors standing, and permission of instructor. Repeatable to a maximum of 10 cr hrs or 10 completions. This course is graded S/U.","1 - 5"
"CIVILEN 4998","Undergraduate","Undergraduate Research in Civil Engineering","Opportunity for undergraduate students to conduct research in Civil and Environmental Engineering.
Prereq: Permission of instructor. Repeatable to a maximum of 10 cr hrs or 10 completions. This course is graded S/U.","1 - 5"
"CIVILEN 4998","Undergraduate","Undergraduate Research in Civil Engineering","Opportunity for undergraduate students to conduct research in Civil and Environmental Engineering.
Prereq: Permission of instructor. Repeatable to a maximum of 10 cr hrs or 10 completions. This course is graded S/U.","1 - 5"
"CIVILEN 4999","Undergraduate","Civil Engineering Research for Thesis","Supervised research and project work.
Prereq: Permission of instructor. Repeatable to a maximum of 10 cr hrs or 10 completions. This course is graded S/U.","1 - 5"
"ENVENG 4998H","Undergraduate","Undergraduate Research in Environmental Engineering","Supervised undergraduate honors research on various topics in Environmental Engineering.
Prereq: Honors standing, and permission of instructor. Repeatable to a maximum of 10 cr hrs or 10 completions. This course is graded S/U.","1 - 5"
"ENVENG 4998","Undergraduate","Undergraduate Research in Environmental Engineering","Opportunity for undergraduate students to conduct research in Civil and Environmental Engineering.
Prereq: Permission of instructor. Repeatable to a maximum of 10 cr hrs or 10 completions. This course is graded S/U.","1 - 5"
"ENVENG 4999","Undergraduate","Environmental Engineering Research for Thesis","Supervised research and project work.
Prereq: Permission of instructor. Repeatable to a maximum of 10 cr hrs or 10 completions. This course is progress graded (S/U).","1 - 5"
"ARABIC 1103.01","Undergraduate","Intermediate Modern Standard Arabic I","Building on previously acquired functional abilities; using Arabic to express opinion and feelings; oral interaction in the classroom; reading authentic texts or various genres. Classroom track. Not open to native speakers of Arabic.
Prereq: 1102.01, 1102.02, or 4 cr hrs of 1102.51. Not open to students with credit for 1103.02 or 4 cr hrs of 1103.51. This course is available for EM credit. GE for lang course. GE world languages course.",4
"HINDI 1103","Undergraduate","Intermediate Hindi I","Continued study of Hindi language, with appropriate cultural background; development of listening, reading, speaking, and writing.
Prereq: 1102. This course is available for EM credit. GE for lang course. GE world languages course.",4
"TURKISH 1101","Undergraduate","Elementary Turkish I","Introduction to Turkish; development of listening, reading, speaking, and writing skills.
Prereq: Not open to native speakers through regular enrollment, or EM credit. This course is available for EM credit. GE for lang. GE world languages course.",4
"URDU 1101","Undergraduate","Elementary Urdu I","Study of Urdu language, with appropriate cultural background; development of listening, reading, speaking, and writing skills.
Prereq: Not open to students with credit for 101, or to native speakers through regular enrollment or EM credit. This course is available for EM credit. GE for lang course. GE world languages course.",4
