"subject","level","course_code","course_name","description","credits"
"GEOL - Geology ","Undergraduate Courses","GEOL 4312","Undergraduate Research","Prerequisites: Senior standing, GEOS majors only, prior approval from specific professor. Independent research in an area of current interest in the geosciences.","3 Semester Credit Hours"
"GEOL - Geology ","Undergraduate Courses","GEOL 4318","Geology of Texas","Prerequisites: GEOL 1303 and GEOL 1101 , or GEOL 3324 . A comprehensive study of the structure, stratigraphy, and economic geology of Texas and parts of adjacent states.","3 Semester Credit Hours"
"GEOL - Geology ","Undergraduate Courses","GEOL 4321","Igneous and Metamorphic Processes","Prerequisites: C or better in GCH 3303 and GEOL 3321 . Application of field, experimental, geochemical, and petrographic data to modelling and interpreting high-temperature earth processes.","3 Semester Credit Hours"
"GEOL - Geology ","Undergraduate Courses","GEOL 4324","Geology of Hydrocarbons","Prerequisite: C or better in GEOL 3324 ; for petroleum engineering majors making progress in the PE program only. A study of the world-wide distribution and geologic setting of petroleum in addition to methods of exploration.","3 Semester Credit Hours"
"GEOL - Geology ","Undergraduate Courses","GEOL 4327","Depositional Systems and Stratigraphy","Prerequisite: C or better in GEOL 3325 .  Sedimentation of strata in various depositional systems and basin-scale perspective of stratigraphic concepts.","3 Semester Credit Hours"
"GEOL - Geology ","Undergraduate Courses","GEOL 4331","Digital Imagery in Geosciences","Prerequisites: Senior standing, GEOL 1303 and GEOL 1101 or GEOG 1401 , MATH 1320 or higher. Introduction to digital image processing, visualization, and raster GIS modeling applied to geosciences. Involves computer lab exercises.","3 Semester Credit Hours"
"GEOL - Geology ","Undergraduate Courses","GEOL 4332","Spatial Data Analysis and Modeling in Geosciences","Prerequisites: GIST 3300 and MATH 1451 . Introduction to vector GIS data manipulation, geostatistics, and spatial modeling applied to geosciences. Involves computer lab exercises.","3 Semester Credit Hours"
"GEOL - Geology ","Undergraduate Courses","GEOL 4334","Structural Analysis in Hydrocarbon Systems","Prerequisites: C or better in PETR 3303 , PETR 3103 , PETR 3304 , and PETR 3306 ; petroleum engineering majors in good standing in the PE program as determined by the PE department and partner advisors. Structural and geological analysis of hydrocarbon systems.","3 Semester Credit Hours"
"GEOL - Geology ","Undergraduate Courses","GEOL 4340","Extraordinary Events in Deep Time","Prerequisites: C or better in GEOL 4327 . Capstone course focusing on the geologic evolution of North America, emphasizing the interactions of all spheres of the Earth system.","3 Semester Credit Hours"
"GEOL - Geology ","Undergraduate Courses","GEOL 4351","Imaging Spectroscopy and Raster Classification","Prerequisite: C or better in GEOL 4331 , or instructor consent. A comprehensive study of the techniques of reflectance spectroscopy, and of per-pixel and sub-pixel classification methods. Involves computer lab exercises.","3 Semester Credit Hours"
"GEOL - Geology ","Undergraduate Courses","GEOL 4361","Advanced Structural Geology","Prerequisites: Senior standing in major, GEOL 3402 . Topics include deformation mechanisms and rheology, tectonic evolution of oceanic lithosphere and evolution of arcs.","3 Semester Credit Hours"
"GEOL - Geology ","Undergraduate Courses","GEOL 4362","Tectonics","Prerequisites: Senior standing in the major and GEOL 3402 . Survey of the plate tectonic paradigm in terms of historical development and modern application.","3 Semester Credit Hours"
"GEOL - Geology ","Undergraduate Courses","GEOL 4370","Hydrogeology","Prerequisites C or better in GEOL 3402 and GEOL 3325 . Physical, chemical, and geologic mechanisms of surface and groundwater now and solute transport through aquifers, with emphasis on principles, practical applications, and case studies.","3 Semester Credit Hours"
"GEOL - Geology ","Graduate Courses","GEOL 5001","Problems in Geosciences","Prerequisite: Instructor consent. Independent study under guidance of a faculty member.","V1-6 Semester Credit Hours"
"GEOL - Geology ","Graduate Courses","GEOL 5101","Seminar","","1 Semester Credit Hours"
"GEOL - Geology ","Graduate Courses","GEOL 5124","Modern Carbonate Environments: Field study of Bahamian Carbonate Sediments","Corequisite: GEOL 5422 . Exposes students to modern carbonate depositional systems and uses the student’s observations to compare with ancient systems.","1 Semester Credit Hours"
"GEOL - Geology ","Graduate Courses","GEOL 5300","Individual Studies in Geology","Prerequisite: Instructor consent. A structured independent graduate studies course under the guidance of a faculty member. May be repeated for credit.","3 Semester Credit Hours"
"GEOL - Geology ","Graduate Courses","GEOL 5303","Advanced Igneous Petrology","Phase relations, geochemistry, and tectonic setting of igneous rocks. Emphasis on modern concepts of magma origin and differentiation. May be repeated for credit.","3 Semester Credit Hours"
"GEOL - Geology ","Graduate Courses","GEOL 5304","Techniques in Electron Microscopy and Microanalysis","Prerequisite: Graduate student in good standing. Application of electron microscopy and microanalysis to the study and characterization of organic and inorganic substances.","3 Semester Credit Hours"
"GEOL - Geology ","Graduate Courses","GEOL 5305","Geology of Clays","Introduction to clay mineral compositional and structural properties, laboratory identification and occurrences (soils, sediments, rocks). Uses of clays, emphasis on hydrocarbon exploration and production.","3 Semester Credit Hours"
"GEOL - Geology ","Graduate Courses","GEOL 5311","Micropaleontology","Lectures and labs are designed to acquaint the student with basic lab techniques, morphology, and classification within the major microfossil groups, and to demonstrate the usefulness and importance of microfossils as biostratigraphic and paleoecologic tools.","3 Semester Credit Hours"
"GEOL - Geology ","Graduate Courses","GEOL 5322","Sedimentary Processes","Principles of fluid dynamics important in sedimentation, interpretation of primary sedimentary structures, and description of depositional environments.","3 Semester Credit Hours"
"GEOL - Geology ","Graduate Courses","GEOL 5325","Petrophysics","Physical properties of reservoir rocks, including porosity, permeability, composition, and texture. Interrelationships between rock characteristics and electric log responses in geologic exploration and exploitation.","3 Semester Credit Hours"
"GEOL - Geology ","Graduate Courses","GEOL 5327","Problems in Paleontology","Subjects include origin of life, Precambrian life, origin and relationships of fish, amphibians, reptiles, dinosaurs, pterosaurs, birds, and primates; mass extinction and impact cratering processes.","3 Semester Credit Hours"
"GEOL - Geology ","Graduate Courses","GEOL 5340","Advances in Historical Geology","Survey of currently important topics in earth processes and history for science educators, with an emphasis on how geologists interpret modern and past geologic events.","3 Semester Credit Hours"
"GEOL - Geology ","Graduate Courses","GEOL 5341","Digital Imagery in Geosciences","Introduction to digital image processing, visualization, and raster GIS modeling applied to geosciences. Involves computer lab exercises.","3 Semester Credit Hours"
"GEOL - Geology ","Graduate Courses","GEOL 5342","Spatial Data Analysis and Modeling in Geosciences","Introduction to vector GIS data manipulation, geostatistics, and spatial modeling applied to geosciences. Involves computer lab exercises.","3 Semester Credit Hours"
"GEOL - Geology ","Graduate Courses","GEOL 5351","Imaging Spectroscopy and Raster Classification","Prerequisite: C or better in GEOL 5341 or instructor consent. A comprehensive study of the techniques of reflectance spectroscopy, and of per-pixel and sub-pixel classification methods. Involves computer lab exercises.","3 Semester Credit Hours"
"GEOL - Geology ","Graduate Courses","GEOL 5361","Advanced Structural Geology","Topics include deformation mechanisms and rheology, tectonic evolution of oceanic lithosphere, and evolution of arcs. May be repeated once for credit.","3 Semester Credit Hours"
"GEOL - Geology ","Graduate Courses","GEOL 5362","Advanced Tectonics","Survey of the plate tectonics paradigm in terms of its historical development and modern application.","3 Semester Credit Hours"
"GEOL - Geology ","Graduate Courses","GEOL 5399","Advanced Petrophysics","Analysis of complex reservoirs, such as shaly sands, carbonates with complex pore geometries, fractured reservoirs, and gas-bearing dolomites. The development and use of new logging tools is also covered.","3 Semester Credit Hours"
"GEOL - Geology ","Graduate Courses","GEOL 5410","Vertebrate Paleontology","An introduction to the principles of paleontology governing evolution, morphology, and phylogeny of major groups of vertebrates.","4 Semester Credit Hours"
"GEOL - Geology ","Graduate Courses","GEOL 5420","Geological Correlation","Principles and methods of correlation of stratigraphic units with the geological time scale including chronostratigraphy, biostratigraphy, ecostratigraphy, sequence stratigraphy, event stratigraphy, chemostratigraphy, and related techniques.","4 Semester Credit Hours"
"GEOL - Geology ","Graduate Courses","GEOL 5422","Sedimentary Geology of Carbonates","Classification and interpretation of carbonate rocks, processes that control their deposition and diagenesis, evolution of carbonate systems through times.","4 Semester Credit Hours"
"GEOL - Geology ","Graduate Courses","GEOL 5424","Clastic Sedimentology","Origins, classification, petrology, diagenesis, and facies analysis of clastic sedimentary rocks. Survey of modern and ancient clastic depositional systems.","4 Semester Credit Hours"
"GEOL - Geology ","Graduate Courses","GEOL 5426","Sequence Stratigraphy","Fundamental concepts of sequence stratigraphy and application to interpretation of sedimentary basins across a range of depositional systems. Application to petroleum exploration and production.","4 Semester Credit Hours"
"GEOL - Geology ","Graduate Courses","GEOL 6000","Master’s Thesis","","V1-6 Semester Credit Hours"
"GEOL - Geology ","Graduate Courses","GEOL 7000","Research","","V1-12 Semester Credit Hours"
"GEOL - Geology ","Graduate Courses","GEOL 8000","Doctor’s Dissertation","","V1-12 Semester Credit Hours"
"GERM - German ","Undergraduate Courses","GERM 1310","Survival German Language and Cultures","A study of situation-based German and the cultures of German-speaking countries to prepare students to study abroad.  Fulfills multicultural requirement.","3 Semester Credit Hours"
"GERM - German ","Undergraduate Courses","GERM 1501","A Beginning Course in German I","TCCNS:[GERM1511]Prerequisite: Permission of department. Oral practice, elementary reading, and grammar.","5 Semester Credit Hours"
"GERM - German ","Undergraduate Courses","GERM 1502","A Beginning Course in German II","TCCNS:[GERM1512]Prerequisite: GERM 1501 . Oral practice, elementary reading, and grammar.","5 Semester Credit Hours"
"GERM - German ","Undergraduate Courses","GERM 1507","Comprehensive German Review - First Year","Prerequisite: Two years of high school German or permission of department. A comprehensive one-semester review.","5 Semester Credit Hours"
"GERM - German ","Undergraduate Courses","GERM 1607","Intensive German Review","Intensive immersion development of the four language skills in German: oral comprehension, speaking, reading, and writing. Taught in Germany.","6 Semester Credit Hours"
"GERM - German ","Undergraduate Courses","GERM 2301","A Second Course in German I","TCCNS:[GERM2311]Prerequisite: GERM 1502 or GERM 1507 . Reading, cultural background, grammar review, and conversation.","3 Semester Credit Hours"
"GERM - German ","Undergraduate Courses","GERM 2302","A Second Course in German II","TCCNS:[GERM2312]Prerequisite: GERM 2301 . Reading, cultural background, grammar review, and conversation.","3 Semester Credit Hours"
"GERM - German ","Undergraduate Courses","GERM 2312","The Holocaust in Literature and Film","Examination of the Holocaust as represented in literature, film, and art. Conducted in English.  Fulfills core Language, Philosophy, and Culture and multicultural requirements.","3 Semester Credit Hours"
"GERM - German ","Undergraduate Courses","GERM 2313","Northern Myths and Legends","Introduction to Germanic myths, epics, sagas, legends, and fairy tales. Selected readings in translation with lectures and discussions in English.  Fulfills core Language, Philosophy, and Culture requirements.","3 Semester Credit Hours"
"GERM - German ","Undergraduate Courses","GERM 2607","Intensive German Second Year","Intensive immersion development. Reading, writing, culture, conversation, and composition. Taught in Germany. Equivalent to GERM 2301 and GERM 2302 .","6 Semester Credit Hours"
"GERM - German ","Undergraduate Courses","GERM 3301","Cultures of the German Speaking World","Prerequisite: GERM 2302 or GERM 2607 . Study of video, internet, and textual resources on the diverse cultures of the contemporary German-speaking world. Conducted in German.   (CL)","3 Semester Credit Hours"
"GERM - German ","Undergraduate Courses","GERM 3303","Conversation and Composition","Prerequisite: GERM 2302 or GERM 2607 . Emphasis on fluency in spoken and written German. Conducted in German. May be taken concurrently with GERM 3301 . May be repeated once for credit with consent of instructor.  (CL)","3 Semester Credit Hours"
"GERM - German ","Undergraduate Courses","GERM 3304","Introduction to Literature","Prerequisite: GERM 2302 or GERM 2607 . An introduction to periodization of German literature, literary genres, and literary theory. Conducted in German.   (CL)","3 Semester Credit Hours"
"GERM - German ","Undergraduate Courses","GERM 3305","German Language Studies","Prerequisite: GERM 2302 or GERM 2607 . Development of listening, speaking, reading, and writing skills in Germany. May be repeated once for credit.    Offered each summer.","3 Semester Credit Hours"
"GERM - German ","Undergraduate Courses","GERM 3306","Contemporary Germany","Prerequisite: GERM 2302 or GERM 2607 . Readings in cultural history and literature, lectures, and tours on location. Taught in German. May not be repeated for credit toward major or minor.  (CL)","3 Semester Credit Hours"
"GERM - German ","Undergraduate Courses","GERM 3314","Cultural Excursions in Germany","Prerequisite: GERM 2302 or GERM 2607 . Students participate in lectures on German culture and history, visit sites of cultural and historical interest, and discuss social and cultural topics. Taught in German-speaking countries.","3 Semester Credit Hours"
"GERM - German ","Undergraduate Courses","GERM 4000","Individual and Group Studies in German","Prerequisite: Consent of department. Study in German under the guidance of a faculty member. May be repeated for credit up to 6 hours.","V1-6 Semester Credit Hours"
"GERM - German ","Undergraduate Courses","GERM 4301","Grammar","Prerequisites: GERM 3301 and GERM 3303 . Review of grammatical structure. Practice in pronunciation and in written and spoken German.","3 Semester Credit Hours"
"GERM - German ","Undergraduate Courses","GERM 4303","German Classics","Prerequisites: 6 hours from GERM 3301 , GERM 3303 , GERM 3304 . Examination of iconic, well-known, and influential German-language literature. Conducted in German.   (CL)","3 Semester Credit Hours"
"GERM - German ","Undergraduate Courses","GERM 4305","Readings in German Language and Literature","Prerequisites: GERM 3303 and GERM 3304 . Readings from a particular period or study of a literary theme. Conducted in German. May be repeated once for credit with consent of instructor.  (CL)","3 Semester Credit Hours"
"GERM - German ","Undergraduate Courses","GERM 4306","German Culture in Theory and Practice","Examination of German-language literature, film, media, and other cultural production through current theoretical frameworks in German Studies.","3 Semester Credit Hours"
"GERM - German ","Undergraduate Courses","GERM 4309","Business German","Prerequisites: 6 hours from GERM 3301 , GERM 3303 , GERM 3304 . Oral and written German with special attention to the idiomatic expressions and cultural practices of business in Germany.","3 Semester Credit Hours"
"GERM - German ","Undergraduate Courses","GERM 4335","Internship to German","Prerequisites: Completion or concurrent enrollment in at least one GERM 3000- or 4000-level course and consent of instructor. Teaching experience and service learning in community schools, while improving German language and communication skills. May be repeated once for credit.","3 Semester Credit Hours"
"GERM - German ","Graduate Courses","GERM 5303","Intensive German for Graduate Research I","Accelerated grammar course acquainting graduates with German as a research skill to be used in translating research articles in the graduate’s field. Equivalent to two years of normal coursework. Not intended to meet major or minor degree requirements.","3 Semester Credit Hours"
"GERM - German ","Graduate Courses","GERM 5304","Intensive German for Graduate Research II","Accelerated grammar course acquainting graduates with German as a research skill to be used in translating research articles in the graduate’s field. Equivalent to two years of normal coursework. Not intended to meet major or minor degree requirements.","3 Semester Credit Hours"
"GERM - German ","Graduate Courses","GERM 5311","German Literature of the Nineteenth Century","A study of German literature from 1830 to 1895, including Biedermeier, junges Deutschland, poetic realism, and naturalism.","3 Semester Credit Hours"
"GERM - German ","Graduate Courses","GERM 5312","Moments of Crisis in German-Language Culture 1890-1945","A study of German-language literature, film, and culture from 1890 to 1945, with special emphasis on how they reflect contemporaneous moments of crisis.","3 Semester Credit Hours"
"GERM - German ","Graduate Courses","GERM 5313","Germany and the European Union","Prerequisite: Graduate standing. A study of the social, economic, and political structures of the European Union and their representation, with particular emphasis on the German perspective.","3 Semester Credit Hours"
"GERM - German ","Graduate Courses","GERM 5314","History of the German Language","Development of German from its origins to the present with emphasis on its phonological, morphological, and syntactic change.","3 Semester Credit Hours"
"GERM - German ","Graduate Courses","GERM 5315","German-language Literature and Culture in the West 1945-1989","A study of “West” (FRG, Austrian, Swiss) German-language literature, film, and culture from the post-war period to reunification, 1945-1989.","3 Semester Credit Hours"
"GERM - German ","Graduate Courses","GERM 5316","Literature of the New Germany","A study of contemporary German literature and culture from the reunification of Germany to the present.","3 Semester Credit Hours"
"GERM - German ","Graduate Courses","GERM 5317","East-German Literature and Culture","Prerequisite: Graduate standing. A study of East German Literature and Culture, its characteristics and effects from 1945 to today.","3 Semester Credit Hours"
"GERM - German ","Graduate Courses","GERM 5318","German Romanticism","Study of German literature from 1790 to 1830.","3 Semester Credit Hours"
"GERM - German ","Graduate Courses","GERM 5319","The German “Klassik”","Introduction to the classical works of Goethe and Schiller and other authors of the period.","3 Semester Credit Hours"
"GERM - German ","Graduate Courses","GERM 5321","Seminar in Modern German Literature","Study of various genres of 20th century German literature, with special emphasis on philosophical and psychological aspects. May be repeated for credit up to 12 hours.","3 Semester Credit Hours"
"GERM - German ","Graduate Courses","GERM 5322","German Business Culture","This seminar offers a study of business cultures in German-speaking countries, with a focus on intercultural competence. Conducted in English.","3 Semester Credit Hours"
"GERM - German ","Graduate Courses","GERM 5324","German Literature of the Enlightenment","A study of German literature from 1700 to 1785, including “Aufklärung,” “Sturm und Drang,” and “Empfindsamkeit.”","3 Semester Credit Hours"
"GERM - German ","Graduate Courses","GERM 6000","Master’s Thesis","","V1-6 Semester Credit Hours"
"GERM - German ","Graduate Courses","GERM 7000","Research","","V1-12 Semester Credit Hours"
"GIST - Geographic Information Science and Technology ","Undergraduate Courses","GIST 2300","Digital Earth","A broad survey and introduction to Geospatial Technologies (GPS, GIS, drones, apps, social media, cloud, and GeoAI) and their effects on individuals and society.","3 Semester Credit Hours"
"GIST - Geographic Information Science and Technology ","Undergraduate Courses","GIST 3300","Geographic Information Systems","An introduction to geographic information systems (GIS) for thematic mapping and spatial analysis. Laboratory emphasizes experience with professional GIS software.   (CL)","3 Semester Credit Hours"
"GIST - Geographic Information Science and Technology ","Undergraduate Courses","GIST 3301","Remote Sensing of the Environment","Prerequisites: GIST 3300 ; and either MATH 1451 , MATH 2300 , MATH 3342 , or SOC 3391 . An introduction to the use of satellite data to monitor our environment, including physical processes, sensors, analysis methods, and applications.","3 Semester Credit Hours"
"GIST - Geographic Information Science and Technology ","Undergraduate Courses","GIST 4001","Problems in Geographic Information Systems","Prerequisite: Instructor consent. Independent study under guidance of faculty member. May be repeated up to 3 times.","V1-6 Semester Credit Hours"
"GIST - Geographic Information Science and Technology ","Undergraduate Courses","GIST 4302","Spatial Analysis and Modeling","Prerequisite: GIST 3300 . A course in GIS focused on spatial data management, editing, topology, models and cartographic representations.","3 Semester Credit Hours"
"GIST - Geographic Information Science and Technology ","Undergraduate Courses","GIST 4304","Exploring Spatial Databases","Prerequisite: GIST 3300 . Students will explore basic database concepts, fundamental design principles, and basic techniques of building a database to manage, analyze, and visualize geospatial data.    [ GIST 5304 ]","3 Semester Credit Hours"
"GIST - Geographic Information Science and Technology ","Undergraduate Courses","GIST 4308","Cartographic Design","Prerequisite: GIST 3300 . Theory and practice of cartographic design with an emphasis on visual thinking and communication using GIS.","3 Semester Credit Hours"
"GIST - Geographic Information Science and Technology ","Undergraduate Courses","GIST 4310","GPS Field Mapping","Prerequisite: GIST 3300 . Use of the global positioning system (GPS) and mobile field mapping software for navigation and the acquisition of spatial data.","3 Semester Credit Hours"
"GIST - Geographic Information Science and Technology ","Undergraduate Courses","GIST 4312","Web Mapping and Geovisualization","Prerequisite: GIST 3300 . Study of the technology used to create visualizations for geospatial data analysis with an emphasis on interactive web-mapping applications.    [ GIST 5312 ]","3 Semester Credit Hours"
"GIST - Geographic Information Science and Technology ","Undergraduate Courses","GIST 4314","Geospatial Data Science","Prerequisite: GIST 4304 . Introduction to spatial data science and machine learning tools to investigate and identify patterns, clusters, trends, and anomalies based on geospatial big data.    [ GIST 5314 ]","3 Semester Credit Hours"
"GIST - Geographic Information Science and Technology ","Undergraduate Courses","GIST 4316","Spatial Programming and Geostatistics","Prerequisite: GIST 4304 . Students will explore statistical applications with emphasis on geographic-specific problems and develop programming skills in Python.    [ GIST 5316 ]","3 Semester Credit Hours"
"GIST - Geographic Information Science and Technology ","Undergraduate Courses","GIST 4322","Remote Sensing Image Processing and Analysis","Prerequisite: GIST 3301 or permission of instructor. A second course in Remote Sensing focusing on preprocessing of Earth observation data including georegistration and calibration, and image analysis including feature extraction and classification.    [ GIST 5322 ]","3 Semester Credit Hours"
"GIST - Geographic Information Science and Technology ","Graduate Courses","GIST 5001","Problems in Geographic Information Systems","Prerequisite: Instructor consent. Independent study under guidance of faculty member. May be repeated up to 3 times.","V1-6 Semester Credit Hours"
"GIST - Geographic Information Science and Technology ","Graduate Courses","GIST 5300","Geographic Information Systems","Introduction to geographic information systems (GIS) for thematic mapping and spatial analysis. Laboratory emphasized experience with professional GIS software.","3 Semester Credit Hours"
"GIST - Geographic Information Science and Technology ","Graduate Courses","GIST 5301","Remote Sensing of the Environment","Use of satellite data to conduct research on spatial and temporal changes in the environment, emphasizing physical processes, sensors, analysis methods, and applications.","3 Semester Credit Hours"
"GIST - Geographic Information Science and Technology ","Graduate Courses","GIST 5302","Spatial Analysis and Modeling","Prerequisite: GIST 5300 or equivalent. A course in GIS focused on spatial data management, editing, topology, models and cartographic representations.","3 Semester Credit Hours"
"GIST - Geographic Information Science and Technology ","Graduate Courses","GIST 5304","Exploring Spatial Databases","Prerequisite: GIST 5300 or equivalent. Students will explore basic database concepts, fundamental design principles, and basic techniques of building a database to manage, analyze, and visualize geospatial data.    [ GIST 4304 ]","3 Semester Credit Hours"
"GIST - Geographic Information Science and Technology ","Graduate Courses","GIST 5308","Cartographic Design","Prerequisite: GIST 5300 or equivalent. Theory and practice of cartographic design with an emphasis on visual thinking and communication using GIS.","3 Semester Credit Hours"
"GIST - Geographic Information Science and Technology ","Graduate Courses","GIST 5310","GPS Field Mapping and Data Acquisition","Prerequisite: GIST 5300 or equivalent. Use of the Global Position Systems (GPS) and mobile field software for navigation and the acquisition of spatial data.","3 Semester Credit Hours"
"GIST - Geographic Information Science and Technology ","Graduate Courses","GIST 5312","Web Mapping and Geovisualization","Prerequisite: GIST 5300 or equivalent. Study of the technology used to create visualizations for geospatial data analysis with an emphasis on interactive web-mapping applications.    [ GIST 4312 ]","3 Semester Credit Hours"
"GIST - Geographic Information Science and Technology ","Graduate Courses","GIST 5314","Geospatial Data Science","Prerequisite: GIST 5304 or graduate-level statistics course, or instructor consent. Introduction to spatial data science and machine learning tools to investigate and identify patterns, clusters, trends, and anomalies based on geospatial big data.    [ GIST 4314 ]","3 Semester Credit Hours"
"GIST - Geographic Information Science and Technology ","Graduate Courses","GIST 5316","Spatial Programming and Geostatistics","Prerequisites: GIST 5304 or graduate-level statistics course, or instructor consent. Students will explore statistical applications with emphasis on geographic-specific problems and develop programming skills in Python.    [ GIST 4316 ]","3 Semester Credit Hours"
"GIST - Geographic Information Science and Technology ","Graduate Courses","GIST 5322","Remote Sensing Image Processing and Analysis","Prerequisite: GIST 5301 or permission of instructor.  A second course in Remote Sensing focusing on preprocessing of Earth observation data including georegistration and calibration, and image analysis including feature extraction and classification.    [ GIST 4322 ]","3 Semester Credit Hours"
"GLST - Global Studies ","Undergraduate Courses","GLST 2300","Professional Career Paths in Global Studies","Develops skills, knowledge, attitudes, and values appropriate to careers in international settings. Enhances awareness of career opportunities for students earning the B.A. in Global Studies and other degrees with an international focus.","3 Semester Credit Hours"
"GLST - Global Studies ","Undergraduate Courses","GLST 3300","Selected Topics","Various topics relevant to interdisciplinary study of global affairs. Open to all students. Repeatable for up to 6 hours subject to approval from advisor.","3 Semester Credit Hours"
"GLST - Global Studies ","Undergraduate Courses","GLST 4300","Global Studies Capstone","Prerequisite: Senior standing or consent of instructor. Students will develop a synthetic comprehensive understanding of global studies, demonstrating the ability to draw connections among diverse disciplines and issues.   (CL)","3 Semester Credit Hours"
"GPH - Geophysics ","Graduate Courses","GPH 5300","Individual Studies in Geophysics","Prerequisite: Instructor consent. A structured independent graduate studies course under the guidance of a faculty member. May be repeated for credit.","3 Semester Credit Hours"
"GPH - Geophysics ","Graduate Courses","GPH 5303","Seismic Data Analysis","Prerequisite: Instructor consent. Principles and methods for analyzing digital seismic date, including sampling, Fourier analysis, filtering, deconvolution, and introduction to seismic migration and tomography.","3 Semester Credit Hours"
"GPH - Geophysics ","Graduate Courses","GPH 5305","Velocity Model Building","Prerequisite: Instructor consent. Principles and usage of major seismic velocity model building approaches, including seismic refraction, semblance, migration, and tomographic velocity model building methods.","3 Semester Credit Hours"
"GPH - Geophysics ","Graduate Courses","GPH 5307","Seismic Migration","Prerequisites: C or better in GPH 5303 and instructor consent. Theory and practicality of Kirchhoff, f-k, FD, and reverse-time migrations for subsurface imaging.","3 Semester Credit Hours"
"GPH - Geophysics ","Graduate Courses","GPH 5310","Geophysical Fluid Dynamics","Survey of dominant modes of wave motion in the atmosphere. Scale analysis for problems in atmospheric dynamics with application to mid-latitude synoptic scale systems.","3 Semester Credit Hours"
"GPH - Geophysics ","Graduate Courses","GPH 5321","Advanced Seismic Exploration Methods","Prerequisites: C or better in MATH 1451 or instructor consent. Discusses methods to collect, process, and interpret seismic reflection data.","3 Semester Credit Hours"
"GPH - Geophysics ","Graduate Courses","GPH 5323","Advanced Potential Field and Electromagnetic Methods in Geophysics","Prerequisite: C or better in GEOL 3401 and MATH 2450 , or instructor consent. Covers methods to explore Earth’s subsurface using gravity, magnetic, electrical, and electromagnetic methods.","3 Semester Credit Hours"
"GPH - Geophysics ","Graduate Courses","GPH 5324","Radiative Transfer","Principles of radiation, the radiative transfer equation. Applications to absorption, emission, and scattering processes. Determination of physical properties from satellite measurements.","3 Semester Credit Hours"
"GPH - Geophysics ","Graduate Courses","GPH 5330","Geophysical Data Processing","Prerequisites C or better in MATH 2450 . Emphasizes geophysical data analysis and modeling using Matlab.","3 Semester Credit Hours"
"GPH - Geophysics ","Graduate Courses","GPH 5353","Basin Analysis","Systematic understanding (and developing models) for the origin, maturation, and accumulation of hydrocarbons in sedimentary basins in the context of their geologic evolution.","3 Semester Credit Hours"
"GPH - Geophysics ","Undergraduate Courses","GPH 3300","Geophysics","Prerequisites: 2.5 overall GPA, C or better in MATH 1451 and either GEOL 1303 and GEOL 1101 or GEOL 3324 . An overview of geophysical principles and methods with case studies in the use of geophysics to understand the three-dimensional structures of Earth.","3 Semester Credit Hours"
"GPH - Geophysics ","Undergraduate Courses","GPH 3310","Introduction to Geophysical Data Processing","Prerequisites: C or better in PHYS 1403 or PHYS 1408 , and MATH 1451 . Emphasis is on Matlab programming and geophysical data analysis.   (CL)","3 Semester Credit Hours"
"GPH - Geophysics ","Undergraduate Courses","GPH 4300","Independent Studies in Geophysics","Prerequisite: Consent of instructor. Independent studies in geophysics. May be repeated up to 3 times.","3 Semester Credit Hours"
"GPH - Geophysics ","Undergraduate Courses","GPH 4321","Seismic Exploration Methods","Prerequisites: C or better in PHYS 1403 or PHYS 1408 , and MATH 1451 . Methods to collect, process, and interpret seismic data are discussed.","3 Semester Credit Hours"
"GPH - Geophysics ","Undergraduate Courses","GPH 4322","Solid-Earth Geophysics","Prerequisites: C or better in GPH 3300 , GPH 4321 . Application of geophysical principles and multiple investigative methods for solving real-world geoscience problems.","3 Semester Credit Hours"
"GPH - Geophysics ","Undergraduate Courses","GPH 4323","Potential Field and Electromagnetic Methods in Geophysics","Prerequisites: C or better in PHYS 1403 or PHYS 1408 , and MATH 1451 . Covers methods of exploring Earth’s subsurface using gravity, magnetic, electrical, and electromagnetic methods.","3 Semester Credit Hours"
"GRK - Greek ","Undergraduate Courses","GRK 1301","A Beginning Course in Ancient Greek I","TCCNS:[GREE1311, 1511]Introduces the ancient Greek language, especially its grammar and vocabulary, with the goal of reading ancient Greek literary, historical, philosophical, and Biblical texts.","3 Semester Credit Hours"
"GRK - Greek ","Undergraduate Courses","GRK 1302","A Beginning Course in Ancient Greek II","TCCNS:[GREE1312, 1512]Prerequisite: GRK 1301 . Concludes introduction to the ancient Greek language, especially its grammar and vocabulary, with the goal of reading ancient Greek literary, historical, philosophical, and Biblical texts.   (CL)","3 Semester Credit Hours"
"GRK - Greek ","Undergraduate Courses","GRK 2301","A Second Course in Greek I","Prerequisite: GRK 1302. Review; selected readings from standard authors.","3 Semester Credit Hours"
"GRK - Greek ","Undergraduate Courses","GRK 2302","A Second Course in Greek II","Prerequisite: GRK 2301. Review; selected readings from standard authors.   (CL)","3 Semester Credit Hours"
"GRK - Greek ","Undergraduate Courses","GRK 4300","Individual Problems in Greek","Prerequisites: GRK 2302 . Contents will vary to meet the needs of students. Independent readings under guidance of a staff member. May be repeated once for credit with consent of instructor.  (CL)","3 Semester Credit Hours"
"GRK - Greek ","Graduate Courses","GRK 5330","Greek Prose","Selected readings from Greek texts in history, philosophy, oratory, rhetoric, biography, and the novel. Topics may vary. May be repeated up to 9 credit hours with different content.","3 Semester Credit Hours"
