course_code,title,credits,description
ENGLISH 112,[HUM] Language in the Real World,3,"Introduction to the field of linguistics, through the exploration of ways that linguistic knowledge is used to address real-world issues."
ENGLISH 150,[ARTS] Introduction to Film as Narrative,4 (3-3),Introduction to analysis of techniques and elements of narrative film and to critical vocabulary for its study as art form.
ENGLISH 201,[WRTG] Writing and Research,3,"Course Prerequisite: ENGLISH 101, 105, or 298. Designed to develop students' researching skills for writing across the disciplines. Credit not granted for both ENGLISH 201 and 298."
ENGLISH 205,[HUM] Introduction to Shakespeare,3,"Shakespeare plays with emphasis on stage productions and film adaptations in various cultural contexts. (Crosslisted course offered as ENGLISH 205, HUMANITY 205.)"
ENGLISH 210,[HUM] Readings in American Literature,3,"Selected works by diverse voices from different eras of American literature; importance of conventions, cultural contexts, for interpretation and understanding."
ENGLISH 211,[HUM] Sex Matters: Introduction to Queer Culture and Literature,3,"Introduction to Lesbian/queer cultural production focusing on popular culture, fiction, and film; work from various queer communities in its cultural/historical context. (Crosslisted course offered as WGSS 211, ENGLISH 211.)"
ENGLISH 212,[ARTS] Introduction to Comics and Graphic Novels,3,"Introduction to the reading, history, and making of comics and graphic novels."
ENGLISH 216,Introduction to American Cultural Studies,3,"Introduction to the interdisciplinary study of American cultures and the field of American studies. (Crosslisted course offered as AMER ST 216, CES 216, ENGLISH 216, HISTORY 216, WGSS 216.)"
ENGLISH 219,[HUM] Introduction to the Environmental Humanities,3,"An introduction to the Humanities, as an interdisciplinary field, and how Humanities methods and research contribute to, intersect with, and can learn from, environmental thought and action. (Crosslisted course offered as ENGLISH 219, HUMANITY 219.)"
ENGLISH 220,[HUM] Social Justice Literature,3,"Survey of modern multicultural literature concerned with social justice, including African American, Asian Pacific American, Latinx, and Native American authors. (Crosslisted course offered as CES 220, ENGLISH 220.)"
ENGLISH 222,World Literature in English,3,"Literature in English from such regions as Africa, Asia, and the Caribbean."
ENGLISH 251,[ARTS] Introduction to Creative Writing: Exploring the Genres,3,"Beginning writer's workshop covering short fiction, creative nonfiction, and poetry with discussion of the elements of each genre; poetic forms."
ENGLISH 252,[ARTS] Introduction to Creative Writing and Creative Writing Pedagogy,3,Beginning workshop with discussion and development of classroom approaches to three creative writing genres for the preprofessional secondary English teacher.
ENGLISH 256,[SSCI] Introduction to the Study of Language,3,"Introduction to the ways in which sound, meaning, and structure of words and sentences in natural languages are described and analyzed by linguists. (Crosslisted course offered as ENGLISH 256, ANTH 256.)"
ENGLISH 260,Rhetoric and Gender,3,"Historical survey of women writers whose contributions distinguish them as rhetoricians of their time. (Crosslisted course offered as ENGLISH 260, WGSS 260.)"
ENGLISH 298,Writing and Research Honors,3,"Course Prerequisite: Must be an Honors student. Critical thinking, research, and advanced writing for Honors College students. Credit not granted for both ENGLISH 298 and 201."
ENGLISH 300,Computers in English,1 (0-3),"May be repeated for credit ; cumulative maximum 6 credits . Use of computers in the writing process and in the analysis of literature. S, F grading."
ENGLISH 301,[WRTG] Writing and Rhetorical Conventions,3,"Course Prerequisite: ENGLISH 101, 105, or 298. Designed to provide students with advanced practice in and study of style, argument, and other rhetorical/discourse conventions."
ENGLISH 302,[M] Introduction to English Studies,3,"Course Prerequisite: ENGLISH 101 or 298. Interpretation of texts in several fields of English studies including rhetoric, literary study, creative writing and professional writing."
ENGLISH 303,Revision Workshop - ESL,3,"Course Prerequisite: Completion of written communication proficiency course [W] or [WRTG]. Appreciation of writing processes and revision for speakers of English as a second or foreign language, including self-assessment, developing rhetorical approaches, diagnosing and solving consistent problems, editing, and proofreading strategies."
ENGLISH 304,Revision Workshop,3,"Course Prerequisite: By department permission. Appreciation of writing processes and revision, including self-assessment, developing rhetorical approaches; diagnosing and solving consistent problems, editing, and proofreading strategies."
ENGLISH 305,[HUM] Shakespeare,3,Shakespearean drama to 1600.
ENGLISH 306,[HUM] Shakespeare,3,Shakespearean drama after 1600.
ENGLISH 307,[M] Historicized Analysis of Literature,3,Course Prerequisite: ENGLISH 302 or concurrent enrollment. Introduction to analyzing literary texts in relation to literary and cultural history.
ENGLISH 308,[M] Introduction to Literary Criticism,3,"Introduction to the systematic study of critical and theoretical approaches to literature; emphasis on problems of interpretation. (Crosslisted course offered as ENGLISH 308, WGSS 306.)"
ENGLISH 309,Women Writers,3,"Women's artistic and intellectual contributions to prose, fiction, drama, and poetry. (Crosslisted course offered as ENGLISH 309, WGSS 309.)"
ENGLISH 310,"[EQJS] [M] Intersections of Race, Class, Gender, Sexuality, and Dis/ability",3,"Course Prerequisite: SOC 101 or WGSS 101. Study of intersections among race, class, gender, sexuality, and dis/ability through case studies; experiences in interdisciplinary methods. (Crosslisted course offered as WGSS 300, ENGLISH 310, SOC 300.)"
ENGLISH 311,[HUM] Asian Pacific American Literature,3,"Asian American fiction, drama, poetry, and other arts, 1900 to present; impact of Asian/Pacific American culture and experience upon these works. (Crosslisted course offered as CES 313, ENGLISH 311.)"
ENGLISH 315,[M] Asian Pacific American Autobiography,3,"Critical readings of the autobiographical works, memoirs, and life writings by Asian Pacific Americans. (Crosslisted course offered as CES 315, ENGLISH 315.)"
ENGLISH 316,South Asian Film,3 (2-3),Exploration of films by directors in South Asia and in the South Asian diaspora.
ENGLISH 317,Gay and Lesbian Literature,3,"Gay and lesbian literature with focus on the history of homosexual literature and exploration of current authors. (Crosslisted course offered as ENGLISH 317, WGSS 317.)"
ENGLISH 322,[DIVR] [M] Topics in African American Literature,3,"May be repeated for credit ; cumulative maximum 6 credits . Trends and major writers. (Crosslisted course offered as ENGLISH 322, CES 332.)"
ENGLISH 323,Approaches to the Teaching of English,3,Literature and language arts in secondary schools.
ENGLISH 324,[M] Rhetoric and Composition for Teaching,3,"Rhetoric, composition grammar, and assessment for secondary teaching."
ENGLISH 325,Young Adult Literature,3,Issues in literature written for young adults and strategies for teaching the genre in secondary schools.
ENGLISH 326,Applied Grammar for Teachers,3,"Application of traditional English grammar for K-12 teachers, with focus on edited, American, African American, vernacular, and Spanish-influenced Englishes."
ENGLISH 332,[M] Topics in Literature,3,"May be repeated for credit ; cumulative maximum 6 credits . Special topics in fiction, poetry, drama, or creative nonfiction."
ENGLISH 337,Experimental Animation,3 (2-2),"Digital and analog animation techniques; conceptual development of narrative structures. (Crosslisted course offered as ENGLISH 337, ART 337.)"
ENGLISH 338,[M] Topics: Major Trends and Figures,3,May be repeated for credit ; cumulative maximum 6 credits . Literary trends or major writers.
ENGLISH 339,[ARTS] Topics in Film as Literature,3 (2-3),May be repeated for credit ; cumulative maximum 6 credits . Analytical study of film as major literary genre.
ENGLISH 340,Science Fiction Film,3 (2-3),Major science fiction films and the literature which inspired them.
ENGLISH 341,[M] Indigenous Literature,3,"Literature, by Indigenous authors and about Indigenous communities, reflecting on dominant images and counter-images, with emphasis on the 20th century. (Crosslisted course offered as CES 373, ENGLISH 341.)"
ENGLISH 342,[ARTS] Documentary Film Theory and Production,3 (2-2),Theory of documentary film in social contexts culminating in the creation of actual documentary films by students.
ENGLISH 343,Introduction to Screenwriting,3,"Workshop-based introduction to the art and craft of screenwriting; exploration of style and format, character development and story arcs."
ENGLISH 345,[M] Contemporary Latinx Literatures,3,"A survey of Latinx literature, examining both dominant representations and sites of resistance. (Crosslisted course offered as CES 353, ENGLISH 345.)"
ENGLISH 351,Creative Writing: Fiction,3,May be repeated for credit ; cumulative maximum 6 credits . Course Prerequisite: ENGLISH 251 or 252. Workshop approach to writing fiction.
ENGLISH 352,Creative Writing: Poetry,3,Course Prerequisite: ENGLISH 251 or 252. Workshop approach to poetry writing.
ENGLISH 353,Creative Writing: Creative Nonfiction,3,Course Prerequisite: ENGLISH 251 or 252. Writing literary nonfiction: practice and theory.
ENGLISH 354,[ARTS] [M] Digital Storytelling,3,"Nonlinear, multi-linear, and interactive narrative using elements of creative writing such as character, dialog, setting, plot and image. (Crosslisted course offered as DTC 354, ENGLISH 354.)"
ENGLISH 357,Editing and Publishing,3,"May be repeated for credit ; cumulative maximum 6 credits . Principles of working in literary, commercial, and scholarly editing and publishing."
ENGLISH 358,"Workshop Topics in Writing, Teaching, Literature",1,"May be repeated for credit ; cumulative maximum 6 credits . Course Prerequisite: Junior standing. An intensive, time-limited workshop, offered by visiting writers, scholars, and other experts, in topics of special interest. S, F grading."
ENGLISH 359,Topics in Creative Writing,3,May be repeated for credit ; cumulative maximum 9 credits . Course Prerequisite: ENGLISH 251 or 252. Specialized topics in creative writing.
ENGLISH 360,Principles of Rhetoric,3,Basic concepts and approaches to the art of persuasion.
ENGLISH 361,Everyday Rhetorics,3,Rhetorics as language and image of popular culture.
ENGLISH 362,[EQJS] Rhetorics of Racism,3,The language of racism since WWII.
ENGLISH 363,"Rhetoric: Literacy, Power and Agency",3,"Major discussions on literacy emphasizing the historical, social, linguistic and pedagogical."
ENGLISH 364,Legal Writing,3,"Introduction to the American legal system and the style, arguments and accepted forms of professional writing in this discipline."
ENGLISH 365,[WRTG] Proposal Writing,3,"Course Prerequisite: ENGLISH 101; junior standing Theory and practice in proposal writing with focus on document management, writing and editing, and submission of proposals that consider social and political dimensions to obtain funding for academic or business projects."
ENGLISH 366,[HUM] The British Novel to 1900,3,"Exploration of the diverse themes, social contexts, and intellectual backgrounds of the novel and novel reading in Britain to 1900."
ENGLISH 368,[HUM] The American Novel to 1900,3,"Classic American novels in cultural perspective by such authors as Cooper, Hawthorne, Melville, Stowe, Twain, James, Jewett, Chopin, Crane, Dreiser."
ENGLISH 369,Rhetorics of Disability/Accessibility,3,The language of disability/accessibility and inclusive composing practices.
ENGLISH 370,"The Making of English: Literature, Language and Culture Before 1600",3,"Literature before 1600, highlighting the making of English through its interaction with other cultures/languages including Anglo-Saxon."
ENGLISH 371,17th and 18th Century Transnational Literature in English,3,Literary and cultural texts in English from 1600 to 1800 including British and colonial American literatures within their transnational contexts.
ENGLISH 372,19th Century Literature of the British Empire and the Americas,3,Literary and cultural texts in English from 1800 to 1900 focusing on global British literature and literatures of the Americas.
ENGLISH 373,"[HUM] Empire, Gender, and Postcoloniality in Global Literature",3,"Literary/cultural texts and theory focusing on postcolonial conditions (and their gendered operations) in the shadow of empire and imperialism. (Crosslisted course offered as ENGLISH 373, WGSS 373.)"
ENGLISH 401,History of Rhetoric,3,"Survey of influential theories of rhetoric, ancient to modern."
ENGLISH 402,[WRTG] [M] Technical and Professional Writing,3,"Course Prerequisite: ENGLISH 101 or 298; junior standing. Research writing: defining, proposing, reporting progress; presenting a final product; other professional writing needs. Credit not granted for both ENGLISH 402 and 403."
ENGLISH 403,[M] Technical and Professional Writing ESL,3,Course Prerequisite: ENGLISH 101 or 105; junior standing; pass University Writing Portfolio. For non-native speakers of English. Special grammatical and rhetorical problems. Credit not granted for both ENGLISH 402 and 403.
ENGLISH 405,Advanced Professional Writing and Editing,3,"Course Prerequisite: ENGLISH 402. Other background may substitute. See department. Professional writing and editing; textual alterations, design, and layout, including internship experience."
ENGLISH 409,"Gender, Race, and Environmental Literature",3,"Course Prerequisite: Junior standing. Diversity of writings by queer writers, women writers, and writers of color exploring 20th and 21st century environmental issues of the American West and Pacific Rim through the lens of ecofeminism and environmental justice. (Crosslisted course offered as ENGLISH 409, WGSS 409.)"
ENGLISH 410,[CAPS] Cultural Criticism and Theory,3,"Course Prerequisite: Junior standing. Major critiques and theories of colonialist and imperialist formations of culture. (Crosslisted course offered as CES 405, ENGLISH 410.)"
ENGLISH 415,[CAPS] Traditions of Comedy and Tragedy,3,Course Prerequisite: Junior standing. Study of tragedy and comedy in the Age of Shakespeare.
ENGLISH 419,The Contemporary Novel,3,"Course Prerequisite: Junior standing. The novel in English in the literary and cultural context of the Anthropocene, the time during which humans have had a substantial impact on our planet."
ENGLISH 443,Phonetics and Phonology,3,Technical introduction to the analysis of the speech patterns and sound systems across human languages. Recommended Preparation: ENGLISH 256. Credit not granted for both ENGLISH 443 and 543. Offered at 400 and 500 level. Cooperative: Open to UI degree-seeking students.
ENGLISH 444,Morphology and Syntax,3,Technical introduction to the analysis of word and sentence structure from a cross-linguistic perspective. Recommended preparation: ENGLISH 256. Credit not granted for both ENGLISH 444 and 544. Offered at 400 and 500 level.
ENGLISH 446,[CAPS] Form and Theory in Creative Writing,3,"Course Prerequisite: ENGLISH 351, 352, 353, or 359; junior standing. Formal elements of fiction, creative nonfiction, poetry for creative writing students; analysis of contemporary applications of traditional and experimental techniques."
ENGLISH 451,[M] Advanced Creative Writing: Fiction,3,"May be repeated for credit ; cumulative maximum 6 credits . Course Prerequisite: One of following: ENGLISH 351, 352, 353, or 359. Advanced workshop in writing fiction or creative nonfiction prose."
ENGLISH 452,[M] Advanced Creative Writing: Poetry,3,"May be repeated for credit ; cumulative maximum 6 credits . Course Prerequisite: One of following: ENGLISH 351, 352, 353, or 359. Workshop approach to poetry writing for the advanced student."
ENGLISH 453,Advanced Creative Writing: Creative Nonfiction,3,"May be repeated for credit ; cumulative maximum 6 credits . Course Prerequisite: One of following: ENGLISH 351, 352, 353, or 359. Advanced workshop in writing creative and literary nonfiction."
ENGLISH 454,History of the English Language,3,"Language related to the origin, history, and literature of its speakers. Credit not granted for both ENGLISH 454 and ENGLISH 554. Offered at 400 and 500 level."
ENGLISH 456,[M] Language Acquisition,3,"Theories and processes of first, second, and bilingual language acquisition."
ENGLISH 457,[SSCI] Sociolinguistics,3,"The study of language in social context, its relationship to social structures, and how it varies across race, gender, age, socioeconomic status, and geographic region."
ENGLISH 458,Topics in Linguistics,3,"May be repeated for credit ; cumulative maximum 6 credits . Topics in the structure, use, and function of language."
ENGLISH 460,[M] The Scope of Rhetoric,3,Major themes in contemporary rhetoric.
ENGLISH 461,[M] Theory and Practice in Technical and Professional Writing,3,Course Prerequisite: ENGLISH 402 or 403. Practices in technical and professional writing and the theories that challenge and/or legitimize those practices.
ENGLISH 470,Literature and Culture of the American West,3,May be repeated for credit ; cumulative maximum 6 credits . Course Prerequisite: Junior standing. Cultural exploration of American West in written texts; outsider and insider versions of reality and imagination of its diverse peoples.
ENGLISH 472,"[EQJS] Race, Justice, and Food Ecosystems",3,"Course Prerequisite: Junior standing. Examines racial inequalities and injustice alongside of movements of change, highlighting the importance of food in a modern world. (Crosslisted course offered as AMER ST 472, CES 462, ENGLISH 472.)"
ENGLISH 480,American Literature: Beginnings to 1865,3,"Course Prerequisite: ENGLISH 302. Advanced study of major authors and movements from the period including Bradstreet, Wheatley, Franklin, Douglass, Poe, Emerson, and Hawthorne."
ENGLISH 481,American Literature: 1865-1940,3,"Course Prerequisite: ENGLISH 302. Advanced study of major authors and movements from the period including Whitman, Dickinson, Twain, Wharton, James, Hemingway, Faulkner, and Wright."
ENGLISH 482,American Literature: 1940-Present,3,"Course Prerequisite: ENGLISH 302. Advanced study of major authors and movements from the period including O'Connor, Bellow, Salinger, Baldwin, Pynchon, Morrison, Tan, and Alexie. (Crosslisted course offered as ENGLISH 482, WGSS 382.)"
ENGLISH 483,Chaucer and Medieval Literature,3,Course Prerequisite: ENGLISH 302. Advanced study of Chaucer's Canterbury Tales in the context of Medieval culture and literary tradition.
ENGLISH 484,English Literature of the 16th Century,3,"Course Prerequisite: ENGLISH 302. Advanced study of English Renaissance literature, including More, Sidney, Spenser, Marlowe, and Shakespeare, in age of Humanism and Reformation. Credit not granted for both ENGLISH 484 and ENGLISH 584. Offered at 400 and 500 level."
ENGLISH 485,Milton and English Literature of the 17th Century,3,"Course Prerequisite: ENGLISH 302. Advanced study of works from the Metaphysicals and Johnson through Milton, in the context of religious controversy and civil war."
ENGLISH 486,English Literature of the Restoration and 18th Century,3,"Course Prerequisite: ENGLISH 302. Advanced study of works form this revolutionary period, including Locke, Behn, Defoe, Pope, Johnson, Equiano, and others."
ENGLISH 487,British Romantic Literature,3,"Course Prerequisite: ENGLISH 302. Advanced study of Blake, Wordsworth, Coleridge, Mary Shelley, Keats, and others in an age of social and aesthetic revolution, 1770-1840."
ENGLISH 488,Victorian Literature,3,"Course Prerequisite: ENGLISH 302. Advanced study of Tennyson, Dickens, Eliot, Wilde, and others in the context of science, industrialization, and empire, 1832-1901."
ENGLISH 489,[EQJS] Contemporary British and Postcolonial Literatures,3,"Course Prerequisite: ENGLISH 302. Advanced study of modernist, postmodernist, and postcolonial writing from Britain, Ireland, Africa, the Indian subcontinent, and the Caribbean."
ENGLISH 492,"[M] Advanced Topics in Literature, Criticism, and Theory",3,May be repeated for credit ; cumulative maximum 6 credits . Seminar with term paper project; focused studies in literature and critical theory. Not open to graduate students.
ENGLISH 494,[CAPS] [M] Advanced Topics in Literature,3,"May be repeated for credit ; cumulative maximum 6 credits . Course Prerequisite: Admitted to the major in English; junior standing. Seminar with term paper project; focused studies in American, British, or global literatures. Not open to graduate students."
ENGLISH 495,[M] Rhetoric of Science and Technology,3,"Written, visual, and verbal conventions of scientific disciplines for academic, scientific, technical, and public audiences."
ENGLISH 498,Internship,V 1-15,"May be repeated for credit ; cumulative maximum 15 credits . Course Prerequisite: By department permission. Cooperative learning experience in business, education, or industry in English-related jobs. S, F grading."
ENGLISH 499,Special Problems,V 1-4,"May be repeated for credit . Course Prerequisite: By department permission. Independent study conducted under the jurisdiction of an approving faculty member; may include independent research studies in technical or specialized problems; selection and analysis of specified readings; development of a creative project; or field experiences. S, F grading."
ENGLISH 501,Seminar in the Teaching of Writing: Methodology of Composition,3,Development of a workable definition of the methods of composing through a review of relevant research and problem-solving exercises.
ENGLISH 502,Seminar in the Teaching of Writing: Contemporary Theories,3,May be repeated for credit ; cumulative maximum 6 credits . Course Prerequisite: ENGLISH 501. Contemporary theories of composition and their application to the classroom.
ENGLISH 503,Seminar in Writing Studies Research Methods and Methodologies,3,"Theory and practice of writing studies research with a focus on methodologies, methods, and research ethics."
ENGLISH 506,Seminar in 16th Century English Literature,3,May be repeated for credit ; cumulative maximum 6 credits .
ENGLISH 507,Shakespeare,3,"Plays, poems, criticism, and background materials."
ENGLISH 508,Seminar in Assessment of Writing,3,Problems involved in the diagnosis and assessment of student writing.
ENGLISH 509,Seminar in the History of Global Rhetorics,3,Study of Global rhetorical histories and theories and their influences.
ENGLISH 510,Backgrounds of American Literature,3,Studies of American writing in cultural contexts.
ENGLISH 511,Seminar in 17th and 18th Century American Literature,3,
ENGLISH 512,Introduction to Graduate Study,1,Introduction to the principles and procedures of English studies.
ENGLISH 514,Seminar in Contemporary American Literature,3,May be repeated for credit ; cumulative maximum 6 credits .
ENGLISH 515,Contemporary Theories of Rhetoric,3,May be repeated for credit ; cumulative maximum 6 credits . Contemporary critical theory and cultural studies and reconsiderations of suasive discursive practices.
ENGLISH 521,Seminar in British Romantic Literature,3,May be repeated for credit ; cumulative maximum 6 credits .
ENGLISH 522,Seminar in Victorian Literature,3,May be repeated for credit ; cumulative maximum 6 credits .
ENGLISH 525,Seminar in English Literature of the 17th Century,3,May be repeated for credit ; cumulative maximum 6 credits .
ENGLISH 527,Seminar in English Literature of the Restoration and 18th Century,3,May be repeated for credit ; cumulative maximum 6 credits .
ENGLISH 529,Seminar in 19th Century American Literature,3,May be repeated for credit ; cumulative maximum 6 credits .
ENGLISH 531,Administering a Writing Program,3,Combining theory and practice in writing program supervision and management. Interns will work under direct faculty supervision.
ENGLISH 532,Teaching Writing to Nontraditional Students,3,Course Prerequisite: ENGLISH 501. Theory and practice of the teaching of basic writers.
ENGLISH 534,Theories and Methods of the Teaching of Technical and Professional Writing,3,Historical and theoretical bases for production of scientific discourse; training in its practical applications.
ENGLISH 543,Phonetics and Phonology,3,Technical introduction to the analysis of the speech patterns and sound systems across human languages. Recommended Preparation: ENGLISH 256. Credit not granted for both ENGLISH 443 and 543. Offered at 400 and 500 level. Cooperative: Open to UI degree-seeking students.
ENGLISH 544,Morphology and Syntax,3,Technical introduction to the analysis of word and sentence structure from a cross-linguistic perspective. Recommended preparation: ENGLISH 256. Credit not granted for both ENGLISH 444 and 544. Offered at 400 and 500 level.
ENGLISH 545,Graduate Student Writing Workshop,3,"May be repeated for credit ; cumulative maximum 6 credits . Workshop for graduate students in any discipline to improve proficiency in writing academic genres such as dissertations, abstracts, articles, and grant proposals."
ENGLISH 546,Topics in Teaching English as a Second Language,3,May be repeated for credit ; cumulative maximum 6 credits . Topics and controversies related to second language acquisition theory and pedagogy. Cooperative: Open to UI degree-seeking students.
ENGLISH 547,Introduction to Critical Theory,3,May be repeated for credit ; cumulative maximum 6 credits . Foundational theories and critical approaches relevant to advanced scholarship in all areas of English studies.
ENGLISH 548,Seminar in Critical and Cultural Theory,3,May be repeated for credit ; cumulative maximum 6 credits . Critical and cultural theory relevant to advanced literary studies and /or the advanced study of rhetoric and composition.
ENGLISH 549,Seminar in Contemporary British and Postcolonial Literatures,3,May be repeated for credit ; cumulative maximum 6 credits .
ENGLISH 550,Seminar in Poetry or Non-fiction Prose,3,May be repeated for credit ; cumulative maximum 6 credits . Historical and generic studies in poetry and non-fiction prose.
ENGLISH 554,History of the English Language,3,"Language related to the origin, history, and literature of its speakers. Credit not granted for both ENGLISH 454 and ENGLISH 554. Offered at 400 and 500 level."
ENGLISH 560,"Critical Theories, Methods, and Practice in Digital Humanities",3,"History, theory, and practice of digital humanities, with attention paid to how digital humanities are transforming disciplinary knowledge. (Crosslisted course offered as DTC 560, ENGLISH 560.)"
ENGLISH 561,Studies in Technology and Culture,3,"Foundation examination of key concepts, tools, and possibilities afforded by engaging with technology through a critical cultural lens. (Crosslisted course offered as DTC 561, ENGLISH 561.)"
ENGLISH 562,Writing and Rhetoric in Science and Technology,3,"The study and practice of written, visual, and verbal conventions of STEM disciplines for academic, scientific, technical, and public audiences."
ENGLISH 567,Seminar in Prose Fiction,3,May be repeated for credit ; cumulative maximum 6 credits . Historical and generic studies of prose fiction.
ENGLISH 573,Seminar in American Literature,3,May be repeated for credit ; cumulative maximum 12 credits . Major topics and figures.
ENGLISH 580,Seminar in Medieval Literature,3,May be repeated for credit ; cumulative maximum 6 credits . The literature of western Europe from 450 to 1500. Cooperative: Open to UI degree-seeking students.
ENGLISH 584,English Literature of the 16th Century,3,"Advanced study of English Renaissance literature, including More, Sidney, Spenser, Marlowe, and Shakespeare, in age of Humanism and Reformation. Credit not granted for both ENGLISH 484 and ENGLISH 584. Offered at 400 and 500 level."
ENGLISH 590,Research in English Studies,1,May be repeated for credit ; cumulative maximum 6 credits . Directed reading and interpretive problems in English studies.
ENGLISH 591,Topics in Pedagogy,3,"Theory and practice of designing and teaching courses in literature, rhetoric, composition, theory, or cultural studies."
ENGLISH 595,Topics in English,3,"May be repeated for credit ; cumulative maximum 6 credits . Language, English pedagogy, or literature of special or current interest; reading theories, teaching of writing, current literary theories."
ENGLISH 597,Topics in Composition and Rhetoric,3,May be repeated for credit ; cumulative maximum 6 credits . Rhetoric and composition theory and praxis.
ENGLISH 598,Teaching Apprenticeship,1,"May be repeated for credit . Course Prerequisite: By department permission. S, F grading."
ENGLISH 600,Special Projects or Independent Study,V 1-18,"May be repeated for credit . Independent study, special projects, and/or internships. Students must have graduate degree-seeking status and should check with their major advisor before enrolling in 600 credit, which cannot be used toward the core graded credits required for a graduate degree. S, F grading."
ENGLISH 700,"Master's Research, Thesis, and/or Examination",V 1-18,"May be repeated for credit . Independent research and advanced study for students working on their master's research, thesis and/or final examination. Students must have graduate degree-seeking status and should check with their major advisor/committee chair before enrolling for 700 credit. S, U grading."
ENGLISH 702,"Master's Special Problems, Directed Study, and/or Examination",V 1-18,"May be repeated for credit . Independent research in special problems, directed study, and/or examination credit for students in a non-thesis master's degree program. Students must have graduate degree-seeking status and should check with their major advisor/committee chair before enrolling for 702 credit. S, U grading."
ENGLISH 800,"Doctoral Research, Dissertation, and/or Examination",V 1-18,"May be repeated for credit . Course Prerequisite: Admitted to the English PhD program. Independent research and advanced study for students working on their doctoral research, dissertation and/or final examination. Students must have graduate degree-seeking status and should check with their major advisor/committee chair before enrolling for 800 credit. S, U grading."
ENGR 101,Success in Engineering Study,V 1-2,May be repeated for credit ; cumulative maximum 3 credits . Course Prerequisite: Participation in the STARS program; by department consent. Engineering study with an emphasis on working in groups and evaluating personal needs and goals.
ENGR 107,[QUAN] Introductory Mathematics for Engineering Applications,4 (3-3),"Course Prerequisite: MATH 106 with a grade of C or better, or a minimum ALEKS math placement score of 75%. Application of mathematics principles to engineering problems across engineering and computer science disciplines; concepts from trigonometry to calculus necessary for sophomore engineering courses."
ENGR 120,Innovation in Design,2 (1-3),"Introduction to engineering disciplines, problem solving, design teamwork and ethics."
ENGR 121,Grand Challenges in Engineering,1,"May be repeated for credit ; cumulative maximum 2 credits . Introduction to the Grand Challenge Scholars Program and the National Academy of Engineering's Grand Challenges through a creative learning experience in research or design, an interdisciplinary experience, an entrepreneurship or innovation experience, a global or cross-cultural experience, and a service learning experience. S, F grading."
ENGR 201,Metal Fabrication,3 (1-6),"Credit not granted for students who have already completed AGTM/ENGR 202, 203, or 204. Theory, applications, and practices of welding, machining, and associated techniques in fabricating with metals. (Crosslisted course offered as AGTM 201, ENGR 201.)"
ENGR 202,Welding,1 (1-3),"Credit not granted for students who have already completed AGTM/ENGR 201. Theory application and practices of welding and associated techniques in fabricating with metals. One of 3 two-week sessions of Metal Fabrication. Each session includes 3 hours lecture and 12 hours lab per week. (Crosslisted course offered as AGTM 202, ENGR 202.)"
ENGR 203,Machining,1 (1-3),"Credit not granted for students who have already completed AGTM/ENGR 201. Theory application and practices of machining and associated techniques in fabricating with metals. One of 3 two-week sessions of Metal Fabrication. Each session includes 3 hours lecture and 12 hours lab per week. (Crosslisted course offered as AGTM 203, ENGR 203.)"
ENGR 204,Metal Fabrication,1 (1-3),"Credit not granted for students who have already completed AGTM/ENGR 201. Theory application and practices of cutting and associated techniques in fabricating with metals. One of 3 two-week sessions of Metal Fabrication. Each session includes 3 hours lecture and 12 hours lab per week. (Crosslisted course offered as AGTM 204, ENGR 204.)"
ENGR 320,Entrepreneurship Boot Camp and the Entrepreneurial Mindset,3,"Course Prerequisite: Junior standing. Focus on commercializing ideas, modifying existing products, exploiting market opportunities, and creating new enterprises."
ENGR 420,Multidisciplinary Engineering Design I,3 (1-4),Course Prerequisite: ENGR 320; senior standing. Needs analysis and conceptualization of technological products and business plan for target market; multidisciplinary team development.
ENGR 421,[CAPS] [M] Multidisciplinary Engineering Design II,3 (1-4),Course Prerequisite: ENGR 420; admitted to an engineering major; senior standing. Prototype solution developed and evaluated and business plan completed; presentation to stake holders; team development and assessment. Field trip required.
ENGR 488,Professional Practice Coop/Internship I,V 1-2,"May be repeated for credit ; cumulative maximum 6 credits . Course Prerequisite: By department permission. Practicum for students admitted to the VCEA Professional Practice and Experiential Learning Program; integration of coursework with on-the-job professional experience. (Crosslisted course offered as ENGR 488, BIO ENG 488, CHE 488, CE 488, CPT S 488, E E 488, ME 488, MSE 488, SDC 488.) S, F grading."
ENGR 489,Professional Practice Coop/Internship II,1,"May be repeated for credit ; cumulative maximum 3 credits . Course Prerequisite: By department permission; sophomore standing. Practicum for students admitted to the VCEA Professional Practice and Experiential Learning Program; continuation of ENGR 488. (Crosslisted course offered as ENGR 489, SDC 489.) S, F grading."
ENGR 530,Interdisciplinary Research and Design I,3 (1-4),"Literature review, resource flows, research proposal, and multidisciplinary team development."
ENGR 531,Interdisciplinary Research and Design II,3 (1-4),"Design analysis, sustainability analysis, research and scholarly work development; multidisciplinary team development."
ENGR 581,Graduate Research Methods,1,Responsible conduct of research and other topics required to be successful in the Engineering graduate program.
ENTOM 101,[BSCI] Insects and People: A Perspective,3,The world's most abundant animals and their extensive effects on people yesterday and today.
ENTOM 102,"Insects, Infection and Illness: Medical Entomology for Non-Science Majors",4 (3-3),Multidisciplinary aspects of infectious disease caused by insect transmission of pathogens.
ENTOM 103,[BSCI] Discover Insects: Laboratory for Non-Science Majors,1 (0-3),"The biology and diversity of insects provide the context for training in the scientific method, including ways to take measurements, gather data, and organize information."
