"subject","course_code","course_name","description","credits"
"Educational Leadership","EDLD 214","Critical Data Analysis in Higher Education","3 The purpose of this course is to provide working knowledge of the skills required to conduct scientific inquiry pertaining to education and human service programs. Knowledge derived from this course will prepare each student to be: (1) a critical consumer of research and evaluation information, and (2) a beginning practitioner in conducting investigative efforts      Grading:Letter Graded     Class Schedule|Syllabus Information|University Bookstore","3"
"Educational Leadership","EDLD 215","Contemporary Issues in Higher Education","3 Examines current issues in higher education and prepares educational leaders on how to critically approach the topics addressed in the course. Development and knowledge of current issues and trends in higher education will be explored, including but not limited to: academic governance, external relations, access and admissions, student financial aid, student services, campus climate, affirmative action, privatization, and proprietary education, to name a few. During the semester, our primary goal is to unpack the complex social, economic, historical, and political implications associated with emerging higher education policy trends and debates.      Grading:Letter Graded     Class Schedule|Syllabus Information|University Bookstore","3"
"Educational Leadership","EDLD 216","Law, Policy, and Ethics in Higher Education","3 Seminar on law, policy, and ethics in higher education. Emphasis is directed toward critical analysis of current issues and related scenarios. This collaborative and interactive course will center on dialogue, reflection, practice, and critique of legal, policy, and ethical issues in higher education.      Grading:Letter Graded     Class Schedule|Syllabus Information|University Bookstore","3"
"Educational Leadership","EDLD 217A","Equity-Minded Leadership in Higher Education: Practices, Policies, and Pedagogies","3 Offers students the opportunity to engage first hand with common problems of practice in higher education. Through exposure to real-world challenges, students will work on developing critical, collaborative, and equity-minded approaches to higher education leadership practices, policies, and pedagogies with local higher education faculty and administrators. The key aims of this exercise include developing leadership skills and improving the equity, access, and success of historically underrepresented students in academia.      Grading:Letter Graded     Class Schedule|Syllabus Information|University Bookstore","3"
"Educational Leadership","EDLD 217B","Equity-Minded Leadership in Higher Education as Praxis","3 Intensive experiential learning through applied consulting on living case studies aimed to challenge inequitable policies and practices to improve students’ opportunities to learn in higher education.      Prerequisite(s):EDLD 217A  Grading:Letter Graded     Class Schedule|Syllabus Information|University Bookstore","3"
"Educational Leadership","EDLD 250","Emancipatory Pedagogy in Higher Education","3 Explores theories and practices of teaching as a practice of freedom that strives for a stronger, flourishing democracy in which all people can meaningfully participate. Emancipatory pedagogy engages with students holistically and in mutualistic relations toward the shared construction of knowledge and dismantling of oppressive systems.    SatisfiesGWAR: Graduation Writing Assessment Requirement.   Grading:Letter Graded   Note(s):This course satisfies graduate-level GWAR in this master’s program.     Class Schedule|Syllabus Information|University Bookstore","3"
"Educational Leadership","EDLD 251","Higher Education Teaching Practicum","3 Designed to be a practical application of the methods and pedagogies acquired in EDLD 212 and EDLD 250. The practicum student is mentored by an expert higher education instructor in one section of a course at a community college or four-year institution.      Prerequisite(s):EDLD 212 and EDLD 250  Grading:Letter Graded     Class Schedule|Syllabus Information|University Bookstore","3"
"Educational Leadership","EDLD 253","Envisioning Emancipatory Leadership for Schools","3 Capstone course to synthesize personal and intellectual areas of growth. Students complete a 3-year action plan, outlining their core values, write a personal vision statement, cite current and lacking leadership skills and develop actionable goals to practice areas of growth.      Prerequisite(s):Concurrent Enrollment in or Completion of EDLD 204 , or department permission.  Grading:Letter Graded     Class Schedule|Syllabus Information|University Bookstore","3"
"Educational Leadership","EDLD 280","Individual Studies in Educational Leadership","1-4 Supervised individual study in specific fields of education not covered by offered courses.     Course may be repeated for credit for up to 30 units.  Prerequisite(s):Admission to Graduate program and department consent.  Grading:Credit/No Credit.     Class Schedule|Syllabus Information|University Bookstore","1-4"
"Educational Leadership","EDLD 298","Higher Education Leadership Master’s Capstone/Culminating Experience Course","3 Provides students in the Higher Education Leadership Master’s Program with a structured learning experience as they develop and finalize their capstone projects required to satisfy degree completion.      Grading:Letter Graded     Class Schedule|Syllabus Information|University Bookstore","3"
"Electrical Engineering","EE 30","Introduction to Programming Micro-Controllers for Electrical Engineering","3 Introduction to C language program development using an integrated development environment. Program development includes program design, development, debugging, testing and documentation. Electrical engineering application examples dealing with circuits, systems, data converters and signal processing concepts are used throughout the course.   Lecture 3 hours/Lab 3 hours.    Prerequisite(s):Allowed Declared Majors: Electrical Engineering.  Grading:Letter Graded     Class Schedule|Syllabus Information|University Bookstore","3"
"Electrical Engineering","EE 92","International Program Studies","1-6 Study Abroad and Away transfer credit course. Study Abroad and Away provides students the opportunity to study abroad on long term programs (Exchange Programs, CSU International Programs, and International Student Exchange Programs) and short-term programs (Faculty-Led Programs and Summer School Abroad Programs) for academic credit, offering Alternative Break Programs for cultural immersion, and designing other globally focused opportunities. This course is designated as a placeholder course for Study Abroad and Away programs.      Grading:Mixed Grading     Class Schedule|Syllabus Information|University Bookstore","1-6"
"Electrical Engineering","EE 97","Introductory Electrical Engineering Laboratory","1 Basic instruments and experimental techniques in electrical engineering. Oscilloscopes, function generators, frequency counters and multiple-use meters. Measurements of voltage, current, frequency response, transient response and computer simulation of circuits.   Lab 3 hours.    Prerequisite(s):Allowed Declared Majors: Any Engineering.  Corequisite(s):EE 98 .  Grading:Letter Graded     Class Schedule|Syllabus Information|University Bookstore","1"
"Electrical Engineering","EE 98","Introduction to Circuit Analysis","3 Circuit laws and nomenclature, resistive circuits with DC sources, ideal operational amplifier, controlled sources, natural and complete response of simple circuits, steady-state sinusoidal analysis and power calculations.      Prerequisite(s):PHYS 51 with a C- or better. Allowed Declared Majors: Any Engineering.  Corequisite(s):MATH 33A or MATH 33LA .  Grading:Letter Graded     Class Schedule|Syllabus Information|University Bookstore","3"
"Electrical Engineering","EE 98H","Honors Introduction to Circuit Analysis","3 A project and design based approach to the introduction of circuit laws and analysis methods such as nodal analysis, superposition, equivalent circuits and phasor analysis for circuits involving RLC and operational amplifiers.      Prerequisite(s):PHYS 51 (with a grade of “B” or better).  Corequisite(s):MATH 33A or MATH 33LA .  Grading:Letter Graded     Class Schedule|Syllabus Information|University Bookstore","3"
"Electrical Engineering","EE 98W","Introduction to Circuit Analysis Workshop","1 Workshop designed to help all students excel in EE 98 . Students work in groups on challenging circuit analysis problems to help them understand EE 98 concepts more deeply and lay the groundwork for success in engineering courses.      Corequisite(s):EE 98 or EE 98H  Grading:Credit/No Credit     Class Schedule|Syllabus Information|University Bookstore","1"
"Electrical Engineering","EE 102","Probability and Statistics in Electrical","3 Introduction to probability and statistical analysis for undergraduate EE students. Discrete probability theory, theory of single random variables, introduction to statistics and hypothesis testing, and EE applications.      Prerequisite(s):EE 112 with a grade of “C-” or better. Allowed Declared Major: Electrical Engineering.  Grading:Letter Graded     Class Schedule|Syllabus Information|University Bookstore","3"
"Electrical Engineering","EE 104","Applied Programming in Electrical Engineering","3 Review of matrix algebra. Solution of linear, non-linear and ordinary differential equations. Interpolation and integration. Approximation of functions. Python programming in electrical engineering applications, which include signal analysis, neural networks, system modeling.      Prerequisite(s):EE 110 and EE 112 both with grades of “C-” or better. Allowed Declared Major: Electrical Engineering.  Grading:Letter Graded     Class Schedule|Syllabus Information|University Bookstore","3"
"Electrical Engineering","EE 106","Fundamentals of Mechatronics Engineering","4 Foundational concepts in mechatronics including analog and digital electronics, sensors, actuators, microprocessors and microprocessor interfacing to electromechanical systems. Hands-on laboratory experiments with components and measurement equipment used in the design of mechatronic products.   Lecture 2 hours/Lab 3 hours.    Prerequisite(s):EE 98 and ME 30 (or CS 49C or EE 30 or CMPE 30 or their equivalents) (each with a grade of “C-” or better ). For IT majors: TECH 60 and MATH 71 (each with a grade of ‘C-’ or better).  Grading:Letter Graded   Cross-listed with ME 106 . Mechanical Engineering is responsible for scheduling.    Class Schedule|Syllabus Information|University Bookstore","4"
"Electrical Engineering","EE 110","Circuits and Systems","3 Continuous-time signals, circuits and systems. Impulse response and convolution. Laplace and Fourier transforms. Frequency response, transfer function, poles/zeros, filtering. Application to passive and active circuits, and to basic control, communications, and bio-systems.      Prerequisite(s):EE 98 and MATH 33A or MATH 33LA (each with grade of C- or better). Allowed Declared Major: Electrical Engineering.  Corequisite(s):EE 110L .  Grading:Letter Graded     Class Schedule|Syllabus Information|University Bookstore","3"
"Electrical Engineering","EE 110L","Continuous and Discrete Time Systems Lab","1 Matlab, LTspice, and Ipython used to solve realistic continuous and discrete time signals, circuits and systems problems. Application to passive and active circuits, to basic control, communications, and bio systems.   Lab 3 hours.    Prerequisite(s):EE 98 and MATH 33A or MATH 33LA (each with grade of “C-” or better).  Corequisite(s):EE 110 .  Grading:Letter Graded     Class Schedule|Syllabus Information|University Bookstore","1"
"Electrical Engineering","EE 110W","Circuits and Systems Workshop","1 Workshop designed to help all students excel in EE 110 . Students work in groups on challenging circuit analysis and systems problems to improve their understanding of concepts in EE 110 and lay the groundwork for success in future EE courses.      Prerequisite(s):EE 98 and MATH 33A or MATH 33LA (each with a “C-” or better).  Corequisite(s):EE 110 and EE 110L .  Grading:Credit/No Credit     Class Schedule|Syllabus Information|University Bookstore","1"
"Electrical Engineering","EE 112","Introduction to Signal Processing","3 Introduction to discrete-time signal processing. Sampling and aliasing. Frequency response, transfer function, poles/zeros. Z-transform. FIR and IIR filtering. The four Fourier transforms. Computing spectra and spectrograms. Bio-systems, speech, music, image processing applications with Matlab.      Prerequisite(s):EE 98 and MATH 33A (each with grade of C- or better) and Satisfactory Score on the Circuit Concepts and Problem Solving Placement Exam. Allowed Declared Major: Electrical Engineering.  Grading:Letter Graded     Class Schedule|Syllabus Information|University Bookstore","3"
"Electrical Engineering","EE 118","Digital Logic Circuit Design","4 Fundamentals of digital logic design. Boolean logic, MUXes, DEMUXes, decoders, encoders, comparators, arithmetic blocks, flip-flops, counters, registers, RAMs/ROMs, PLDs and FPGAs. Design of a simple computer CPU. Schematic capture and Hardware Description Language (HDL), particularly, Verilog.   Lecture 3 hours/lab 3 hours.    Prerequisite(s):EE 97 and EE 98 both with grades of “C-” or better. Allowed Declared Major: Electrical Engineering.  Grading:Letter Graded     Class Schedule|Syllabus Information|University Bookstore","4"
"Electrical Engineering","EE 120","Microprocessor Based System Design","4 Advanced algorithmic processes using MSI and SSI integrated circuits. Organization and interface requirements for a microcomputer. Hardware-software tradeoffs in digital systems.   Lecture 3 hours/lab 3 hours.    Prerequisite(s):EE 118 with grade of “C-” or better. Allowed Declared Major: Electrical Engineering.  Grading:Letter Graded     Class Schedule|Syllabus Information|University Bookstore","4"
"Electrical Engineering","EE 122","Electronic Design I","4 Design of circuits based on OPAMPS, diodes, MOSFETs and BJT’s, as applied to the contemporary issues of biomedical devices and power generation (solar cell modules), and power usage. Electronic CAD tools (LTPSICE) will be used extensively, PCB board design.   Lecture 4 hours/lab 3 hours.    Prerequisite(s):EE 110 and EE 97 both with grades of “C-” or better. Allowed Declared Majors: Electrical Engineering.  Grading:Letter Graded     Class Schedule|Syllabus Information|University Bookstore","4"
"Electrical Engineering","EE 124","Electronic Design II","4 Analysis and design of Analog integrated circuits using Bipolar and CMOS transistors. Topics include current sources, active loads, differential amplifiers, frequency response, frequency compensation, output stages, feedback amplifiers and operational amplifiers.   Lecture 3 hours/lab 3 hours.    Prerequisite(s):EE 122 and EE 128 both with grades of “C-” or better. Allowed Declared Major: Electrical Engineering.  Grading:Letter Graded     Class Schedule|Syllabus Information|University Bookstore","4"
"Electrical Engineering","EE 127","Electronics for Biomedical Applications","3 Study of the fundamental concepts of electrical circuits relevant to the use and design of biomedical instruments and devices currently used for patient care using several examples.      Prerequisite(s):EE 97, EE 110, and EE 112 (all with a grade of C- or better).  Grading:Letter Graded   High Impact Practice: Collaborative Assignments and Projects.     Class Schedule|Syllabus Information|University Bookstore","3"
"Electrical Engineering","EE 128","Physical Electronics","3 Review of semiconductor theory. Methods of device fabrication; p-n junctions; bipolar junction transistors; field-effect transistors (FETS); MOSFETs; and equivalent circuits.   Lecture 3 hours.    Prerequisite(s):MATE 153 with a grade of “C-” or better. Allowed Declared Major: Electrical Engineering.  Grading:Letter Graded     Class Schedule|Syllabus Information|University Bookstore","3"
"Electrical Engineering","EE 129","Introduction to Integrated Circuits Processing and Design","3 Basic processes involved in fabrication of integrated circuits; semiconductor physics, material preparation, oxidation, diffusion; photolithographic, thin-film deposition and etching. Simple component layout and evaluation of device parameters.   Lecture 2 hours/lab 3 hours.    Prerequisite(s):MATE 25 or MATE 153 with a grade of “C-” or better. Allowed Declared Majors: Any Engineering. Or Graduate/PBAC level.  Grading:Letter Graded   Cross-listed with MATE 129 . Materials Engineering is responsible for scheduling.    Class Schedule|Syllabus Information|University Bookstore","3"
"Electrical Engineering","EE 130","Electric Machines and Drives","3 This course introduces the theory of operation and the control of electro-mechanical machines including DC machines, DC brushless machines, and AC synchronous machines and their electric drive systems. Applications include robotics, electric vehicle, and electric power generation.   Lecture 3 hours.    Prerequisite(s):EE 110 and EE 112 both with grades of “C-” or better.  Grading:Letter Graded     Class Schedule|Syllabus Information|University Bookstore","3"
"Electrical Engineering","EE 132","Theory of Automatic Controls","3 Theory of linear feedback control systems. Transfer functions and block diagrams; root-locus techniques; frequency analysis techniques; compensation; transducers and servo-system elements.      Prerequisite(s):EE 110 and EE 112 both with grades of “C-” or better. Allowed Declared Major: Electrical Engineering.  Grading:Letter Graded     Class Schedule|Syllabus Information|University Bookstore","3"
"Electrical Engineering","EE 134","Power Systems","3 Introduction to power systems including: complex power, power factor correction, power quality, power flow analysis, grid steady state and transient stability, fault analysis, integration of renewable energy, theory and modeling of transformers, transmission lines, and synchronous generators.      Prerequisite(s):EE 110 and EE 112 both with grades of “C-” or better.  Grading:Letter Graded     Class Schedule|Syllabus Information|University Bookstore","3"
"Electrical Engineering","EE 136","Semiconductor Power Electronics","3 Study of power electronic circuits and applications including switch-mode regulators, AC-DC, DC-DC and DC-AC conversion, uninterruptible power supplies, variable speed drives, active filtering and harmonic cancellation; laboratory demonstrations. Applications include electric vehicle propulsion and spacecraft power systems.      Prerequisite(s):EE 122 with a grade of “C-” or better.  Grading:Letter Graded     Class Schedule|Syllabus Information|University Bookstore","3"
"Electrical Engineering","EE 138","Embedded Control System Design","3 Introduction to designing microcontroller-based embedded control systems using C programs to control input/output peripherals including general purpose I/Os, state machines, analog interfaces, pulse width modulation, digital filter implementation, design of control systems for motor, interrupt concepts, and real-time operating systems.   Lecture 2 hours/Lab 3 hours    Prerequisite(s):EE 112 and EE 120 both with grades of “C-” or better.  Grading:Letter Graded     Class Schedule|Syllabus Information|University Bookstore","3"
"Electrical Engineering","EE 140","Principles of Electromagnetic Fields","3 Static electromagnetic fields and waves using vector calculus methods. Development of Maxwell’s Equations. Dynamic effect of time varying electromagnetic fields and its applications.      Prerequisite(s):PHYS 52 , EE 110 , and EE 110L all with grades of “C-” or better. Allowed Declared Major: Electrical Engineering.  Grading:Letter Graded     Class Schedule|Syllabus Information|University Bookstore","3"
"Electrical Engineering","EE 160","Principles of Communication Systems","3 Introduction to communication systems. Harmonics for analysis of amplifiers and amplitude modulators. Sampling and its application to frequency shifting. Communication receiver architectures: Direct-conversion and heterodyne. Amplitude modulators and demodulators. Basic binary modulation techniques.   Lecture 2 hours/lab 3 hours.    Prerequisite(s):EE 112 with a grade of “C-” or better.  Grading:Letter Graded     Class Schedule|Syllabus Information|University Bookstore","3"
"Electrical Engineering","EE 161","Digital Communication Systems","3 Introduction to communication systems and noise. Binary communication systems. Pulse amplitude modulation. Digital modulation of amplitude, phase and frequency of a carrier signal. Modulation and signaling for wireless communication channels. Digital wireless communication using multiple antennas.      Prerequisite(s):EE 102 and EE 112 both with grades of “C-” or better. Allowed Declared Major: Electrical Engineering.  Grading:Letter Graded     Class Schedule|Syllabus Information|University Bookstore","3"
"Electrical Engineering","EE 165","Photovoltaic Fabrication/Testing Lab","1 Laboratory course covering photovoltaic (solar cell) design, fabrication, and testing. TCAD simulation tools will be used in design. Fabrication processes will include cleaning, surface texturing, deposition, diffusion, metallization, photolithography, etching, and electrical testing.   Misc/Lab: Lab 3 hours.    Prerequisite(s):MATE 25 or MATE 153 with a grade of “C-” or better; or corequisite of MATE 129 .  Grading:Letter Graded   Cross-listed with MATE 165 . Materials Engineering is responsible for scheduling.  SustainabilityFocused-SDG 7: Affordable and Clean Energy Class Schedule|Syllabus Information|University Bookstore","1"
"Electrical Engineering","EE 168","Microfluid Fabrication and Design","1 Hands-on design, fabrication, and testing of microfluidic devices. Processes including photolithography, soft lithography, and plasma bonding. Design problems for microfluidic devices. Introduction to microfluidics simulation.      Prerequisite(s):MATE 25 or MATE 153 or MATE 129 / EE 129 .  Grading:Letter Graded   Cross-listed with MATE 168 / ME 168 . Mechanical Engineering is responsible for scheduling.    Class Schedule|Syllabus Information|University Bookstore","1"
"Electrical Engineering","EE 169","Microelectromechanical Systems Fabrication and Design","1 Hands-on design, fabrication, and testing of micro electro-mechanical systems (MEMS). Processes including photolithography, etching, and metal deposition applied to MEMS. Design problems for MEMS transducer components. Introduction to MEMS simulation.   Misc/Lab: Lab 3 hours.    Prerequisite(s):MATE 25 or MATE 153 or MATE 129 / EE 129 .  Grading:Letter Graded   Cross-listed with MATE 169 / ME 169 . Mechanical Engineering is responsible for scheduling.    Class Schedule|Syllabus Information|University Bookstore","1"
"Electrical Engineering","EE 171","Introduction to Machine Learning for Electrical Engineers","3 Introduction to machine learning with hardware implementation. Topics include linear algebra and probability review, linear regression, multilayer perceptrons, stochastic gradient descent, and convolutional neural networks. Includes hands-on lab component in which students train neural networks using Keras and deploy the models to Field Programmable Gate Arrays (FPGAs).      Prerequisite(s):EE 102 (may be taken concurrently) and EE 118 (with grade of “C-” or better).  Grading:Letter Graded.     Class Schedule|Syllabus Information|University Bookstore","3"
"Electrical Engineering","EE 172","Introduction to Microwave Engineering","3 Topics in Microwave Engineering: Standard RF measurements, waveguide resonator and antenna. Transmission line theory, impedance matching, and design approach of selected microwave components. Emphasis will be on the fundamental principles and industrial practice of the designs. Commercial CAD tools.      Prerequisite(s):EE 98 , PHYS 52 , and MATH 33A or MATH 33LA (all with grades of “C-” or better). Allowed Declared Major: Electrical Engineering.  Corequisite(s):EE 140 .  Grading:Letter Graded     Class Schedule|Syllabus Information|University Bookstore","3"
"Electrical Engineering","EE 174","Analog Peripheral for Embedded Systems","3 Introduction to analog peripherals for embedded systems such as ADC/DAC, DC-DC Converters, Energy harvesting and solar cells, near field communication, RF-IDs, phase lock loops, clock generators, displays and touch screens. Industry based projects and applications are integral to the course.      Prerequisite(s):EE 110 and EE 112 both with grades of “C-” or better. Allowed Declared Major: Electrical Engineering.  Grading:Letter Graded     Class Schedule|Syllabus Information|University Bookstore","3"
"Electrical Engineering","EE 176","Computer Architecture and Organization","3 Course introduces the principles of computer organization and the basic architecture concepts. The course emphasizes performance and cost analysis, instruction set design, addressing modes, processor arithmetic, processor data and control path, pipelining, data and control hazard, parallelism, memory technology, memory hierarchy and management, and I/O systems.      Prerequisite(s):EE 120 with a grade of “C-” or better.  Grading:Letter Graded.     Class Schedule|Syllabus Information|University Bookstore","3"
"Electrical Engineering","EE 178","Digital Design with FPGAs","3 Advanced Digital Design Technologies as they relate to synchronous digital systems. Requires student design projects that deal with the use of CAD tools for the Design, Simulation, and Implementation of Systems with FPGAs.      Prerequisite(s):EE 118 with a grade of “C-” or better.  Grading:Letter Graded     Class Schedule|Syllabus Information|University Bookstore","3"
"Electrical Engineering","EE 180","Individual Studies","1-3 Individual work on special topics arranged by the student and faculty mentor. Enrollment is handled by the EE department office. A completed and approved application is required.      Prerequisite(s):BS in Electrical Engineering Senior in good standing. Allowed Declared Major: Electrical Engineering. Not available to Open University Students.  Grading:Credit/No Credit     Class Schedule|Syllabus Information|University Bookstore","1-3"
"Electrical Engineering","EE 181","Fundamentals of Internetworking","3 Data communication concepts, protocols, algorithms; 7-layer OSI reference model and implementations; physical media (fiber, wire); switching systems; LAN architectures and components, Ethernet, FDDI, TCP/IP, and related standards.      Prerequisite(s):EE 118 with a grade of “C-” or better.  Grading:Letter Graded     Class Schedule|Syllabus Information|University Bookstore","3"
"Electrical Engineering","EE 182","Analog and Mixed-Signal IC Test Development","3 Introduction to analog and mixed-signal IC and component measurements and automated testing. Test specifications, methods, techniques, and interfaces. Measurement accuracy, correction, and calibration. Automated test equipment (ATE) hardware and software. DAC/ADC testing and DSP-based testing. Analog and mixed-signal design for test (DFT). Laboratory exercises and mini projects.      Prerequisite(s):EE 112 , EE 118 , and EE 122 all with grades of “C-” or better.  Corequisite(s):EE 102 can be taken concurrently.  Grading:Letter Graded     Class Schedule|Syllabus Information|University Bookstore","3"
"Electrical Engineering","EE 183","Electronics Test Design Engineering II","3 Best practices in Test methods and techniques; ATE Test hardware/software, Device characterization; Multi-system reliability; Device interface board design, building, debug; ATE development and Execution.   Lecture 2 hours/lab 3 hours.    Prerequisite(s):EE 182 with grade “C-” or better.  Grading:Letter Graded     Class Schedule|Syllabus Information|University Bookstore","3"
"Electrical Engineering","EE 189","Special Topics in Electrical Engineering","3 Advanced topics in Electrical Engineering. Content varies from semester to semester.     Course may be repeated for credit when topic changes.  Prerequisite(s):Instructor consent/senior standing.  Grading:Letter Graded.     Class Schedule|Syllabus Information|University Bookstore","3"
"Electrical Engineering","EE 192","International Program Studies","1-6 Study Abroad and Away transfer credit course. Study Abroad and Away provides students the opportunity to study abroad on long term programs (Exchange Programs, CSU International Programs, and International Student Exchange Programs) and short-term programs (Faculty-Led Programs and Summer School Abroad Programs) for academic credit, offering Alternative Break Programs for cultural immersion, and designing other globally focused opportunities. This course is designated as a placeholder course for Study Abroad and Away programs.      Grading:Mixed Grading     Class Schedule|Syllabus Information|University Bookstore","1-6"
"Electrical Engineering","EE 198A","Senior Design Project I","1 Team design project proposal, business plan, oral design presentations of the initial phases of the design project, a written and oral defense of the proposed design project. Global and social issues in engineering. Individual written reports on professional development plans.   Lab 3 hours  SatisfiesUD Area: 4. Self, Society, and Equality in the U.S. (Formerly Area S) - when taken as part of EE major sequence.   Prerequisite(s):Electrical Engineering Senior in good standing in major, ENGR 100W (with grade of “C” or better), EE 120 , EE 122 , and EE 128 (with grades of “C-” or better).  Pre/Corequisite(s):concurrent enrollment with ENGR 195A or completion of ENGR 195A or completion of UD GE Area 4.  Grading:Letter Graded   Note(s):Meets UD GE Areas 3 and 4 when course is taken in combination with: EE 198B , ENGR 195A and ENGR 195B .   SustainabilityRelated-SDG 7: Affordable and Clean Energy Class Schedule|Syllabus Information|University Bookstore","1"
"Electrical Engineering","EE 198B","Senior Design Project II","3 Implementation of group design projects initiated in EE 198A. Group oral and written reports. Integrate global and social issues in engineering.   Lab 9 hours.  SatisfiesUD Area: 3. Cultures and Global Understanding (Formerly Area V)- when taken as part of the EE major sequence.   Prerequisite(s):Electrical Engineering Senior in good standing in major, EE 198A with a grade of “C-” or better, ENGR 100W with a grade of “C” or better. Completion of Core General Education and upper division standing are prerequisites to all UD GE courses.  Pre/Corequisite(s):Concurrent enrollment with ENGR 195B or completion of ENGR 195B or completion of GE Area V.  Grading:Letter Graded.   Note(s):Meets GE Areas S and V when course is taken in combination with: EE 198A , ENGR 195A and ENGR 195B .   SustainabilityRelated-SDG 7: Affordable and Clean Energy Class Schedule|Syllabus Information|University Bookstore","3"
"Electrical Engineering","EE 209","Network Security","3 Network security protocols and applications, cryptography algorithms, authentication systems, intrusion detection, network attacks and defenses, system-level security issues, and building of secure systems.      Prerequisite(s):EE 281 or instructor consent.  Grading:Letter Graded     Class Schedule|Syllabus Information|University Bookstore","3"
"Electrical Engineering","EE 210","Linear System Theory","3 Comprehensive overview of signals and linear systems with discrete-time emphasis. System attributes. Fourier transform families and properties. Convolution and correlation. The 2-sided z-transform. FIR and IIR filters analysis and realizations. State variable modeling. Sampling, filtering, and other applications. Computer simulations.      Prerequisite(s):Graduate standing.  Grading:Letter Graded     Class Schedule|Syllabus Information|University Bookstore","3"
"Electrical Engineering","EE 220","Radio Frequency Integrated Circuit Design I (RFIC Design I)","3 Study of transmitter and receiver architectures and their building blocks for modern wireless communication standards, high frequency modeling of passive and active circuit components realized in CMOS and BiCMOS technologies, networks theory, wideband matching, nonlinearity and noise link budgets.      Prerequisite(s):Graduate standing or instructor consent.  Grading:Letter Graded     Class Schedule|Syllabus Information|University Bookstore","3"
"Electrical Engineering","EE 221","Semiconductor Devices I","3 Study of semiconductors in equilibrium and nonequilibrium conditions; principles of semiconductor device fabrication, p-n junctions; and junction transistors; device modeling for circuit analysis.      Prerequisite(s):Graduate standing.  Grading:Letter Graded     Class Schedule|Syllabus Information|University Bookstore","3"
"Electrical Engineering","EE 222","Advanced Integrated Devices","3 Complementary Metal-Oxide Semiconductor (CMOS) device scaling; Silicon-On-Insulator (SOI) and 3D transistor technologies; Device modeling and simulation; Surveys on Wide-Band-Gap power electronics; 3D and cross-point memories, neuromorphic computing, opto-electronics and superconductor electronics.      Prerequisite(s):Graduate standing or instructor consent.  Grading:Letter Graded     Class Schedule|Syllabus Information|University Bookstore","3"
"Electrical Engineering","EE 223","Analog Integrated Circuits","3 Introduction to analog integrated circuits. Bipolar and MOS transistor models. Analysis and design of monolithic operational amplifiers. Frequency response. Feedback amplifier theory and design. Applications to specific case studies, such as phase-locked oscillators and wide-band amplifiers. Switched-capacitor filters.      Prerequisite(s):Graduate standing or instructor consent.  Grading:Letter Graded     Class Schedule|Syllabus Information|University Bookstore","3"
"Electrical Engineering","EE 224","High Speed CMOS Circuits","3 Analysis and design of digital integrated circuits; bipolar and MOS inverters and logic gates; semiconductor memories; gate arrays; standard cells; programmable logic array; computer-aided design; SPICE program is used extensively.      Prerequisite(s):Graduate standing or instructor consent.  Grading:Letter Graded     Class Schedule|Syllabus Information|University Bookstore","3"
"Electrical Engineering","EE 225","Introduction to Quantum Computing","3 Basic linear algebra with an emphasis on quantum computing will be introduced followed by quantum gates and quantum algorithms such as Shor’s algorithm. Simulation and hardware implementation will be used to enhance the learning experience. Requires a minimal background in linear algebra and quantum mechanics.      Prerequisite(s):Graduate standing or instructor approval.  Grading:Letter Graded     Class Schedule|Syllabus Information|University Bookstore","3"
"Electrical Engineering","EE 226","Cryogenic Nanoelectronics","3 Introduces the cryogenic nanoelectronics used in emerging technologies, such as quantum computers. The cryogenic and room temperature properties of the devices and circuits will be discussed and contrasted. Design skills of nanoelectronics devices and circuits at cryogenic temperature will be emphasized.      Prerequisite(s):Graduate standing or instructor consent.  Grading:Letter Graded     Class Schedule|Syllabus Information|University Bookstore","3"
"Electrical Engineering","EE 228","Noise Modeling Techniques in Quantum Electronics Circuits","3 Intricate world of noise sources and their impacts on circuit performance. Modeling techniques essential for mitigating noise-related issues. Quantum noise sources characteristics, noise measurement techniques and strategies for minimizing quantum noise in quantum circuits. Classical thermal, shot, and flicker circuit noises, analytical and simulation-based noise modeling approaches, noise reduction techniques in signal processing.      Pre/Corequisite(s):Graduate standing in good academic or instructor consent.  Grading:Letter Graded     Class Schedule|Syllabus Information|University Bookstore","3"
"Electrical Engineering","EE 230","Radio Frequency Integrated Circuit Design II","3 Low noise amplifiers, mixers, power amplifiers, LC voltage controlled oscillators, phase shifters, patch antennas and advanced layout to improve noise, stability, efficiency and bandwidth performance of nanoscale CMOS integrated circuits.      Prerequisite(s):Graduate standing or instructor consent.  Grading:Letter Graded     Class Schedule|Syllabus Information|University Bookstore","3"
"Electrical Engineering","EE 231","Automatic Control Theory","3 Fundamentals of state space techniques in the analysis and synthesis of dynamic control systems; relationship to classical control theory via the Laplace transform; controllability; observability; performance indices discrete systems; introduction to optimal control and Kalman filtering.      Prerequisite(s):Graduate standing or instructor consent.  Grading:Letter Graded     Class Schedule|Syllabus Information|University Bookstore","3"
"Electrical Engineering","EE 237","Vector Control of AC Machines","3 This course introduces modeling and control of electrical drive for AC motors and generators including induction, permanent magnet, and synchronous machines. The dynamic model, control methods, current regulation, and space vector modulation are discussed by both analysis and computer simulation.      Prerequisite(s):EE 210  Grading:Letter Graded     Class Schedule|Syllabus Information|University Bookstore","3"
