"school","subject","course_code","course_name","credits","description"
"School of Sciences","Graduate Science Courses","BIOL-T 587","Principles of Ornithology","3 cr.","Online Collaborative Course. This course provides an introduction and overview over the biology, ecology, evolution, behavior, and conservation of birds. Students will also learn to identify common birds by sight and sound. Regular independent bird watching trips are expected as well as a field research project on local bird diversity."
"School of Sciences","Graduate Science Courses","BIOL-T 591","History of Life","3 cr.","Online Collaborative Course. This course examines the evolutionary history of life based on the fossil record and genetic codes of existing organisms.Â  It also explores the history of changing philosophies regarding life's origin, from creation story-based religious views to the non-teleological views of modern revolutionary theory."
"School of Sciences","Graduate Science Courses","CHEM-T 510","Inorganic Chemistry","3 cr.","Online Collaborative Course. This course introduces fundamental concepts of inorganic chemistry including descriptive chemistry, bonding in coordination chemistry, organometallic chemistry, special topics in inorganic chemistry and biological inorganic chemistry."
"School of Sciences","Graduate Science Courses","CHEM-T 530","Organic Spectroscopy","3 cr.","This is a course in Organic Spectroscopy. This course is intended to give students a more complete picture of how spectroscopic methods (IR, UV, NMR, mass spectroscopy, and other methods) are used to elucidate the structure of complex organic molecules."
"School of Sciences","Graduate Science Courses","CHEM-T 540","Physical Chemistry","3 cr.","Online Collaborative Course. This course will touch on all the fundamental areas of Physical Chemistry. Emphasis is placed on content that expands the students' knowledge in the key areas and relates to concepts that are likely to be taught in introductory chemistry courses."
"School of Sciences","Graduate Science Courses","CHEM-T 550","Introduction to Biochemistry","3 cr.","Online Collaborative Course. Protein composition and structure, Enzyme kinetics, catalytic and regulatory strategies, Carbohydrates, Nucleic acids, Lipids and cell membranes, Transducing and storing energy - metabolic cycles, Responding to environmental changes."
"School of Sciences","Graduate Science Courses","CHEM-T 560","Environmental Chemistry","3 cr.","Online Collaborative Course. Chemical topics in environmental chemistry."
"School of Sciences","Graduate Science Courses","CHEM-T 570","Nuclear Chemistry","3 cr.","Online Collaborative Course. The fundamentals of nuclear chemistry and radiochemistry are covered. Topics may include nuclide types (origin, distribution), nuclide stability (quantum structure, binding energy), nuclear reactions (radioactive decay, fusion, fission), applications of nuclear phenomena (nuclear power plants, radioisotope dating, tracers, analytical techniques), and hazards (nuclear power plant accidents, biological effects of radiation)."
"School of Sciences","Graduate Science Courses","CHEM-T 590","Chemistry Capstone","3 cr.","Online Collaborative Course. Integration of knowledge and understanding from the literature that transcends subdisciplinary boundaries of chemistry."
"School of Sciences","Graduate Science Courses","MATH-T 601","Topics in Algebra","3 cr.","Online Collaborative Course. This course will cover core topics in Algebra, including Group Theory, Ring Theory, Field Theory, Commutative and Noncommutative Algebra, Number Theory, and other topics in Algebra."
"School of Sciences","Graduate Science Courses","MATH-T 610","Topics in Analysis","3 cr.","Online Collaborative Course. This course will cover graduate-level knowledge in Analysis applications, including Real Analysis, Complex Analysis, Fourier Analysis, and other topics in Analysis."
"School of Sciences","Graduate Science Courses","MATH-T 620","Topics in Topology/Geometry","3 cr.","Online Collaborative Course. Students will develop graduate-level knowledge in essential concepts of Topology/Geometry including topics in Euclidean and non-Euclidean Geometry, Point set topology, Differential Topology, Differential Geometry, and other topics in Topology/Geometry."
"School of Sciences","Graduate Science Courses","MATH-T 620","Topics in Topology/Geometry","3 cr.","Online Collaborative Course. Students will develop graduate-level knowledge in essential concepts of Topology/Geometry including topics in Euclidean and non-Euclidean Geometry, Point set topology, Differential Topology, Differential Geometry, and other topics in Topology/Geometry."
"School of Sciences","Graduate Science Courses","MATH-T 640","Topics in Differential Equations and Applications","3 cr.","Online Collaborative Course. Students will develop graduate-level knowledge in Differential Equations and Applications including Numerical Methods, Mathematics of Finance, Graph Theory, Mathematical Physics, and other topics."
"School of Sciences","Graduate Science Courses","MATH-T 650","Topics in Probability/Statistics","3 cr.","Online Collaborative Course. This course will cover graduate-level knowledge of key concepts of Probability/Statistics."
"School of Sciences","graduate","MATH-T 601","Topics in Algebra","3 cr.","Online Collaborative Course. This course will cover core topics in Algebra, including Group Theory, Ring Theory, Field Theory, Commutative and Noncommutative Algebra, Number Theory, and other topics in Algebra."
"School of Sciences","graduate","MATH-T 610","Topics in Analysis","3 cr.","Online Collaborative Course. This course will cover graduate-level knowledge in Analysis applications, including Real Analysis, Complex Analysis, Fourier Analysis, and other topics in Analysis."
"School of Sciences","graduate","MATH-T 620","Topics in Topology/Geometry","3 cr.","Online Collaborative Course. Students will develop graduate-level knowledge in essential concepts of Topology/Geometry including topics in Euclidean and non-Euclidean Geometry, Point set topology, Differential Topology, Differential Geometry, and other topics in Topology/Geometry."
"School of Sciences","graduate","MATH-T 640","Topics in Differential Equations and Applications","3 cr.","Online Collaborative Course. Students will develop graduate-level knowledge in Differential Equations and Applications including Numerical Methods, Mathematics of Finance, Graph Theory, Mathematical Physics, and other topics."
"School of Sciences","graduate","MATH-T 650","Topics in Probability/Statistics","3 cr.","Online Collaborative Course. This course will cover graduate-level knowledge of key concepts of Probability/Statistics."
