Course Code,Course Name,Description
CAS LK 314,Classical Chinese I for Students of East Asia,"Undergraduate Prerequisites: (CASLC112 OR CASLJ212) or advanced Korean with consent of instructor. - Introductory readings in Classical Chinese for students of Chinese, Japanese, and Korean. Learn the shared literary language of premodern East Asia and read masterpieces of East Asian philosophy, history, poetry, and fiction in the original. Effective Fall 2019, this course fulfills a single unit in the following BU Hub area: Aesthetic Exploration, Global Citizenship and Intercultural Literacy.
BU Hub Learn More"
CAS LK 319,Korean Language through Popular Music,"Undergraduate Prerequisites: (CASLK212) or consent of instructor. - Content-based advanced Korean language course designed to improve listening, speaking, reading, and writing skills while analyzing the lyrics to legendary Korean popular songs from the past to the contemporary. Effective Spring 2020, this course fulfills a single unit in each of the following BU Hub areas: Digital/Multimedia Expression, Creativity/Innovation.
BU Hub Learn More"
CAS LK 322,Korean for the Professions,"Undergraduate Prerequisites: (CASLK212) or consent of instructor. - Content-based advanced Korean language course focusing on developing communication skills needed in a variety of professional environments in Korea. Helps students prepare for job applications, interviews, professional meetings and presentations. Effective Fall 2019, this course fulfills a single unit in each of the following BU Hub areas: Global Citizenship and Intercultural Literacy, Oral and/or Signed Communication, Teamwork/Collaboration.
BU Hub Learn More"
CAS LK 375,Growing Up in Korea,"Examining memoirs, prose fiction, film, television dramas, and graphic narratives to ask: how have the conventions of Korean coming-of-age narratives evolved? What does this say about changes in Korean identity? What roles have gender and sexuality played in Korean stories of growing up? Effective Spring 2019, this course fulfills a single unit in each of the following BU Hub areas: Aesthetic Exploration, Global Citizenship and Intercultural Literacy.
BU Hub Learn More"
CAS LK 383,Modern Korean Culture through Cinema (in English translation),"Introduction to Korean Cinema from the early 20th century to the present. Discussion and essays on ethics of representation, colonialism, wars, state violence against citizens, psychological violence, sexual violence. Effective Fall 2018, this course fulfills a single unit in each of the following BU Hub areas: Aesthetic Exploration, Global Citizenship and Intercultural Literacy. Effective Fall 2019, this course fulfills a single unit in each of the following BU Hub areas: Aesthetic Exploration, Ethical Reasoning, Critical Thinking.
BU Hub Learn More"
CAS LK 400,T:KOR LANG&LIT,T:KOR LANG&LIT
CAS LK 410,Korean Conversation and Discourse,"Undergraduate Prerequisites: (CASLK312) or consent of instructor. - Introduction to linguistic, cultural, and conversational features of the Korean language. Students collect, transcribe, and analyze spoken-Korean data, gaining both a deeper understanding of Korean conversation and discourse norms and increased language proficiency at advanced levels or higher. Effective Spring 2022, this course fulfills a single unit in each of the following BU Hub areas: Oral and/or Signed Communication, Critical Thinking, Research and Information Literacy.
BU Hub Learn More"
CAS LK 430,Novels of Joseon Korea,"Undergraduate Prerequisites: (CASLK311 & CASLK312) - An advanced Korean language course focusing on understanding and interpreting three major novels of the mid-to-late Joseon era of Korea in their historical context. Opportunities for creative and expository writing.
BU Hub Learn More"
CAS LK 440,Korean Conversation and Composition through Media,"Undergraduate Prerequisites: (CASLK312) or consent of instructor. - Intensive practice of both oral and written forms of Korean. Survey of important cultural, social, political, and economic issues in Korea as portrayed in films, television, and periodicals. Development of effective written and spoken communication. Effective Spring 2024, this course fulfills a single unit in each of the following BU Hub areas: Digital/Multimedia Expression, Ethical Reasoning, Social Inquiry I.
BU Hub Learn More"
CAS LK 441,Advanced Korean: Issues in Korean Society,"Undergraduate Prerequisites: (CASLK312) or consent of instructor. - Reading, discussion, and writing about current and historical events in Korea, Korean literature in historical context, recent political and economic reports, and cultural analysis of Korean society. Course is conducted in Korean."
CAS LK 450,Topics in Advanced Korean,Undergraduate Prerequisites: (CASLK 312) or consent of instructor. - May be repeated for credit as topics vary.
CAS LK 460,Korean Translation,"Undergraduate Prerequisites: First Year Writing Seminar (e.g., WR 100 or WR 120). - Through training in translating from Korean into English, the course enhances knowledge of Korean language and culture and improves English writing as well as deepening the understanding of what is involved in translating one language into another. Students collaboratively translate a short-story by a South Korean author. In the Fall semester of 2024, this author participates in a workshop with the students and takes part in a public reading of the jointly prepared translation, to be published. Effective Fall 2020, this course fulfills a single unit in each of the following BU Hub areas: Writing- Intensive Course, Aesthetic Exploration.
BU Hub Learn More"
CAS LK 470,Topics in Korean Literature and Culture,Topics and prerequisites vary. May be repeated for credit if topics are different.
CAS LK 475,Major Authors in Korean Literature,"Undergraduate Prerequisites: First Year Writing Seminar (e.g., WR 100 or WR 120) - Closely examines major authors in Korean literature through their representative works in English translation. Students analyze each author's writing style, themes, and characters while exploring various theoretical questions, institutional practices, and cultural praxes regarding literary authors and authorship. Effective Fall 2021, this course fulfills a single unit in each of the following BU Hub areas: Writing-Intensive Course, Aesthetic Exploration.
BU Hub Learn More"
CAS LK 480,Readings in Korean Literature,"Undergraduate Prerequisites: two 300-level Korean language courses (CAS LK 311, LK 312, LK 313, and LK 316), or consent of instructor. - Topics vary. Closely examines original texts of Korean literature published since the early 20th century to deepen knowledge of Korean language and to develop critical thinking skills. Readings and discussions in Korean."
CAS LK 491,Directed Study: Korean,Undergraduate Prerequisites: consent of department and CAS Advising. - Application form available in the WLL Department.
CAS LK 492,Directed Study: Korean,Undergraduate Prerequisites: consent of department and CAS Advising. - Application form available in the WLL Department.
CAS LK 500,T:KOR LANG&LIT,T:KOR LANG&LIT
CAS LK 660,Korean Translation,"Graduate Prerequisites: Two 300-level Korean language courses such as LK 311, 312, 313, 319, 3 22, or consent of the instructor. Proficiency in contemporary Korean. Proficiency in Classical Chinese is welcome but optional. - Through training in translating from Korean into English, the course enhances knowledge of Korean language and culture and improves English writing as well as deepening the understanding of what is involved in translating one language into another. Effective Fall 2020, this course fulfills a single unit in each of the following BU Hub areas: Writing- Intensive Course, Aesthetic Exploration.
BU Hub Learn More"
CAS LL 690,Proficiency-Based Language Teaching 1,Undergraduate Prerequisites: graduate standing. - Introduces students to current language teaching methodologies and effective proficiency- and standards- based instruction. Students develop their own pedagogy projects with appropriate assessment parameters addressing all four language skills.
CAS LL 691,Proficiency-Based Language Teaching 2,"Undergraduate Prerequisites: (GRSLL690) or consent of instructor. - Fosters professional outlook on language teaching and learning. Students deepen their knowledge of instructional technologies, further develop proficiency-based pedagogy projects for their own courses, and prepare teaching philosophies, conference presentations, and other portfolio materials."
CAS LM 111,First-Semester isiXhosa,"Fundamentals of isiXhosa, a widely spoken African language. Focuses on developing basic communicative skills (reading, listening, speaking, and writing). Also explores aspects of the culture of the amaXhosa. Effective Fall 2020, this course fulfills a single unit in the following BU Hub area: The Individual in Community.
BU Hub Learn More"
CAS LM 112,Second-Semester isiXhosa,"Undergraduate Prerequisites: (CASLM111) - This four-skill African Language course in second-semester IsiXhosa leads toward proficiency in oral expression, second-semester listening comprehension, reading, cultural understanding, and writing. Effective Fall 2020, this course fulfills a single unit in the following BU Hub area: The Individual in Community.
BU Hub Learn More"
CAS LM 211,Third-Semester isiXhosa,"This third semester four-skill African language course develops communicative competence and confidence in the use of IsiXhosa in reading, writing, and speaking and listening. Effective Fall 2020, this course fulfills a single unit in the following BU Hub area: The Individual in Community.
BU Hub Learn More"
CAS LM 212,Fourth-Semester isiXhosa,"Undergraduate Prerequisites: (CASLM211) or the equivalent. - This fourth semester four-skills IsiXhosa course develops communicative competence and confidence in the use of IsiXhosa in speaking, reading, writing, and listening in culturally acceptable ways. Students learn to communicate at an intermediate high level of proficiency. Effective Fall 2018, this course fulfills a single unit in the following BU Hub area: Global Citizenship and Intercultural Literacy. Effective Fall 2020, this course fulfills a single unit in the following BU Hub areas: The Individual in Community, Global Citizenship and Intercultural Literacy.
BU Hub Learn More"
CAS LN 111,First-Semester Hindi-Urdu,"Undergraduate Prerequisites: placement examination, or for those who have never studied Hindi. - Elementary grammar, conversation, reading, writing. Effective Fall 2020, this course fulfills a single unit in the following BU Hub area: The Individual in Community.
BU Hub Learn More"
CAS LN 112,Second-Semester Hindi-Urdu,"Undergraduate Prerequisites: (CASLN111) or placement test results. - Continues the text from CAS LN 111; grammar, conversation, reading, writing. Effective Fall 2020, this course fulfills a single unit in the following BU Hub area: The Individual in Community.
BU Hub Learn More"
CAS LN 211,Third-Semester Hindi-Urdu,"Undergraduate Prerequisites: (CASLN112) or placement test results. - Development of communicative skills acquired in the first year. Readings in Indian civilization. Practice in conversational Hindi-Urdu. Writings exercises involving more complex grammatical patterns. Effective Fall 2020, this course fulfills a single unit in the following BU Hub area: The Individual in Community.
BU Hub Learn More"
CAS LN 212,Fourth-Semester Hindi-Urdu,"Undergraduate Prerequisites: (CASLN211) or placement test results. - Further review of the structures of Hindi-Urdu. Practice in conversation involving specialized topics. Advanced readings in Hindi. Frequent compositions. Satisfactory completion of LN 212 fulfills the CAS language requirement. Effective Fall 2018, this course fulfills a single unit in the following BU Hub area: Global Citizenship and Intercultural Literacy. Effective Fall 2020, this course fulfills a single unit in the following BU Hub areas: The Individual in Community, Global Citizenship and Intercultural Literacy.
BU Hub Learn More"
CAS LN 260,Gateway to Asian Cultures,"Panoramic introduction to the cultures of East and South Asia in comparative perspective (China, Japan, Korea, Vietnam, India). Examines shared foundations, transformative inflection points, sites, peoples, and ideologies over the past two millennia through primary texts and media. Effective Spring 2019, this course fulfills a single unit in each of the following BU Hub areas: Aesthetic Exploration, Global Citizenship and Intercultural Literacy.
BU Hub Learn More"
CAS LN 380,Modern India through Bollywood,"Explores the social history and culture of modern India through the lens of popular Hindi cinema, commonly called Bollywood. We analyze Bollywood films both as forms of art and as cultural texts, and examine how they reflect and interpret modern Indian society. Course readings focus on theoretical approaches to Hindi cinema, and also shed light on the larger historical and social context that surrounds it. Effective Spring 2021, this course fulfills a single unit in each of the following BU Hub areas: Global Citizenship and Intercultural Literacy, Aesthetic Exploration, Critical Thinking.
BU Hub Learn More"
CAS LN 381,Language and Identity in India: Exploring the Phenomenon of Hinglish,"Explores how the history and contemporary usage of Hinglish reflect India's postcolonial and globalized identity. Readings on sociolinguistic theories and linguistic rules of Hinglish, with examples from cinema, advertising, social media, and popular fiction. Course taught in English. Effective Spring 2022, this course fulfills a single unit in each of the following BU Hub areas: Global Citizenship and Intercultural Literacy, Social Inquiry I.
BU Hub Learn More"
CAS LN 491,Directed Study: Hindi-Urdu,Undergraduate Prerequisites: consent of WLL department and CAS Advising Office. - Application form available in department.
CAS LN 492,Directed Study: Hindi-Urdu,Undergraduate Prerequisites: consent of WLL department and CAS Advising Office. - Application form available in department.
CAS LP 111,First-Semester Portuguese,"Introduction to grammatical structures. Fundamental communications skills of listening, speaking, reading and writing. Exposure to the culture and civilization of the Portuguese-speaking world through media broadcast, literature readings, films, music, and videotapes. Lab required. Four hours weekly. Effective Fall 2020, this course fulfills a single unit in the following BU Hub area: The Individual in Community.
BU Hub Learn More"
CAS LP 112,Second-Semester Portuguese,"Undergraduate Prerequisites: (CASLP111) or consent of instructor. - Covers the important grammar points not studied in CAS LP 111. Further develops the four communicative skills while expanding students' background knowledge of the history and cultures of the Portuguese- speaking world. Lab required. Four hours weekly. Effective Fall 2020, this course fulfills a single unit in the following BU Hub area: The Individual in Community.
BU Hub Learn More"
CAS LP 211,Third-Semester Portuguese,"Undergraduate Prerequisites: (CASLP112) or placement test results. - Promotes cross-cultural understanding of the Luso-African-Brazilian cultures through authentic literary texts, multimedia, film and music. Completes study of grammatical structures and syntactical patterns. Emphasizes reading, writing and conversational competency. Conducted in Portuguese. Effective Fall 2020, this course fulfills a single unit in the following BU Hub area: The Individual in Community.
BU Hub Learn More"
CAS LP 212,Fourth-Semester Portuguese,"Undergraduate Prerequisites: (CASLP211) or consent of instructor. - Review of the grammar and syntax of Portuguese. Further develops reading, writing, and conversational competency while expanding students' knowledge of history and culture. Conducted in Portuguese. Fulfills the CAS language requirement. Effective Fall 2018, this course fulfills a single unit in the following BU Hub area: Global Citizenship and Intercultural Literacy. Effective Fall 2020, this course fulfills a single unit in the following BU Hub areas: The Individual in Community, Global Citizenship and Intercultural Literacy.
BU Hub Learn More"
CAS LP 231,Portuguese for Spanish Speakers 1,"Undergraduate Prerequisites: native or near-native speakers of Spanish only. - Designed to develop speaking, listening, reading, and writing skills in Portuguese for Spanish speakers. Focuses on comparisons between Spanish and Portuguese language systems for students to communicate accurately and effectively within a diversity of cultural situations. Effective Fall 202, this course fulfills a single unit in the following BU Hub area: The Individual in Community.
BU Hub Learn More"
CAS LP 232,Portuguese for Spanish Speakers 2,"Designed to continue to developing speaking, listening, reading, and writing skills in Portuguese. Focuses on comparisons between Spanish and Portuguese language systems for students to communicate accurately and effectively within a diversity of cultural situations. Effective Spring 2022, this course fulfills a single unit in the following BU Hub area: The Individual in Community.
BU Hub Learn More"
CAS LP 305,Topics in Portuguese Language and Culture,"Undergraduate Prerequisites: (CASLP212) or advanced Portuguese proficiency. - Taught in Portuguese. Can be repeated for credit as topics change. Explores historical, social, and political, aspects of Brazilian language and culture. Designed to increase fluency and accuracy in written and spoken Portuguese, broadening vocabulary and mastery of syntax. Topic for Fall 2023: Examines major Brazilian historical, political, and social developments through videos, films, literature, and media. Promotes intercultural competence and advances Portuguese proficiency skills in reading, writing, and speaking. Analyzes some important questions relating to contemporary Brazilian Identity. Effective Fall 2019, this course fulfills a single unit in the following BU Hub area: Global Citizenship and Intercultural Literacy.
BU Hub Learn More"
CAS LP 307,Portuguese for Business and Professional Life,"Undergraduate Prerequisites: (CASLP212) and consent of instructor. - This is a discussion-based course taught in Portuguese. It helps you develop effective reading, speaking and writing strategies needed to interpret authentic written and audio-visual sources, exploring different aspects of professional life in the Brazilian and the Portuguese-speaking world. Effective Spring 2020, this course fulfills a single unit in each of the following BU Hub areas: Digital/Multimedia Expression, Social Inquiry II, Teamwork/Collaboration.
BU Hub Learn More"
CAS LP 352,Tropical Metropolis and Brazilian Modernity,"Undergraduate Prerequisites: (CASLP212) or consent of instructor. - Focus on aesthetic and thematic changes in Brazilian art and literature during the country's waves of modernization, with attention to the repercussion of those themes in film production, music, and performance. Effective Fall 2019, this course fulfills a single unit in the following BU Hub areas: Aesthetic Exploration, Global Citizenship and Intercultural Literacy.
BU Hub Learn More"
CAS LP 362,Inventing Brazil (in English Translation),"This course focuses on the main figures who undertook the task of forging the national image of Brazil in the 20th century. It encompasses several cultural realms and intellectual disciplines -- literature, history, art, film, sociology, and anthropology. Effective Fall 2019, this course fulfills a single unit in the following BU Hub areas: Aesthetic Exploration, Global Citizenship and Intercultural Literacy.
BU Hub Learn More"
CAS LP 491,DS:PORTUGUESE,DS:PORTUGUESE
CAS LP 492,DS:PORTUGUESE,DS:PORTUGUESE
CAS LP 631,Portuguese for Spanish Speakers 1,"Undergraduate Prerequisites: native or near-native speakers of Spanish only. - Designed to develop speaking, listening, reading, and writing skills in Portuguese for Spanish speakers. Focuses on comparisons between Spanish and Portuguese language systems for students to communicate accurately and effectively within a diversity of cultural situations. Effective Fall 2020, this course fulfills a single unit in the following BU Hub area: The Individual in Community.
BU Hub Learn More"
CAS LP 632,Portuguese for Spanish Speakers 2,"Designed to continue to developing speaking, listening, reading, and writing skills in Portuguese. Focuses on comparisons between Spanish and Portuguese language systems for students to communicate accurately and effectively within a diversity of cultural situations. Effective Spring 2022, this course fulfills a single unit in the following BU Hub area: The Individual in Community.
BU Hub Learn More"
CAS LP 951,Directed Study: Portuguese,Undergraduate Prerequisites: graduate standing and consent of instructor. - Hours arranged. Consent of instructor and department.
CAS LP 952,Directed Study: Portuguese,Undergraduate Prerequisites: graduate standing and consent of instructor. - Hours arranged. Consent of instructor and department.
CAS LR 111,First-Year Russian 1,"An introduction to the fundamentals of Russian grammar. Extensive practice in orthography and pronunciation, development of comprehension and conversation skills. Reading of simple texts. If you have previous experience with Russian, a placement test is required. Effective Fall 2020, this course fulfills a single unit in the following BU Hub area: The Individual in Community.
BU Hub Learn More"
CAS LR 112,First-Year Russian 2,"Undergraduate Prerequisites: (CASLR111 or placement) - An introduction to the fundamentals of Russian grammar. Extensive practice in orthography and pronunciation: oral drills, development of comprehension and conversation skills. Reading of simple texts. Effective Fall 2020, this course fulfills a single unit in the following BU Hub area: The Individual in Community.
BU Hub Learn More"
CAS LR 211,Second-Year Russian 1,"Undergraduate Prerequisites: (CASLR112 or placement) - The fundamentals of Russian grammar and syntax. Development of reading and oral skills. Effective Fall 2020, this course fulfills a single unit in the following BU Hub area: The Individual in Community.
BU Hub Learn More"
CAS LR 250,Classics of Russian Prose (in English translation),"Prose works that define the Russian literary tradition, including Pushkin's Queen of Spades, Gogol's Overcoat, Turgenev's Fathers and Sons, Dostoevsky's Notes from the Underground, Tolstoy's Anna Karenina. Carries humanities divisional credit in CAS. Effective Fall 2018, this course fulfills a single unit in each of the following BU Hub areas: Aesthetic Exploration, Global Citizenship and Intercultural Literacy.
BU Hub Learn More"
CAS LR 280,Dostoevsky (in English translation),"Dostoevsky's evolution as novelist and philosopher. Explore major novels, including Crime and Punishment, The Idiot, and Demons, within cultural and political contexts; consider the significance of literary innovations and meditations on questions of morality, personality, freedom, health, justice, and evil. Carries humanities divisional credit in CAS. Effective Fall 2018, this course fulfills a single unit in each of the following BU Hub areas: Philosophical Inquiry and Life's Meanings, Aesthetic Exploration.
BU Hub Learn More"
CAS LR 281,Tolstoy (in English translation),"Tolstoy's evolution as novelist and moral philosopher. Explore major works, including War and Peace and Anna Karenina, within cultural and political contexts; consider the significance of literary innovations and meditations on questions of morality, death, freedom, justice, meaning, and happiness. Carries humanities divisional credit in CAS. Effective Fall 2018, this course fulfills a single unit in each of the following BU Hub areas: Philosophical Inquiry and Life's Meanings, Aesthetic Exploration.
BU Hub Learn More"
CAS LR 282,Russian Prose Classics of the Twentieth Century (in English translation),"Undergraduate Prerequisites: First Year Writing Seminar (e.g., WR 100 or WR 120). - Introduction to the major writers of twentieth-century Russian prose and to the literary traditions that they represent through a close reading of selected texts. Authors include Chekhov, Tolstoy, Babel, Bulgakov, Kharms, Pasternak, Shalamov, Solzhenitsyn, Petrushevskaya, Sorokin. Carries humanities divisional credit in CAS. Effective Fall 2018, this course fulfills a single unit in each of the following BU Hub areas: Aesthetic Exploration, Global Citizenship and Intercultural Literacy, Writing- Intensive Course.
BU Hub Learn More"
CAS LR 288,Dostoevsky's Brothers Karamazov,"Close, careful study of Dostoevsky's masterpiece, with eye to historical, philosophical, theological, cultural, and literary significance; explores Dostoevsky's reinvention of the novel alongside questions of morality, justice, modernity, community, personality, and the meaning of life. Taught in English. Effective Spring 2020, this course fulfills a single unit in each of the following BU Hub areas: Philosophical Inquiry and Life's Meanings, Aesthetic Exploration.
BU Hub Learn More"
CAS LR 289,Russian Culture (in English translation),"Introduction (in English) to Russian culture. Traces its development from legendary beginnings to today, focusing on such topics as everyday life, pop culture, national identity, and the woman question. Effective Spring 2022, this course fulfills a single unit in each of the following BU Hub areas: Aesthetic Exploration, Historical Consciousness, Critical Thinking.
BU Hub Learn More"
CAS LR 303,"Third-Year Russian 1: Reading, Grammar Review, and Conversation",Undergraduate Prerequisites: (CASLR212) - Reading original unabridged Russian prose and poetry. Intensive work on improvement of fluency and quality of expression; special attention to pronunciation.
CAS LR 304,"Third-Year Russian 2: Reading, Grammar Review, and Conversation",Undergraduate Prerequisites: (CASLR303 or placement) - Reading original unabridged Russian prose and poetry. Intensive work on improvement of fluency and quality of expression; special attention to pronunciation.
CAS LR 311,Russian Youth Culture,"Undergraduate Prerequisites: CASLR 212 or placement. - Explores the literature, culture, politics, and art of contemporary Russian youth throughout the former Soviet world; includes short stories, poems, paintings, photographs, and cinema. Consolidates and builds competencies in listening, speaking, reading, and writing Russian. Effective Fall 2019, this course fulfills a single unit in each of the following BU Hub areas: Global Citizenship and Intercultural Literacy, Oral and/or Signed Communication.
BU Hub Learn More"
CAS LR 312,Russia on Screen,"Undergraduate Prerequisites: CASLR 311 or placement. - Watch original unabridged Russian films and read scripts. Intensive work on improvement of fluency and quality of expression in Russian; special attention to pronunciation. Effective Fall 2019, this course fulfills a single unit in each of the following BU Hub areas: Global Citizenship and Intercultural Literacy, Digital/Multimedia Expression.
BU Hub Learn More"
CAS LR 327,Immigrant Women in Literature: Found in Translation?,"This course explores literature about migration created by women primarily from Eastern Europe. We read autobiographical narratives that focus on the shaping of transcultural identity with an eye to the problem of translation as a linguistic, cultural, and personal phenomenon. Effective Spring 2021, this course fulfills a single unit in each of the following BU Hub areas: Global Citizenship and Intercultural Literacy, Historical Consciousness, Critical Thinking.
BU Hub Learn More"
CAS LR 353,Stalin's Crimes: Gulag and Genocide,"Undergraduate Prerequisites: First Year Writing Seminar CAS WR 100 or 120 or equivalent. - History, poetry and prose written in the genocidal conditions of Stalinist Russia, when the revolutionary euphoria and artistic innovation of the 1920s came up against the political repression and violence of the modern totalitarian state. Readings and films from some of the greatest poets, directors and prose writers of the 20th century display the richness of modern Russian literature as well as the complex interplay of political power, cinema and the written word, of murderous history and the creative imagination, during the Ukraine famine-genocide and the gulags. Effective Spring 2023, this course fulfills a single unit in each of the following BU Hub areas: Writing-Intensive Course, Ethical Reasoning, Historical Consciousness.
BU Hub Learn More"
CAS LR 355,Chekhov: The Stories and Plays (in English translation),"Explores Chekhov's major plays and a wide selection from his prose (in English translation); studies the arc of his career, his aesthetic innovations, moral psychology, philosophical perspective. Includes practicum in which students produce a play composed of scenes from Chekhov. Effective Fall 2019, this course fulfills a single unit in each of the following BU Hub areas: Philosophical Inquiry and Life's Meanings, Aesthetic Exploration, Teamwork/Collaboration.
BU Hub Learn More"
CAS LR 401,Senior Independent Work,Undergraduate Prerequisites: approval of WLL Director of Undergraduate Studies. - SR INDEP WORK
CAS LR 402,Senior Independent Work,Undergraduate Prerequisites: approval of WLL Director of Undergraduate Studies. - SR INDEP WORK
CAS LR 403,Advanced Russian Grammar,"Undergraduate Prerequisites: (CASLR 312 or placement) - Subtleties of grammar and usage. Written projects, including English to Russian translations. Contemporary journalistic and literary sources."
CAS LR 404,Advanced Russian Conversation,"Undergraduate Prerequisites: CASLR 403 or placement. - Developing of advanced conversational skills through class discussions that stress contemporary vocabulary, idioms, and register. Student oral presentations related to such topics as nationality, religion, women's rights, crime, and politics. Frequent short essays."
CAS LR 442,Russian Media,"Undergraduate Prerequisites: CASLR 312 or placement. - A multimedia exploration of post-Soviet Russian mass media and pop culture. Engages in collaborative and in-depth study of contemporary Russian media sources (including print, music, television, film, and internet) while building and strengthening Russian proficiency. Taught in Russian. Effective Fall 2019, this course fulfills a single unit in the following BU Hub areas: Global Citizenship and Intercultural Literacy, Digital/Multimedia Expression.
BU Hub Learn More"
CAS LR 444,Advanced Russian: Folklore,"Undergraduate prerequisites: (CASLR 312 or placement) - Explores the continuing influence of folktales and folk belief on Russian literature, music, film, popular culture, and everyday life. Reading a wide selection of folktales in the original Russian, students examine the aesthetic, social, and psychological significance of both text and adaptation."
CAS LR 445,Russian in Boston: Advanced Experiential Russian,"Undergraduate Prerequisites: (CASLR 311) or consent of instructor. - In this immersive experiential course, students connect classroom learning to hands-on work in the community. Students are expected to help and learn from members of the Boston Russian community, and to reflect creatively on real- life experiences. Taught entirely in Russian. Effective Spring 2021, this course fulfills a single unit in each of the following BU Hub areas: The Individual in Community, Teamwork/Collaboration.
BU Hub Learn More"
CAS LR 457,Advanced Russian Language and Literature,"Undergraduate Prerequisites: First Year Writing Seminar (e.g., WR 100 or WR 120) - Introduces students to major works of Russian literature in the original: stories, poems, and prose excerpts from writers such as Pushkin, Gogol, Dostoevsky, Tolstoy, Chekhov, Akhmatova, Kharms, Shalamov, Petrushevskaya. Emphasis on speaking and writing. Discussions provide historical and cultural context.? Effective Spring 2020, this course fulfills a single unit in each of the following BU Hub areas: Aesthetic Exploration, Global Citizenship and Intercultural Literacy, Writing-Intensive Course.
BU Hub Learn More"
CAS LR 491,Directed Study: Russian,Undergraduate Prerequisites: consent of department and CAS Advising. - Application form available in department.
CAS LR 492,Directed Study: Russian,Undergraduate Prerequisites: consent of department and CAS Advising. - Application form available in department.
CAS LS 111,First-Semester Spanish,"For students who have never studied Spanish, or by placement test results. Introduction to grammatical structures. Emphasis on aural comprehension, speaking, and pronunciation. Introduction to Hispanic culture. Lab required. Effective Fall 2020, this course fulfills a single unit in the following BU Hub area: The Individual in Community.
BU Hub Learn More"
CAS LS 112,Second-Semester Spanish,"Undergraduate Prerequisites: (CASLS111) or placement test results. - Completes study of basic grammatical structures. Emphasis on speaking and aural comprehension. Readings on contemporary Hispanic culture. Writing assignments. Lab required. Effective Fall 2020, this course fulfills a single unit in the following BU Hub area: The Individual in Community.
BU Hub Learn More"
CAS LS 123,First-Year Spanish,"For beginners only. Intensive equivalent of one year of college Spanish. Effective Fall 2020, this course fulfills a single unit in the following BU Hub area: The Individual in Community.
BU Hub Learn More"
CAS LS 211,Third-Semester Spanish,"Undergraduate Prerequisites: (CASLS112) or placement test results. - Completes study of grammatical structures of Spanish. Use of spoken language in conversation. Reading in Hispanic civilization and of contemporary short stories. Writing exercises involving more complex grammatical and syntactical patterns. Effective Fall 2020, this course fulfills a single unit in the following BU Hub area: The Individual in Community.
BU Hub Learn More"
CAS LS 212,Fourth-Semester Spanish,"Undergraduate Prerequisites: (CASLS211) or placement test results. - Review of the structures of Spanish. Intensive practice of spoken language. More advanced readings from Hispanic culture. Frequent compositions. Satisfactory completion of CAS LS 212 fulfills the CAS language requirement. Effective Fall 2018, this course fulfills a single unit in the following BU Hub area: Global Citizenship and Intercultural Literacy. Effective Fall 2020, this course fulfills a single unit in the following BU Hub areas: The Individual in Community, Global Citizenship and Intercultural Literacy.
BU Hub Learn More"
CAS LS 306,Spanish Through Translation,"Undergraduate Prerequisites: (CASLS212) or Spanish SAT subject test score of 560 or higher, or placement test results. - Not open to students for whom Spanish is a first language. Advanced study of the Spanish language through the translation of written texts. Analysis of the theory and practice of translation as a catalyst of cultural transfer. Taught in Spanish. Topic for Fall 2024: Techniques of Literary Translation. Practice in translating different forms of literary prose including novels, short stories, letters, speeches, plays, children’s literature, and poetry from and into Spanish. Students explore key elements of cultural transfer while analyzing translation challenges and solutions of major translation theorists. Effective Fall 2020, this course fulfills a single unit in each of the following BU Hub areas: Global Citizenship and Intercultural Literacy, Oral and/or Signed Communication.
BU Hub Learn More"
CAS LS 307,Spanish Through Literature and the Arts,"Undergraduate Prerequisites: (CASLS212) or Spanish SAT subject test score of 560 or higher, or placement test results. - Not open to students for whom Spanish is a first language. Advanced study of the Spanish language through the analysis of literature in its relations to the arts and society. Topics for Fall 2024: Section A1: Indigenous Perspectives on Contemporary Global Issues. Explore indigenous cultures in Latin America from a decolonial perspective, addressing colonization's impacts and seeking insights into contemporary challenges like climate change, food sovereignty, and gender inequality. Invited guest scholars and indigenous activists enhance understanding without romanticizing the past. Section B1: What Are We Afraid Of? Horrific Dystopias, Nightmarish Tales, & the Appeal of the Dark Arts. A journey through expressions of fear in Hispanic cinema, literature, the arts. What are YOU afraid of? Come plunge into the depths of the horror, and dare to face the fear that holds you back... A cathartic experience? You bet! Section C1: Visual Creations in the Hispanic World. In this advanced course of Spanish language, we analyze and discuss works of art, including paintings, street art, sculptures, architecture, and film from the Hispanic World with an emphasis on the thematic and cultural messages contained within them. Effective Fall 2020, this course fulfills a single unit in each of the following BU Hub areas: Global Citizenship and Intercultural Literacy, Oral and/or Signed Communication.
BU Hub Learn More"
