"code","level","title","department","description"
"ECO-899","Graduate","Ph D Dissertation","Environmental Conservation","Contact department for description."
"ECON-103","Undergraduate","Introduction to Microeconomics","Economics","Introduction to the economics of markets and market economies. Basic concepts of demand, supply, production, prices, allocation of resources, and distribution of income. Public policy applications. (Gen.Ed. SB)"
"ECON-104","Undergraduate","Introduction to Macroeconomics","Economics","Economic theory of the macro-economy. Determinants of unemployment rates, inflation rates, national income, GDP. Tools of public policy available which can be used to promote macroeconomic goals. (Gen.Ed. SB)"
"ECON-105","Undergraduate","Introduction to Political Economy","Economics","Introduction to economic analysis for majors and nonmajors. Facts and concepts basic to understanding the U.S. economy today. Topics may include: unemployment, economic development, inequality, technology, social wealth, environment, government economic policy, economic alternatives, race and gender, and discrimination. Contrasting theoretical perspectives. (Gen.Ed. SB, DU)"
"ECON-203","Undergraduate","Intermediate Microeconomic Theory","Economics","Neoclassical microeconomic theory. Consumer behavior, theory of the firm, markets, income distribution, general equilibrium, welfare economics."
"ECON-204","Undergraduate","Intermediate Macroeconomic Theory","Economics","Analysis of theories of determination of national income, aggregate employment, and the price level. Monetary and fiscal policy. Inflation, unemployment, and economic growth."
"ECON-308","Undergraduate","Political Economy of the Environment","Economics","Application of the theories of political economy to environmental problems and issues. Topics include regulatory and market approaches to pollution and natural resource depletion; cost-benefit analysis and its economic and political foundations; and case studies of specific environmental problems such as acid rain, deforestation, and global warming."
"ECON-309","Undergraduate","Game Theory","Economics","Theory and applications of game theory, a major tool of analysis in economics, biology, and political science. Applications include: bargaining, auctions, the &quot;prisoner&#039;s dilemma,&quot; the &quot;tragedy of the commons,&quot; tacit collusion, competition among firms, and strategic interactions in labor, credit, and product markets. Prerequisites: ECON 103 or RES-ECON 102 and MATH 127 or 131 or 135."
"ECON-311","Undergraduate","Money and Banking","Economics","The nature and functions of money and the significance of monetary circulation, commercial banks, the Central Bank, the non-bank financial institutional structure; integration of monetary theory into a general theory of economic activity, employment, prices. Prerequisites: ECON 103 or RES-ECON 102, ECON 104 and ECON 204."
"ECON-365","Undergraduate","Writing In Economics","Economics","Intensive writing course dealing with various topics in economics. Fulfills the Junior Year Writing requirement for students whose primary major is Economics at UMass Amherst."
"ECON-394AI","Undergraduate","Fundamentals of International Political Economy","Economics","This class provides a thorough introduction to the field of international political economy (IPE), and thus to the study of how the global economy is governed. The class first reviews different theoretical approaches to international political economy and its foundational concepts. We will cover hegemonic stability theory, the economic benefits of creating international institutions and transnational regulatory standards, and how economic hierarchies structure the world. The class will also explore the history of global economic governance from the age of empires to the post-War Bretton Woods system to contemporary economic governance arrangements. It further examines a wide variety of contemporary issue areas in contemporary IPE research, including the political economy of international trade, the dynamics of global inequality, how global governance institutions are contested by civil society, the role of elite networks in global economic governance, and the operation of international financial regulation. Satisfies the Integrative Experience requirement for BA-Econ majors."
"ECON-899","Graduate","Ph D Dissertation","Economics",""
"EDUC-115","Undergraduate","Embracing Diversity","Education","This course is about cultural diversity in the University community and how we can better understand ourselves and others through an appreciation of college education as a cultural experience, with its own unique set of rules, biases, and expectations. (Gen. Ed. I, DU)"
"EDUC-210","Undergraduate","Social Diversity in Education","Education","Focus on issues of social identity, social and cultural diversity, and societal manifestations of oppression. Draws on interdisciplinary perspectives of social identity development, social learning theory, and sociological analyses of power and privilege within broad social contexts. (Gen.Ed. I, DU)"
"EDUC-225","Undergraduate","Controversial Issues in Education","Education","This course investigates major contemporary educational issues that affect the lives of teachers and students in today&#039;s classrooms. It explores the complex web of issues that children, families, and educators face in our diverse society. (Gen Ed SB)"
"EDUC-229","Undergraduate","International Education","Education","This course is designed to introduce students to the role of culture in education. After exploring the theoretical basis of culture, and its relationship to education, students will be exposed to a range of cultural perspectives from Africa, Asia and Latin America. (Gen.Ed. SB, DG)"
"EDUC-301","Undergraduate","Young Children in Familes and Schools","Education","This course provides an overview of research and practices related to working with families in the educational contexts of young children. Methods for developing positive partnerships between educational institutions and families are explored."
"EDUC-306","Undergraduate","Educational Psychology","Education","The purpose of this course is to provide students with an understanding of the major historical and contemporary theories of human development and learning and their educational implications."
"EDUC-308","Undergraduate","Love and Work","Education","This class develops the skills needed to begin to understand the complex components of human relationships and career decisions, with a focus on critical thinking and intentional decision making. (Gen. Ed. SB)"
"EDUC-325","Undergraduate","Introduction to Special Education","Education","This course is a study of the origin, diagnosis, and treatment of special needs children with an emphasis on learning, goal planning, and understanding their intellectual, social, physical and sensory needs."
"EDUC-351","Undergraduate","Foundations of Education","Education","A study of selected problems and issues in modern education through the disciplines of educational sociology, educational history, educational philosophy, comparative education, or social psychology."
"EDUC-377","Undergraduate","Intro to Multicultural Educ","Education","Introduction to the sociohistorical, philosophical, and pedagogical foundations of cultural pluralism and multicultural education. Topics include experiences of racial minorities, white ethnic groups and women; intergroup relations in American society, sociocultural influences and biases in schools; and philosophies of cultural pluralism."
"EDUC-378","Undergraduate","Survey of Children&#039;s Lit","Education","Survey of traditional and recent examples of children&#039;s literature and review of the varieties of books available."
"EDUC-393M","Undergraduate","S-Introduction to Early Childhood Education","Education","This course helps prospective early childhood teachers explore what it means to teach, and examines their assumptions about the teaching-learning process, and helps them formulate their own beliefs about educational practice based on how young children think and learn."
"EDUC-428","Undergraduate","Language and Literacy Development in the Early Childhood Curriculum","Education","Introduction to reading instruction. Critical overview of current approaches, methods, materials. Introduction to theories about the reading process and children&#039;s acquisition of written language."
"EDUC-562","Graduate","Abnormal Child &amp; Adolescent Psychology","Education","This course is designed to provide students with foundational knowledge in the area of abnormal child and adolescent psychology. Using a developmental approach to understanding psychopathology, the course seeks to understand the multiple transactional influences and the individual in context (social, cultural, life experiences) that influence child and adolescent development. Beginning with an overview of the field and foundational concepts, as well as the various factors that affect psychological development; the course will then examine the classification, assessment, and intervention of various diagnostic disorders (anxiety and obsessive-compulsive disorders, trauma and stressor related disorders, mood disorders, conduct disorders, attention deficit hyperactivity disorders, communication and learning disorders, intellectual disabilities, and autism)."
"EDUC-592L","Graduate","S-Soc Stud&amp;Serv Lrng","Education","This course will explore conceptual frameworks and content knowledge in social studies at the early / elementary level and the techniques of inquiry integral to the social sciences, i.e., interviews, survey, artifacts, original documents, and research groups. Students will engage in developing in-depth and connected knowledge and understandings structured around powerful ideas in the social sciences. Students will become familiar with national and state standards; competing ideas about the teaching of social studies, particularly at the Pre-K-6 level, will be discussed."
"EDUC-604P","Graduate","Psych In the Classroom","Education","This course will focus on the application of psychology to the process of educating adolescents in schools."
"EDUC-615AK","Graduate","Inclusive Classroom: Application","Education","This course is designed to support graduate level students, who are preparing for the role of teacher at the elementary education level, in acquiring an understanding of principles and practices underlying the creation of an inclusive learning environment for all students in the regular classroom. Adaptations to the curriculum and in the delivery of instruction which will enable all children, regardless of their learning strengths and needs, to reach their potential and achieve the goals and objectives as outlined with the general education curriculum, will be presented and discussed. Differentiation in content, process and product, based on students&#039; readiness levels, learning profiles and interests will be modeled and analyzed in preparation for the planning of lessons and units, based on the principals of differentiated instruction."
"EDUC-615CT","Graduate","Creativity, Technology, and Learning","Education","This course is designed to introduce students to ways of using learning technology to enable creativity in the classroom or any learning environment. It takes both a theoretical and a practical approach to creativity. Therefore, students will read and study theories and empirical studies of creativity, create curriculum for learning environments, as well as work to expand their own creativity."
"EDUC-621","Graduate","Managing Higher Education","Education","Course examines management issues in higher education. It explores the general field of organization and management theory; situates management theory within higher education institutions; and examines the distinct, overlapping, and sometimes conflicting roles and responsibilities of particular administrative positions within a college or university. Students also undertake the independent exploration of the management literature pertinent to their own area of work within higher education."
"EDUC-641","Graduate","Assessment, Evaluation &amp; Research in Higher Education","Education","The purpose of this course is two-fold: (1) to provide a general understanding of selected past and current research regarding undergraduate students, and (2) to provide knowledge of and practical experience in the assessment of various aspects of undergraduate student life. One major goal of the course is for students to learn to analyze survey data and write a research paper based on survey data. The following topics will be studied: research, assessment, and evaluation; survey design; data collection and analysis; literature reviews; report writing; and writing for publication."
"EDUC-643","Graduate","Foundations of Higher Education","Education","This is the first of a two semester course required of all entering students in the Master&#039;s program in higher education. It provides an overview of higher education in America and investigates the ways higher education is constructed, defined, managed, studied, and though about."
"EDUC-675","Graduate","Master&#039;s Integrative Seminar in Higher Education","Education","This course is the capstone course of the Master&#039;s program in higher education. The purpose is to demonstrate a command of the program&#039;s competencies through a culminating project."
"EDUC-678A","Graduate","Teaching and Facilitation for Social Justice Education","Education","This course develops your knowledge and skills in group facilitation in social justice education. Students will be introduced to models for facilitating conversations about social justice change, at both the personal and group level. We focus on self-awareness, developing critical reflective lenses related to your current work and contexts, and the development and delivery of action strategies intended to strengthen individual and collective social justice efforts."
"EDUC-680","Graduate","How Children In Developing Countries Learn to Read","Education","This course introduces participants to the basic principles of children&#039;s reading acquisition in low-resource classrooms in developing countries, no prerequisites."
"EDUC-680B","Graduate","Systems to Support Early Grade Reading in Developing Countries","Education","This course will introduce you to the components of systems to improve early grade reading in developing countries and to system reform and change."
"EDUC-696D","Graduate","IS-Learning, Media &amp;Technology","Education","Description not available at this time"
"EDUC-696F","Graduate","IS-Higher Education","Education",""
"EDUC-698ED","Graduate","P- Professional Practice &amp; Career Development in Higher Education","Education","Student teaching and/or internship"
"EDUC-748","Graduate","Current Issues in Community Colleges","Education","Study of the variant forms of two-year degree granting institutions, with attention to current philosophical and social issues."
"EDUC-881","Graduate","Comparative Educ","Education","Processes and problems of educational development in selected areas throughout the world. Interrelationship between education and culture, in a multicultural context. While historical antecedents are recognized, major emphasis on cultural forces responsible for contemporary educational practices."
"EDUC-899","Graduate","Ed D Dissertation","Education",""
"EDUC-899","Graduate","PhD Dissertation","Education",""
"ENGIN-351","Undergraduate","Writing in Engineering","Engineering","This course fulfills the University&#039;s Junior Year Writing Requirement for students in the College of Engineering. Students will be introduced to traditional technical and scientific writing forms, including outlines, summaries, mechanical and technical descriptions, extended technical definitions, research reports, and proposals. Grammar review, oral presentations and on-line research are significant components of this course. Students will also investigate ethics in engineering practice and research."
"ENGLISH-131","Undergraduate","Society and Literature","English","Introduction to the multifaceted ways literature both shapes and is shaped by its social and historical contexts. Analyses of plays, poems, and fictional and non-fictional narratives drawn from around the globe and in different eras. (Gen.Ed. AL, DG)"
"ENGLISH-132","Undergraduate","Gender, Sexuality, Literature, and Culture","English","Introduction to literature through a lens of gender identity and sexuality. Texts include fiction, plays, poems that deal with and inspire conversations about the public politics and personal experience of gender and sexuality, both in the past and present. (Gen.Ed. AL, DG)"
"ENGLISH-190N","Undergraduate","Environment, Climate Change, and the Humanities","English","This course introduces students to the exciting, interdisciplinary field of the Environmental Humanities, which engages with the relationship between humanistic study and environmental concerns, such as climate change. The course is anchored in literary studies (we will read novels and poetry from around the world). However, the course will also utilize other narratives such as those from visual culture. While questions of ecology, environment, landscape, and weather have always played a role in literary, historical, and philosophical inquiries, how might those critical lenses be utilized to think through urgent concerns such as anthropogenic climate change and unprecedented species extinctions around the world? Questions of climate and species extinctions are generally consigned to scientific enquiry; however, in this course we will learn how and why the humanities plays a crucial role in these debates. (Gen. Ed. AL, DG)"
"ENGLISH-202","Undergraduate","Later British Literature and Culture","English","The development of British literature from the Enlightenment of the 18th century through the Romaticism and Realism of the 19th century to the Modernism of the early 20th century; literary response to scientific and industrial changes, political revolution and the technical and social reordering of British society. Open only to English majors, and those studying at the University on international or domestic exchange."
"ENGLISH-221","Undergraduate","Shakespeare","English","A study of Shakespeare&#039;s dramatic art and poetic style through a representative selection of plays. Students may earn degree credit for only one of ENGLISH 221 and 222. (Gen.Ed. AL)"
"ENGLISH-254","Undergraduate","Introduction to Creative Writing","English","Analysis of problems of form, elements of genre, style and development of themes of stories and poems, written by class members and in class texts. Lecture, discussion, 5 poems, 2 stories, 2 essays. (Gen. Ed. AL)"
"ENGLISH-269","Undergraduate","American Literature and Culture After 1865","English","This course explores the definition and evolution of a national literary tradition in the United States from the Civil War to the present. We will examine a variety of issues arising from the historical and cultural contexts of the 19th and 20th centuries, the formal study of literature, and the competing constructions of American identity. Students will consider canonical texts, as well as those less frequently recognized as central to the American literary tradition, in an effort to foster original insights i9nto the definition, content, and the shape of ?literature? in the United States."
"ENGLISH-356","Undergraduate","Creative Writing Poetry","English","A seminar in writing poetry for students who demonstrate familiarity with the basics of imagery, rhythm, and form. Students write regularly, read and criticize one another&#039;s writing, read in contemporary poetry."
"ENGLISH-391AG","Undergraduate","S-Writing the Graphic Novel","English","A nuts-and-bolts look at comic books and graphic novels purely from the writer&#039;s side. With &#039;Making Comics&#039; by Scott McCloud as the basic text, we&#039;ll look at panel descriptions that inspire visuals, character-driven dialogue, the seven types of relationship between words and pictures, the writer/artist relationship and more. In addition to various writing exercises, students will develop their own ideas from springboards into completed scripts. This is not a course about artwork, and requires no artistic skill. It is also not a course about superheroes, treating graphic novel as an open medium capable of engaging any type of literary effort from genre to poetry."
"ENGLISH-391AJ","Undergraduate","S-Writing For A Living","English","Learn strategies and skills for presenting your book, your articles, your ideas, and yourself in a compelling and competitive manner to potential readers and buyers. Focusing on the rapidly changing world of publishing, will explore creative writing concepts that apply equally in creating job applications and business proposals."
"ENGLISH-899","Graduate","Ph D Dissertation","English",""
"ENGLWRIT-112","Undergraduate","College Writing","English Writing Program","ENGLWRIT 112 (College Writing) is a first-year college-level writing course designed to help students expand their ability to write essays for academic, civic, and personal purposes and to develop their rhetorical awareness to write effectively in new social contexts. Based on the assumption that writing is a social activity, this course requires active engagement in the writing process, including pre-writing, peer review, revision, and editing. Students write five essays. This is the only course at UMass Amherst which satisfies the General Education College Writing (CW) requirement. Prerequisite: Placement into ENGLWRIT 112 through the Writing Placement Exam or a passing grade in ENGLWRIT 111 Basic Writing. May not be taken Pass/Fail. (Gen.Ed. CW)"
"EPI-632","Graduate","Applied Epidemiology","Epidemiology","Intermediate level course. Application of epidemiologic methods to study the etiology, control, and impact on society of selected diseases."
"EPI-690A","Graduate","Introduction to Data Management and Analysis for Public Health Practice","Epidemiology","Students will develop fundamental skills in data management, data analysis, and interpretation of results that are relevant for public health practice. Throughout the course we will emphasize organization, reproducibility of results, and communicating your findings to a variety of audiences. Students will learn through practical experience with commonly used statistical software programs and a variety of real-world datasets."
"FILM-ST-170","Undergraduate","Introduction to Film Analysis: Cinematic Time Travel","Film Studies","This is an introduction to film studies and to the analysis of film. The course explores the complex nature and cultural function of cinema by focusing on time travel as both a central theme of a wide range of films and as a way of understanding how cinema works as a time-based medium. By studying films from various points in the global history of cinema - including films from nine countries and five continents - this course performs a transcultural introduction to the formal and stylistic aspects of cinematic storytelling. (Gen. Ed. AT)"
"FILM-ST-284","Undergraduate","The Undead Souths: Southern Gothic and Francophone Mythologies in Film &amp; Television","Film Studies","This course will explore themes of the Southern Gothic in works of Cinema and popular Televisual narratives. We will study the development of the lurid motifs of the Gothic that works affiliated with this genre often deploy to invoke a sense of horror and dread, moral corruption, and psychological abjection, all seemingly meant to assimilate the South and its citizens to the category of a degenerate and menacing otherness. The imagery of dismal landscapes, dark swamps, decaying architecture, fanatical and occult religious practices, and the often grotesque or monstrous figures and cultural tropes that aspire to associate the South with an imaginary medieval past, will be examined mostly as marks of an ambivalent ideological struggle surrounding the self-identity of America. Thanks to this regime of gothic tropes and insignia, America, on the one hand, heralds its own self-identity as culturally rich and historically continuous, and yet, it is, at least partly thanks to this same regimen of gothic tropes (understood as figures of otherness), on the other hand, that America also typically (or stereotypically) deals with anxieties arising from its attempts to define its own modern identity, and its identity as modern and exceptional. Such anxieties give rise to instances of negative stereotyping, and practices of cultural exclusion that the course critically interrogates. We also study several important ways in which the Gothic serves as an important voice for the marginalized, while enabling critical reflections on the social and cultural practices of exclusion we have alluded to. The history of slavery, the civil war, and its aftermath, as well as literature produced by certain Southern writers (such as William Faulkner, Thomas Wolfe, Carson McCullers, Flannery O&#039;Connor, Eudora Welty, Truman Capote, Tennessee Williams, Katherine Anne Porter, and others) since the late 19th century, will be identified as important defining contexts of emergence for the Southern gothic, and as the indispensable conditions that have made its deployment into 20th century film and television possible. Due attention will also be paid to the influence of French colonial adventures and interventions in shaping cultures and &quot;gothic&quot; mythologies of the American South, and the Caribbean, as well as the role played by America&#039;s own efforts to secure and maintain hegemonic influences on the region. The course is conducted in English, and requires no prior knowledge of the field. All films are streamed to your computer from the UMass library on demand. Required readings are provided online, and no book purchases are necessary. (Gen. Ed. AT, DU)"
"FILM-ST-311","Undergraduate","Film Production: How the Craft Works","Film Studies","This course will focus on a diversity of challenges in the art of film production. It will cover the phases of project development, financing, pre-production, production design, and executive production, together with post-production and distribution/commercialization. Students will have the chance to interact with each other, making the course both practical and dynamic. Students will also have the opportunity to assess and share the issues they encountered -or may encounter!- on their own work and the projects they have worked on or will work on in the future, receiving personalized feedback both from me and from your peers."
"FILM-ST-330","Undergraduate","Film Auteurs","Film Studies","This class will focus on one or two specific filmmakers and will aim to highlight their cinematic models, distinctive style and recurrent themes, within the theoretical framework of the &quot;auteur theory,&quot; thus offering students an introductory and comprehensive view of perhaps the most central concept in film studies."
"FILM-ST-353","Undergraduate","African Film","Film Studies","This course offers an introduction to African film as an aesthetic and cultural practice. Students should expect to be familiarized with the key ideas and objectives that have inspired and driven that practice since the early 1960s, and be furnished with the technical tools and methodological skills that would permit them to understand, analyze, and think critically about the artistic and thematic aspects of the films that are screened. They should also expect the course to provide them with a critical peek into several cardinal issues of social and cultural relevance in contemporary Africa and its history. Issues of interest typically include, the nationstate and its declining status, imperatives of decolonization, economic dependency and structural adjustment programs, orality and changing traditional cultures, diasporic migrations, urbanization and its problems, gender relations, civil wars, child soldiers, gangs, and related themes. Filmmakers studied include, but are not limited to, Abderrahmane Sissako, Gillo Pontecorvo, Ousmane Sembene, Raoul Peck, Jean-Marie Teno, Dani Kouyate, Mweze Ngangura, Gavin Hood, Neill Blomkamp, Moufida Tlatli, Djibril Diop Mambety (please note that this list is subject to change, and shall be updated as future changes are made). The course is conducted in English, and requires no prior knowledge of the field. All films are streamed to your computer from the UMass library on demand. Required readings are provided online, and no book purchases are necessary. (Gen.Ed. AT, DG)"
"FILM-ST-373","Undergraduate","Weimar Cinema: Experimentation and Entertainment","Film Studies","This course introduces students to key film genres, directors and artistic debates in Weimar Germany (1918-1933). Focusing primarily on German Jewish, women, and LGBTQIA+ film professionals, students will critically engage with significant political, historical, social and cultural events in Weimar cinema. Conducted in English. (Gen. Ed. AT, DG)"
"FILM-ST-390M","Undergraduate","Video Editing &amp; Film Montage","Film Studies","An in-depth immersion into the practice of video editing and film montage. This course will offer a thorough understanding of video editing techniques. Students will gain skills in file management, importing footage, remixing footage, working with audio, recording one?s screen, creating titles and more. Video exercises will be informed by montage theories and practices. Students will learn about various editing techniques employed by filmmakers and then recreate those techniques through practical exercises. The goal of this course is to learn by doing. This course will also offer a brief introduction to online remix culture through assignments. Readings and videos will offer students the opportunity to reflect on how the work they are creating corresponds to an existing creative and scholarly practice."
"FILM-ST-390T","Undergraduate","Writing for the Screen: Creating the TV/Streaming Series Pilot","Film Studies","We will study TV/Streaming pilot scripts to learn how they are constructed and how successful series are developed. Students will work on their own TV/Streaming projects. As students work through a series of assignments/writing prompts, they will address plot, character development, story structure to enunciate required elements for original script projects."
"FINANCE-301","Undergraduate","Fundamentals of Finance","Finance","The time value of money; valuation of financial securities; allocating capital; an introduction to risk and risky decision making; the financing decision of the firm; financial statement and working capital management; more special topics include mergers and acquisitions, and international finance. Prerequisite: ACCOUNTG 221"
"FINANCE-304","Undergraduate","Financial Modeling","Finance","Application of financial models in the business environment. The use of computer-based spreadsheet and simulation packages in business analysis."
"FINANCE-305","Undergraduate","Investments","Finance","Alternative types of investments, methods of investment analysis considering both return and risk of individual and portfolios of investments, functioning of markets for investment goods."
"FOOD-SCI-120","Undergraduate","Food Preservation-Why&amp;How","Food Science","Food preservation methods such as sterilization methods, refrigeration, freezing, drying explained in terms of physical, chemical, and biological principles. Their implementation in industrial processes and impact on society evaluated. (Gen.Ed. PS)"
"FOOD-SCI-150","Undergraduate","The Science Of Food","Food Science","Biological and chemical principles underlying the maintenance of food quality during the period after harvest to consumption. Topics include chemical, enzymic, physical, and biological deterioration; implications and prevention; food toxicology. (Gen.Ed. BS)"
"FRENCHST-110","Undergraduate","Elementary French I","French Studies","An introduction to French with an emphasis on acquiring a basic level of proficiency in the language and understanding of the culture of France and the Francophone world. Freshmen with one senior year of high school French with a grade of A or B or with two years of high school French are encouraged to enroll in FRENCHST 120 rather than this course."
"FRENCHST-120","Undergraduate","Elementary French II","French Studies","A second-semester elementary French course: a continuation of FRENCHST 110 with emphasis on acquiring basic level of proficiency in the language and understanding of the culture of France and the Francophone world. Prerequisite: FRENCHST 110, one semester of college French, or two years of high school French. Freshmen with senior year high school French with a grade of A or B are encouraged to enroll in FRENCHST 120 rather than 110."
"FRENCHST-230","Undergraduate","Intermediate French","French Studies","Course taught in French. Review of French grammar plus additional training in four skills: reading, writing, speaking, understanding. Should be elected by students intending to continue in French beyond the intermediate level. Prerequisite: FRENCHST 120, 126 or equivalent (two to three years of high school French)."
"FRENCHST-240","Undergraduate","Intrmd French-Four Skills","French Studies","Course taught in French. Practice with the four skills: reading, writing, understanding, and speaking. Readings of contemporary plays, short stories, journal articles. Frequent short written exercises. Review of grammar as questions arise. Suitable for students planning to continue beyond the 240 level. Prerequisite: FRENCHST 230 or equivalent. Note: Students in 246 need not take this course. This course completes the CHFA Language Requirement."
"FRENCHST-280","Undergraduate","Love and Sex in French Culture","French Studies","Is love a French invention? How do we explore, through literature, the substance behind the stereotypical association of love, romance, and sexual pleasure with French culture? Do sex, passion, and love always unite in the pursuit of emotional fulfillment in human relations, according to this literature? What affiliations does this literature interweave between such relations of love, requited or unrequited, and pleasure, enjoyment, freedom, self-empowerment, on the one hand, and on the other hand, suffering, jealousy, crime, violence, negativity, notions of perversion, morbidity, and even death? How are problems of gender roles and human sexuality?i.e. Hetero-, bi-, homo- and other forms of sexuality--approached in this literature? What connections or conflicts are revealed in this literature between human love relationships and the social norms and conventions within which they occur, as well as the forms of political governance that have been practiced in France over the centuries? Those are some of the issues that are investigated in this course, which offers a broad historical overview of selective ways in which love, passion, desire and erotic behavior in French culture have been represented and understood in Literature and, more recently, in film, from the middle ages to the twentieth century. Readings are from major French authors drawn from various centuries such as Marie de France, Beroul, Moliere, de Sade, Flaubert, Gide, and Duras. They will be supplemented with screenings of optional films that are based on those texts or are pertinent to them in important ways. (Gen. Ed. AL)"
"FRENCHST-284","Undergraduate","The Undead Souths: Southern Gothic and Francophone Mythologies in Film &amp; Television","French Studies","This course will explore themes of the Southern Gothic in works of Cinema and popular Televisual narratives. We will study the development of the lurid motifs of the Gothic that works affiliated with this genre often deploy to invoke a sense of horror and dread, moral corruption, and psychological abjection, all seemingly meant to assimilate the South and its citizens to the category of a degenerate and menacing otherness. The imagery of dismal landscapes, dark swamps, decaying architecture, fanatical and occult religious practices, and the often grotesque or monstrous figures and cultural tropes that aspire to associate the South with an imaginary medieval past, will be examined mostly as marks of an ambivalent ideological struggle surrounding the self-identity of America. Thanks to this regime of gothic tropes and insignia, America, on the one hand, heralds its own self-identity as culturally rich and historically continuous, and yet, it is, at least partly thanks to this same regimen of gothic tropes (understood as figures of otherness), on the other hand, that America also typically (or stereotypically) deals with anxieties arising from its attempts to define its own modern identity, and its identity as modern and exceptional. Such anxieties give rise to instances of negative stereotyping, and practices of cultural exclusion that the course critically interrogates. We also study several important ways in which the Gothic serves as an important voice for the marginalized, while enabling critical reflections on the social and cultural practices of exclusion we have alluded to. The history of slavery, the civil war, and its aftermath, as well as literature produced by certain Southern writers (such as William Faulkner, Thomas Wolfe, Carson McCullers, Flannery O&#039;Connor, Eudora Welty, Truman Capote, Tennessee Williams, Katherine Anne Porter, and others) since the late 19th century, will be identified as important defining contexts of emergence for the Southern gothic, and as the indispensable conditions that have made its deployment into 20th century film and television possible. Due attention will also be paid to the influence of French colonial adventures and interventions in shaping cultures and &quot;gothic&quot; mythologies of the American South, and the Caribbean, as well as the role played by America&#039;s own efforts to secure and maintain hegemonic influences on the region. The course is conducted in English, and requires no prior knowledge of the field. All films are streamed to your computer from the UMass library on demand. Required readings are provided online, and no book purchases are necessary. (Gen. Ed. AT, DU)"
"FRENCHST-353","Undergraduate","African Film","French Studies","This course offers an introduction to African film as an aesthetic and cultural practice. Students should expect to be familiarized with the key ideas and objectives that have inspired and driven that practice since the early 1960s, and be furnished with the technical tools and methodological skills that would permit them to understand, analyze, and think critically about the artistic and thematic aspects of the films that are screened. They should also expect the course to provide them with a critical peek into several cardinal issues of social and cultural relevance in contemporary Africa and its history. Issues of interest typically include, the nationstate and its declining status, imperatives of decolonization, economic dependency and structural adjustment programs, orality and changing traditional cultures, diasporic migrations, urbanization and its problems, gender relations, civil wars, child soldiers, gangs, and related themes. Filmmakers studied include, but are not limited to, Abderrahmane Sissako, Gillo Pontecorvo, Ousmane Sembene, Raoul Peck, Jean-Marie Teno, Dani Kouyate, Mweze Ngangura, Gavin Hood, Neill Blomkamp, Moufida Tlatli, Djibril Diop Mambety (please note that this list is subject to change, and shall be updated as future changes are made). The course is conducted in English, and requires no prior knowledge of the field. All films are streamed to your computer from the UMass library on demand. Required readings are provided online, and no book purchases are necessary. (Gen.Ed. AT, DG)"
"GEOGRAPH-100","Undergraduate","Earth: An Introduction to Physical Geography","Geography","Introduction to the breadth of physical geography, focusing on climatology, geomorphology, and biogeography. Diversity, spatial variation, and inter-relationships among climates, landforms, plants and animals, and people. Attention to human environmental relations and impacts. (Gen. Ed. PS)"
"GEOGRAPH-102","Undergraduate","Diversity, Globalization, and Sustainability: Introduction to Human Geography","Geography","A wide-ranging introduction to the ways people shape the world they live in. We will study the themes and concepts of human geography through the current issues and large questions which guide them. Lectures and reading will focus on the geographic aspects of cultural diversity, population issues, states vs. nations, the global economy, development, urbanization and the human transformation of the earth. We will cover major subdivisions of human geography including cultural geography, population geography, economic geography, social geography, urban geography and political geography. (Gen.Ed. SB, DG)"
"GEOGRAPH-110","Undergraduate","Introduction to Climate Science","Geography","This course is about the past, present, and future of global climate and environmental change. The fate of the climate system should be of interest to everyone; we will experience effects of climate change throughout the rest of our lives. This course is structured to help you better understand and to communicate: (1) the historical evolution in our understanding of climate change and the climate system; (2) how past and present climate data are obtained and applied using the scientific method to support the principles of climate science; (3) the roles that climate plays in affecting the natural world and our built environment, (4) how climate change has and will continue to impact human activities and society; (5) solutions for adaptation and mitigation to climate change and their connections with environmental justice. (Gen. Ed. PS)"
"GEOGRAPH-468","Undergraduate","GIS and Spatial Analysis","Geography","This course introduces fundamental concepts and methods of geographic information system. Emphasis on developing skills using GIS to solve typical spatial problems in the geosciences and environmental sciences."
"GEOGRAPH-585","Graduate","Introduction to GIS","Geography","This class serves as an introduction to Geographic Information Science (GIS). GIS is the science of spatial relationships, linking data to locations to explore relations between objects. Based in geographic thought and emerging from initial applications in natural resource management, GIS has evolved to be a universally applicable way of thinking and set of knowledge, skills, and practices. The goals of this course are to teach you basic GIS concepts through practice and theory, to enable you to make useful and meaningful contributions to various disciplines through spatial analysis. Throughout this course, you will be challenged to not only think spatially, but apply spatial analysis techniques within GIS."
"GEOGRAPH-668","Graduate","GIS and Spatial Analysis","Geography","Introduce the concepts and principles of GIS. Both theoretical and applied realms of GIS are emphasized in this course. Some important spatial analysis topics in GIS are also included."
"GEOLOGY-103","Undergraduate","Intro Oceanography","Geology","The natural processes of the ocean, including earthquakes and volcanoes, the hydrologic cycle and weather, ocean circulation and the global energy balance, the carbon cycle and productivity, biodi-versity and marine food webs, coastal dynamics. Also, global warming, sea-level rise, environmental degradation and the ocean system response to human activity and global change. Interactive class sessions, with considerable participation by students in problem solving, discussions, and demonstrations. Exams and grades based on teamwork as well as on individual performance. Students needing or wanting a laboratory component may register for GEO-SCI 131. (Gen.Ed. PS)"
