"code","title","description","credits","instructor"
"LALS 194F","Digital Investigations and Human Rights Witnessing","Explores the emerging field of digital investigations and the concept of human rights witnessing. Within the context of the impact of social media and digital technologies, course explores how ethics, power, and social inequalities affect everyday life in the digital realm, including its use to share stories of injustice and the ways access to social media and other technology is a reflection of societal inequalities. In what ways has the digital divide become more evident due to the COVID-19 pandemic? And finally, in what ways does repeatedly viewing traumatic posts online affect our well-being?","5","The Staff"
"LALS 194G","Chile: Social and Political Change","Analysis of Chilean politics and society from the election of Salvador Allende in 1970 to the present. Particular emphasis is given to understanding the different forces, internal as well as external, that broke the Chilean tradition of democratic rule in 1973, and to the current configuration.","5","The Staff"
"LALS 194H","Central America and the United States","This senior seminar focuses on the connections between Central America and the United States. Covers Central American history, the political and economic relations between the isthmus and the United States, and Central American media and literature. (Formerly Central American Political Relations with the U.S.)","5","The Staff"
"LALS 194L","Senior Seminar Research Development Lab","Provides hands-on guidance in the research and communication skills related to the LALS 194 Senior Seminar.","2","The Staff"
"LALS 194R","Violencia Cotidiana en las Americas","Senior seminar taught in Spanish. Engages a critical study of violence, social relations, and everyday life in contemporary Latin America. Focuses on the relationship between narratives and acts of violence, and the constitution and social effects of these representations. Requires proficiency in Spanish (written and spoken), and advanced reading knowledge of Spanish.","5","The Staff"
"LALS 194S","Nature/Cultures of Latin America","Students explore and apply ""ecocentric"" perspectives, and theories such as ""natureculture"" (introduced by feminist scholar Donna Haraway) as a means of building our own transdisciplinary approach to worlds beyond strictly human social configurations. Course incorporates a broad range of assigned reading and audiovisual resources. Seminar participants engage in class discussions, activities, and guided opportunities for natural history field observations. Course is divided into three topical modules, each of which has the dual purpose of introducing students to scholarship and methods relating to multi-species academic inquiry, and guiding the class through the conception, development, and writing of a relevant research project. Course is taught in tandem with LALS 194L, where students have further support in the multi-stage execution of their research projects.","5","The Staff"
"LALS 194T","Youth and Citizenship","Explores multiple and contested meanings of youth and citizenship; how youth, civic, and political identities are imagined, produced and negotiated in social and cultural locations; and how different versions of Latina/o youth citizenship are promoted and articulated by social and political institutions.","5","The Staff"
"LALS 194V","Comparative Migration Histories in the Americas","Traces major historical patterns of migration and related processes in the Americas over the past two centuries. Covers the social, cultural, political, and economic factors that drive and shape the movements of people and considers the ways migration has impacted the sending, transit, and receiving societies. Over the quarter, students come to understand major historical forces of migration that inform our contemporary world, including citizenship, urbanization, identity formations, globalization, and neoliberalism.","5","The Staff"
"LALS 194X","Extractivism and Socio-Environmental Conflicts in the Americas","Explores, in-depth, how local communities, transnational capital, and state participate in conflicts anchored in extractive sectors, for example, mining, agro-exports, and so on. Through digital-based, case-study research, students identify and explore the logics of action, strategic interests, and the rhetoric of the principal protagonists in socio-ecological conflicts.","5","The Staff"
"LALS 195B","Senior Project","Senior thesis writing under direction of major adviser. Students submit petition to sponsoring agency.","5","The Staff"
"LALS 195C","Senior Project","Senior thesis writing under direction of major adviser. Students submit petition to sponsoring agency.","5","The Staff"
"LALS 198","Field Study","Off-campus study in Latin America, the Caribbean, or nonlocal Spanish-speaking community in the U.S. Nature of proposed study/project to be discussed with sponsoring instructor(s) before undertaking field study; credit toward major (maximum of three courses per quarter) conferred upon completion of all stipulated requirements. Students submit petition to sponsoring agency.","5","The Staff"
"LALS 198F","Independent Field Study","Individual studies undertaken off-campus. Students submit petition to sponsoring agency.","2","The Staff"
"LALS 199","Tutorial","Supervised directed reading; weekly or biweekly meetings with instructor. Final paper or examination required. Students submit petition to sponsoring agency.","5","The Staff"
"LALS 199F","Tutorial","Supervised research and writing of an expanded paper, completed in conjunction with requisite writing for an upper-division course taken for credit in the major. Students submit petition to sponsoring agency.","2","The Staff"
"LALS 200","Bridging Latin American and Latina/o Studies","Provides historical and analytical foundations for the inter/transdisciplinary and transnational project of bridging the fields of Latin American and Latino studies (area and ethnic studies). Explores social, cultural, economic, and political changes connecting Latin America and U.S. Latina/o communities. Traces the intellectual genealogy of these efforts and how they contribute to each other. Introduces students to LALS' four substantive themes: (1) Transnationalisms, Migrations, and Displacement; (2) Intersectionality, Identities, and Inequalities; (3) Collective Action, Social Movements, and Social Change; and (4) Culture, Power, and Knowledge. Core requirement for students pursuing the Designated Emphasis in Latin American and Latino studies.","5","The Staff"
"LALS 200A","Power and Structure in the Américas","Examines historical processes and contemporary social, cultural, and political structures in the Américas. Explores power as a mesh that interweaves relations of exploitation/domination/conflict aimed at controlling different dimensions of social existence. Places particular emphasis on the nature of capitalist development in the Américas, colonialism, imperialism/anti-imperialism, nationalism/ transnationalism/ plurinationalism, and neoliberalism. Builds a contextual foundation for conceptual inquiry in the department’s four substantive themes. (Formerly Power and Society.)","5","The Staff"
"LALS 200B","Cultures and Subjectivities in the Américas","Introduces theoretical frameworks that explore the relationships between culture, power, and subjectivities. Emphasizes developing interdisciplinary, interpretive, and analytic skills and engages foundational critical approaches including queer theory, border theory, subaltern studies, intersectionality, feminisms, and critical race theory. (Formerly Theories of Culture in the Americas.)","5","The Staff"
"LALS 201","Research in Practice","Problematizes the construction of research approaches in the interdisciplinary field of Latin American and Latino studies, and showcases particular approaches in the social sciences and humanities so students may engage in innovative, transnational research. (Formerly Research in Praxis: Epistemology, Ontology, and Ethics.)","5","Cecilia Rivas"
"LALS 202","Latin/o American Spaces and Modernity","Students engage and discuss texts that examine the relationship between space, narratives, and ideas of the modern nation, along with critical studies that highlight the social effects of imaginaries and representations.","5","Cecilia Rivas"
"LALS 203","Latin American Social Movements","Grounds students in the social science literature on Latin American social movements, integrating anthropological, sociological, and political science approaches to the field.","5","Cecilia Rivas"
"LALS 204","Migration, Borders, and Borderlands","Explores concepts and approaches related to migration; the multiple types of borders that migrants transcend--geopolitical, social, cultural, or interpersonal; and borderland formations constructed in relation to bodies in motion.","5","Cecilia Rivas"
"LALS 205","Comparison as Method","Brings together comparative studies of physical and social mobility with a focus on race, migration, and citizenship. Both an articulation and study of comparison, course is organized around three components: comparative borders; comparative migration; and comparative ethnic studies. The questions animating it include: What happens when different histories, places, and peoples are compared? How and why do scholars in the humanities and humanistic social sciences compare? What are the strengths and challenges of a comparative approach? (Formerly offered as Comparative Mobilities.)","5","Cecilia Rivas"
"LALS 206","Queer Cuba","Seminar that engages social, political, and cultural histories of homosexuality in Cuba, focusing on LGBT ostracism and activism after 1959, with particular attention to the social and economic impact of the developments of the USSR on Cuba's LGBT population.","5","Cecilia Rivas"
"LALS 207","Youth Cultures, Global Capitalism, and Social Change","Introduces intellectual histories of youth studies scholarship in the context of Latin American and Latino studies; explores young people's lived experiences of racialized capitalism and globalization; and addresses various forms of youth resistance and the relationship between youth cultures, politics, and social change.","5","Cecilia Rivas"
"LALS 208","Politics of Childhood and Youth","Explores how narratives about children, teens, youth, and students are imbued with political significance, and the ways young people are actively engaged in political practices. Considers how representations and lived experiences of youth can serve to reproduce and/or challenge inequalities.","5","Cecilia Rivas"
"LALS 210","Latina Feminisms: Theory and Practice","Through an interdisciplinary approach, explores Latina feminist social theory and scholarly practiceâespecially in representation and interpretation of Latina experiences. Examining key texts at different historical junctures, charts how Latinas of varied ethnic, class, sexual, or racialized social locations have constructed oppositional and/or relational theories and alternative epistemologies or political scholarly interventions and, in the process, have problematized borders, identities, cultural expressions, and coalitions.","5","Cecilia Rivas"
"LALS 211","Paradigms of Race/Color, Sexuality, and Culture in Latin America","Explores foundational texts by Latin American intellectuals that have served to construct and sustain continental, regional, national, and transnational cartographies of identities and the search for lo americano. Examines race/color, sexuality, and culture by tracing their narrative and conceptual (trans)formations in the region and its diaspora. Most texts are read in the original language of publication.","5","Cecilia Rivas"
"LALS 212","Latina/o Ethnographic Practice","Explores the social construction of Latino cultures in their varied regional, national-ethic, and gendered contexts. Examines how culture, as a dynamic process constructed with a historical context of hierarchical relations of group power, is interrelated to the structural subordination of Latinos. Focuses on how power relations create a context for the creation of specific Latino cultural expressions and processes.","5","Cecilia Rivas"
"LALS 215","Latina Cultural Studies: Culture, Power, and Coloniality","Examines the theories and practices informing the field of Latina cultural studies in the Americas. For students pursuing the Designated Emphasis in Latin American and Latino studies and students with interest in theories of coloniality of power, decolonialism, intercultural and transnational feminist methodologies.","5","Cecilia Rivas"
"LALS 219","Central America: Intellectuals, Histories, and Futures","Provides students in LALS and related fields with an opportunity to engage theoretical frameworks and examine a range of intellectual currents that have shaped economic, social, and cultural processes in Central America from the late 1800s to the present. Readings include a range of scholarship and critical studies in order to analyze the roles of intellectuals and how their ideas circulated in the isthmus and beyond. Evaluates the roles of institutions, political ideologies, media, and modernity in the constitution and propagation of intellectual networks, how these shape popular attitudes in everyday life, and the futures of the Central American isthmus.","5","Cecilia Rivas"
"LALS 220","Transnational Civil Society: Limits and Possibilities","Analyzes social, civic, and political actors that come together across borders to constitute transnational civil society, drawing from political sociology, political economy, comparative politics, and anthropology to address collective identity formation, collective action, institutional impacts, and political cultures.","5",""
"LALS 225","Race in the Americas","Considers historical moments in the development of  race in the Americas to understand how race is given meaning and actualized through practices, beliefs, and behaviors. Interrogates theories and racial dynamics in the 19th through 21st centuries to reveal interconnections with constructions of gender and nation.","5",""
"LALS 235","Sexuality and Migration","Approaches the nexus of sexuality and migration to examine contemporary theories of citizenship, security, violence, and power. Drawing on case studies that center experiences at, around, and across diverse borders throughout the Americas, the course takes an intersectional approach to understand: how migration is embedded in sexual identities and practices; and how sexuality, alongside race, class, and gender, influence who migrates and under what circumstances. Examining how researchers have approached sensitive questions of sexuality, students emerge better prepared to develop future research in the broader thematic fields of transnationalism, migration, and displacement.","5",""
"LALS 240","Culture and Politics of Human Rights","Examines cultural, philosophical, and political foundations for human rights and provides students with critical grounding in the major theoretical debates over conceptualizations of human rights in the Americas. Addresses the role of feminist activism and jurisprudence in the expansion of human rights since the Universal Declaration of Human Rights. Addresses challenges of accommodating gender rights, collective rights, and social and economic rights within international human rights framework.","5",""
"LALS 242","Globalization, Transnationalism, and Gender in the Americas","Explores how globalization, transnationalism, and the social construction of gender are interrelated, contingent, and subject to human agency and resistance. Examines particular configurations of globalization, transnationalism, and gender through the AmÃ©ricas and their implications for race, space, work, social movements, migration, and construction of collective memory.","5",""
"LALS 244","Digital Mapping and Human Geographies","Explores the utility of geographical information systems (GIS) for social science research. This course has three components: critical discussions of spatial analysis in published research, training in GIS software, and the application of digital mapping to students' research projects.","5",""
"LALS 245","Epistemologies of the South","Examines efforts by intellectuals from the Global South, mainly Latin America, to cast off the political, cultural, and epistemological notions imposed by European colonialism and preserved today through the practices of Western/Eurocentric knowledge, to forge their own epistemologies of the South.","5",""
"LALS 249","Whiteness in Latin America","Examines whiteness in Latin America as a racial identity, a social condition, a set of cultural practices, a dominant standpoint, and a hyper-valued ideal. Analyzes the meanings and applicability of such concepts as ordinary whiteness, aspirational whiteness, the narcissistic pact of whiteness, the racialization of class, among others. Scrutinizes the intersections of whiteness with class, gender, nation, and language. Readings cover a wide range of Latin American countries and fields including anthropology, sociology, communication, and media and cultural studies.","5",""
"LALS 258","Critical Cultural Political Economy","Explores how the divide between cultural studies and political economy can be resolved through a post-disciplinary approach which is attentive to how semiotic and material practices co-constitute contemporary capitalism and an ever-changing set of strategies attempting to manage its multiple contradictions.","5",""
"LALS 265","Nature, Societies, and Archives in the Americas","Graduate students in LALS and related fields discuss interdisciplinary texts on the interconnection between Latin American species and geographies. Takes a historically grounded approach to address a range of topics related to the study of non-human subjects in this hemisphere, such as animals, plants, fungi, and the ecologies that they co-constitute. Topics include: centering non-humans in Latin American history; critical natural histories of the hemisphere; and inhabiting, and producing knowledge about, nature in contemporary AmÃ©rica. In addition, students choose their own related topic(s) of interest and complete a series of reflective and iterative writing assignments, culminating in a draft for (optional) future publication.","5",""
"LALS 292","LALS Graduate Colloquim","Required for all LALS graduate students in residence, colloquium includes a mix of activities aimed at supporting the development of graduate students as teachers, researchers, and active participants in academic communities. Includes lectures by distinguished speakers, work-in-progress sessions for both faculty and graduate student research, pedagogical theory and practice seminars, and professional development workshops.","2",""
"LALS 294P","Pedagogical Approaches in Latin American and Latino Studies","Provides training for graduate students in university-level pedagogy in general and in the pedagogy of Latin American and Latino studies specifically. Coordinated by a graduate student who has had substantial experience as a teaching assistant, under the supervision of a faculty member.","2",""
"LALS 297A","Independent Study","Students submit a reading course proposal to a department faculty member who supervises independent study in the field. Faculty and student jointly agree upon reading list. Students expected to meet regularly with faculty to discuss readings. This independent study must focus on a subject not covered by current UCSC graduate curriculum. Students submit petition to sponsoring agency. Enrollment restricted to graduate students.","5",""
"LALS 297B","Independent Study","Students submit a reading course proposal to a department faculty member who supervises independent study in the field. Faculty and student jointly agree upon reading list. Students expected to meet regularly with faculty to discuss readings. This independent study must focus on a subject not covered by current UCSC graduate curriculum. Students submit petition to sponsoring agency. Enrollment restricted to graduate students.","10",""
"LALS 297C","Independent Study","Students submit a reading course proposal to a department faculty member who supervises independent study in the field. Faculty and student jointly agree upon reading list. Students expected to meet regularly with faculty to discuss readings. This independent study must focus on a subject not covered by current UCSC graduate curriculum. Students submit petition to sponsoring agency. Enrollment restricted to graduate students.","15",""
"LALS 299A","Thesis Research","Enrollment restricted to graduate students and permission of instructor. Students submit petition to sponsoring agency.","5",""
"LALS 299B","Thesis Resaerch","Enrollment restricted to graduate students and permission of instructor. Students submit petition to sponsoring agency.","10",""
"LALS 299C","Thesis Research","Enrollment restricted to graduate students and permission of instructor. Students submit petition to sponsoring agency.","15",""
"PHIL 80E","Latin American Philosophy","Is there a general school of philosophy endemic to Latin America? Would it have to appeal to quintessential Western philosophical questions regarding knowledge, values, and reality? If not, why not, and would it then still count as philosophy? What difference do ethnic and national diversity, as well as strong political and social inequality, make to the development of philosophical questions and frameworks? Course explores a variety of historically situated Latin American thinkers who investigate ethnic identity, gender, and socio-political inequality and liberation, and historical memory, and who have also made important contributions to mainstream analytical and continental philosophy.","5","Kent Eaton"
"POLI 243","Comparative Methods","Introduces the comparative method in social science. Trains students in the use of this method by examining how scholars have used it to compare across national governments, subnational units, public policies, organizations, social movements, and transnational collective action.","5","Kent Eaton"
"THEA 161P","Theater in the Chicano Power Movement","Covers the rise of Teatro Chicano as a cultural-political force within the 1960's Chicano Power Movement starting with founding playwriter Luis Valdez and El Teatro Campesino and covering Chicana/o playwrights inspired by the movement, e.g. Cherrie Moraga, Luis Alfaro, and Josefina Lopez.","5","The Staff"
"THEA 161R","Theatre of American Cultures: Fighting Oppression","Course uses theory and practice to explore Theater of the Oppressed (T.O.), a humanist theatrical form with its roots in social justice that breaks the boundary between audience and stage. Through audience participation as ""spect-actors"" everyone is invited to move from passive to active to imagine and embody social change. Led by jokers, who ""difficultate"" rather than ""facilitate,"" T.O. has been used by groups around the world to explore, understand, and fight back against a wide range of oppressions. Students practice the games, techniques, methodology, and practical application of this activist theater form, explore the oxymoron of a T.O. class at UCSC, and discover what is possible when we become active creators of knowledge through theater. (Formerly Theater of American Cultures.)","5","The Staff"
"LATN 1","Elementary Latin","Instruction in Latin grammar, using a modern Latin method, designed to prepare for the study of classical literature. The sequence begins in the fall quarter only.","5","The Staff"
"LATN 2","Elementary Latin","Instruction in Latin grammar, using a modern Latin method, designed to prepare for the study of classical literature.","5","The Staff"
"LATN 99","Tutorial","Students submit petition to sponsoring agency.","5",""
"LATN 99F","Tutorial","Students submit petition to sponsoring agency.","2",""
"LGST 10","Introduction to Legal Process","Introduction to U.S. and comparative legal institutions and practices. Examines diverse areas of law from torts to civil rights to international human rights. Why is America portrayed as having an activist legal culture; why is law used to decide so many questions from presidential elections to auto accidents; can law resolve disputes that, historically, have led to war and violence; is the legal system fair and/or effective, and, if so, for whom and under what conditions?","5","Ryan Coonerty"
"LGST 107","Toleration, Speech, and Hate","Analyzes arguments concerning speech and toleration in the Western philosophical tradition. Is the freedom to think and speak freely a good thing? Why or why not? To what extent is this true? When does expression constitute harm, to either the community or individuals? What does it mean to tolerate those beliefs or practices you find bigoted? Evil? Dangerous to society? What kinds of disagreements can exist without destroying the political community, and what kinds can we simply not abide? Students will know and understand the very best arguments for free speech, for restricting certain kinds of speech and become empowered to engage with the speech disputes in our own political moment.","5","Ryan Coonerty"
"LGST 108","Gender, Sexuality, and Law","Analysis of legal issues related to gender, sexuality, and sexual orientation. Introduction to the key areas of gender and sexuality regulated by law and critical analysis of how law and policy should and do treat these issues.","5","Ryan Coonerty"
"LGST 109","Legal Theory","Offers systematic exploration of alternative conceptions of the nature of law, including positivism, natural law, formalism, realism, pragmatism, and theories of justice. Additional focus on the nature of law; relation of law and morality, rights and other legal concepts; and philosophical debates such as critical legal studies and critical race theory.","5","Ryan Coonerty"
"LGST 111B","Civil Liberties","Explores the status of American civil liberties as provided by the Bill of Rights. Particular attention will be given to issues of concern relating to the aftermath of 9/11, including issues relating to detainees, freedom of information requests, wiretapping authority, watch lists, profiling, and creation of a domestic intelligence agency.","5","Ryan Coonerty"
"LGST 111C","The First Amendment","Surveys First Amendment jurisprudence using history, case law, and philosophical writings. Class discusses emerging issues in free expression, including defamation, incitement to violence, hate speech, and freedom of the press. (Formerly Issues in Constitutional Law.)","5","Ryan Coonerty"
"LGST 113","Gay Rights and the Law","Examines relevant court cases as well as local, state, and federal laws that define boundaries for legal recognition of sexual orientation and personal sexuality. Explores legal assumptions behind current and historical cases defining personal sexuality and sexual orientation and considers the social and political impetus in each era that drove the courts and legislatures to make such decisions.","5","Ryan Coonerty"
"LGST 114","Jews, Anti-Semitism, and the American Legal System","Explores how Jews have influenced and been impacted by the American legal system. Students explore significant cases, debates, and trends in the law as it relates to Jewish identity, religious freedom, and conceptions of justice.","5","Ryan Coonerty"
"LGST 115","Law and the Holocaust","Examines the Nazi philosophy of law, and how it was used to pervert Germany's legal system in order to discriminate against, ostracize, dehumanize, and ultimately eliminate certain classes of human beings, and the role of international law in rectifying the damage.","5","Jacqueline Gehring"
"LGST 116","Comparative Law","Explores how countries organize their societies through legal rules. Particular attention is given to constitutional design, differences between common and civil law systems, changes brought about by the European Union, and the convergence of legal norms globally.","5","Jacqueline Gehring"
"LGST 117","Sports, Law, and Politics","Investigates the relationship between sports, law, and politics, focusing on racism, colonialism, post-colonialism, and globalization.","5","Jacqueline Gehring"
"LGST 118","Law and Literature","Explores variety of texts including novels, short stories, and essays as a source for reflection about the nature of law and legal practice. Readings include such writers as Herman Melville, Harper Lee, Richard Wright, Arthur Miller, Nadine Gordimer, and James Alan McPherson, among others.","5","Elizabeth Beaumont"
"LGST 124","Government Secrecy","Studies the history of America's regime of government secrecy from a human rights perspective. Focus is the dispiriting history of judicial deference to executive authority that enabled the massive secrecy regime to establish and perpetuate itself. Tracing the origin of the secrecy state to the nuclear program during World War II, students consider how the ""state secrets doctrine"" was codified in early Cold War jurisprudence as an all-purpose alibi for government interventions abroad and surveillance at home. The second half of the course turns to the 21st century War on Terror, highlighting the kidnappings, torture, and assassinations perpetrated by the secrecy state, with an eye on the role of the court system as a vehicle for exposure and redress.","5","Elizabeth Beaumont"
"LGST 125","History of the U.S. Penal Culture","Explores the history and theory of U.S. state punishment from its 17th-century beginnings to the present and notes evolving models of criminal deviance, focusing on how punishment systems legitimate particular models of criminal deviance, crime, and its correction.","5","Elizabeth Beaumont"
"LGST 130","Inequality and Law","Explores the complex relationship between race and the law in American society. Included subjects are critical race theory, civil rights and voting rights law, issues of the criminal justice system, intersections with issues of class and gender, and the social construction of race through law and legal decisions. (Formerly Race and the Law.)","5","Elizabeth Beaumont"
"LGST 131","Wildlife, Wilderness, and the Law","Introduction to wildlife, wilderness, and natural resources law, policy, and management. Examines rules governing resource allocation and use including discussion of fundamental legal concepts. Explores laws and management policies affecting wildlife and wilderness, including their origins and impacts. Examines how conflicts over natural resources are being negotiated today.","5","Ryan Coonerty"
"LGST 133","Law of Democracy","Explores the role of law in both enabling and constraining the actions of elected politicians in the U.S. Among issues examined are voting rights, redistricting, and campaign finance. Course asks how the law shapes and limits our ability to choose our elected leaders, and in turn, how the law is shaped by political forces.","5","Ryan Coonerty"
"LGST 137","International Environmental Law and Policy","International environmental law (IEL) endeavors to control pollution and depletion of natural resources within a framework of sustainable development and is formally a branch of public international lawâa body of law created by nation states for nation states, to govern problems between nation states. Examines landmark developments of IEL since 1972 within a historical continuum to better understand their strengths and weaknesses.","5","Jacqueline Gehring"
"LGST 139","War Crimes","Explores complex international human rights/humanitarian law issues surrounding genocide and other mass violence, beginning with the Nuremberg trials following World War II up to recent atrocities in Rwanda, Bosnia, and elsewhere. Covers basic legal framework of human rights law, examines specific situations on a case by case basis, and discusses what options the international community, the nations themselves, and individuals have in the wake of such catastrophes.","5","Jacqueline Gehring"
"LGST 146","Philosophy of Law","Introduction to topics in the philosophy of law. Begins by discussing some famously difficult legal cases. These motivate students to consider more generally how to theorize about law and legality. Course ends by examining a handful of modern legal issues from a philosophical perspective. Course asks students to formulate and defend their positions on classic and contemporary legal debates and provides them tools from moral and legal philosophy with which to work.","5","Jacqueline Gehring"
"LGST 148","Cites, Urban Planning, and the Law","Explores how local land use and planning objectives are defined and determined by federal, state, and (most importantly) local law. Focuses on California, and on California municipal law issues. Housing, transportation, water supply, regional government, environmental protection, natural resource protection, urban sprawl, and growth management issues are addressed as students learn how federal, state, and local laws relate to city urban planning problems.","5","Jacqueline Gehring"
"LGST 150","Children and the Law","Explores the legal rights of children. Topics may include juvenile justice, gang offenses, free speech and Internet censorship, religious rights, child custody and support, adoption, foster care, abuse and sexual harassment, special needs, public benefits, and medical care.","5","Jacqueline Gehring"
"LGST 152","Courts and Litigation","A study of the role of courts in society and the uses of litigation to address and deflect social problems. Focus is on recent developments in American litigation, but comparative materials may be considered.","5","Jacqueline Gehring"
"LGST 153","Immigration, Citizenship, and Law","Explores U.S. laws and policies regarding immigration and citizenship from historical and contemporary perspectives. Includes studying landmark court cases, key statues and regulations governing immigration and citizenship, and scholarly treatments in order to critically examine historical developments and contemporary debates.","5","Jacqueline Gehring"
"LGST 154","The Legal Profession","Lawyers stand between the legal system and those who are affected by it.  Examines this relationship descriptively and normatively, and from the point of view of sociological theory. Concentrates on the U.S. profession, with some comparative material.","5","Jacqueline Gehring"
"LGST 155","Topics in American Legal History: Making of American Constitutionalism","Explores some aspects of early American constitutional thought, particularly immediately preceding the American Revolution, situating early colonial constitutional thought within some of the larger themes and controversies of the 17th-century English constitutionalism, then considering some aspects of American constitutional thought in the founding period against the background of the colonial experience.","5","Jacqueline Gehring"
"LGST 156","Administrative Law and Challenges of Regulation","The rise of the regulatory state brings with it a host of questions regarding the exercise of state power and separation of powers. Takes up some of these questions; in particular, questions about administrative agencies and their relationship to the judiciary, the legislature and private individuals and groups. (Formerly Administrative Jurisprudence.)","5","Jacqueline Gehring"
"LGST 157","Political Jurisprudence","Explores some themes in legal and political theory, especially on the relationship of theories of justice, law, and ethics.","5","Jacqueline Gehring"
"LGST 158","Law and Politics of Memory","Examines why we choose to memorialize some aspects of our history, but not others. What impact do those choices have on our contemporary politics and society? How may memorials help create a stronger democracy?","5","Jacqueline Gehring"
"LGST 159","Property and the Law","Begins with an examination of the concept of property, then covers how different cultures characterize property and determine ownership and the laws and policies that define property in modern society. Topics include theories of property law, common property, property and natural resources, zoning, regulatory takings, and intellectual and cultural property","5","Jacqueline Gehring"
"LGST 161","Intellectual Property","Advanced study of the concepts, practices, and history of intellectual property. Topically, it is a study of how, when, and why you can own something like an idea, a story, a mathematical algorithm, a business process, or an arrangement of cells. Course is organized around different kinds of things one might own: artistic creation and representation (copyright), scientific discovery and invention (patents), and business processes and secrets (trademark and trade secrets). Studies different intellectual property regimes and the philosophical and moral issues underlying claims to intellectual property.","5","Jacqueline Gehring"
"LGST 173","Disability, Law, & Politics","Introduction to how individuals, societies, and states answer fundamental questions about disability, including what is or is not a disability, what causes disability, and what the proper responses to the existence of disabilities are.","5","Jacqueline Gehring"
"LGST 185","Legal Studies Internship/Field Seminar: Experiences in Law, Policy, and Society","A practicum seminar for students seeking field experience in law- and policy-making settings. Designed to be combined with an internship; provides structured class meetings and work, including weekly field notes and a final paper.","5","Ryan Coonerty"
"LGST 188A","Introduction to the Legal Profession and Legal Aid Work","Offers a basic introduction to key aspects of the Legal Profession, generally, as well as an introduction to the specific area of the profession known as Legal Aid -- the system and services through which under-served communities gain access to legal services. Course covers key elements of the legal profession and legal aid work, offering practical information and training on topics such as professional responsibility, ethics, confidentiality, interviewing skills, record keeping, communication, and working with diverse clients. It is particularly designed as a preparation or companion course for law-related internships and field student through courses such as OAKS 188B / LGST 188B (3 credits), OAKS 199, or LGST 185 Internship (5 credits).  Enrollment by permission of the instructor.","2","Henry Martin"
"LGST 193","Field Study","Field research performed off-campus, under the supervision of a member of the legal studies faculty.","5",""
"LGST 194","Group Tutorial","Provides a means for a small group of students to study a particular topic in consultation with a faculty sponsor. Students submit petition to sponsoring agency.","5",""
"LGST 195A","Senior Thesis","Preparation of a senior thesis over one, two, or three quarters, beginning in any quarter. When taken as a multiple-term course extending over two or three quarters, the grade and evaluation submitted for the final quarter apply to each of the previous quarters. Students submit petition to sponsoring agency.","5",""
"LGST 195B","Senior Thesis","Preparation of a senior thesis over one, two, or three quarters, beginning in any quarter. When taken as a multiple-term course extending over two or three quarters, the grade and evaluation submitted for the final quarter apply to each of the previous quarters. Students submit petition to sponsoring agency.","5",""
"LGST 195C","Senior Thesis","Preparation of a senior thesis over one, two, or three quarters, beginning in any quarter. When taken as a multiple-term course extending over two or three quarters, the grade and evaluation submitted for the final quarter apply to each of the previous quarters. Students submit petition to sponsoring agency.","5",""
"LGST 196","Senior Capstone","Examines related legal topics from an interdisciplinary perspective. Each focuses broadly on the relationship between law as a distinct system and law as an attempt to achieve justice, which requires that law remain open to claims of political morality generally. To what extent are legal norms internal to a separate system called law and to what extent are claims of political right in general relevant to question of what law is?","5",""
"LGST 198","Independent Field Study","Individual studies undertaken off-campus for which faculty supervision is not in person, but by correspondence. Students submit petition to sponsoring agency.","5",""
"LGST 198F","Independent Field Study","Individual studies undertaken off-campus for which faculty supervision is not in person, but by correspondence. Students submit petition to sponsoring agency.","2",""
"LGST 199","Tutorial","A student normally approaches a faculty member and proposes a LGST 199 course on a subject he or she has chosen. Students submit petition to sponsoring agency.","5",""
"LGST 199F","Tutorial","A student normally approaches a faculty member and proposes a LGST 199 course on a subject he or she has chosen. Students submit petition to sponsoring agency.","2",""
"ANTH 110C","California Pasts","This course is structured around four critical moments--missionization, Rancho-Era, Gold Rush, and World War II--through the eyes of the ethnic and racial minorities who experienced them. Special attention is given to oral, archival, and archaeological sources which reveal California's multiethnic pasts.","5","Dee Hibbert Jones"
"ANTH 126","Contraband: Shadow Economies and the Law","Course takes an interdisciplinary approach to studying contraband and smuggling. Focusing on concepts used to describe illegality we examine how ""shadow economies"" are central to the making of states and sovereignty, the legal and illegal being blurred.","5","Dee Hibbert Jones"
"ANTH 138","Political Anthropology","The ideas, in selected non-Western societies, about the nature of power, order, social cohesion, and the political organization of these societies.","5","Dee Hibbert Jones"
"ANTH 142","Anthropology of Law","An ethnographically informed consideration of law, dispute management, and social control in a range of societies including the contemporary U.S. Topics include conflict management processes, theories of justice, legal discourse, and relations among local, national, and transnational legal systems.","5","Dee Hibbert Jones"
"ART 181","Art, Power & Politics","Explores strategies artists use to engage political subject matter in the 21st century. Students create their own projects, research and test approaches, techniques and strategies learning from the ways national and international artists encode and convey information in creating political work. Methods range from community collaboration; to tactical culture jamming, participatory collaborative projects, activism and intervention, symbolic and gestural work, artist-led projects, performances and community projects.","5","Dee Hibbert Jones"
"ECON 128","Poverty and Public Policy","Studies the causes, consequences, and governmental response to urban poverty in the U.S. Topics include how public policy, the macroeconomy, race, gender, discrimination, marriage, fertility, child support, and crime affect and are affected by urban poverty. Emphasizes class discussion and research.","5","The Staff"
