Course Code,Course Title
GEOG 5374G,Adv Remote Sensing &amp; Phenology
GEOG 5384,Programming for Geographic Information Systems
GEOG 5394G,Web Mapping
GEOG 5404G,Advanced Geovisualization
GEOG 5414G,Advanced Climate Change and Societal Impacts
GEOG 5424,Topics in Political Geography
GEOG 5444,Topics in Physical Geography
GEOG 5514G,Advanced Tropical Meteorology
GEOG 5544,Remote Sensing in the Social Sciences
GEOG 5654,The Global Division of Labor
GEOG 5894,Final Examination
GEOG 5904,Project and Report
GEOG 5954,Study Abroad
GEOG 5974,Independent Study
GEOG 5984,Special Study
GEOG 5994,Research and Thesis
GEOG 6214,Forestry Lidar Applications
GEOG 6984,Special Study
GEOG 7994,Research and Dissertation
GEOS 1004,"Earth Science: Our Past, Present, and Future"
GEOS 1014,Evolution of the Earth-Life System
GEOS 1024,"Earth Resources, Society, and Environment"
GEOS 1034,Earths Natural Hazards
GEOS 1054,Age of Dinosaurs
GEOS 1064,"Climate History: Past, Present, and Future"
GEOS 1104,Introduction to Earth Sciences Laboratory
GEOS 1124,"Earth Resources, Society  and  Environment Laboratory"
GEOS 2004,Geosciences Career and Professional Development
GEOS 2014,Mission to the Planets
GEOS 2024,Earth's Dynamic Systems
GEOS 2104,Elements of Geology
GEOS 2444,Geoscience Field Observations
GEOS 2964,Field Study
GEOS 2974,Independent Study
GEOS 2974H,Independent Study
GEOS 2984,Special Study
GEOS 2994,Undergraduate Research
GEOS 3014,Environmental Geosciences
GEOS 3024,Computational Methods in the Geosciences
GEOS 3034,Oceanography
GEOS 3044,Geosciences Outreach
GEOS 3104,Elementary Geophysics
GEOS 3204,Sedimentology-Stratigraphy
GEOS 3304,Geomorphology
GEOS 3404,Elements of Structural Geology
GEOS 3504,Mineralogy
GEOS 3604,Paleontology
GEOS 3614,Soils
GEOS 3624,Soils Laboratory
GEOS 3634,Natural History Collections and Curation
GEOS 3644,Paleontological Laboratory Techniques
GEOS 3704,Igneous and Metamorphic Rocks
GEOS 3900,Bridge Experience
GEOS 3954,Study Abroad
GEOS 4024,Senior Seminar
GEOS 4084,Modeling with Geographic Information Systems
GEOS 4124,Seismic Stratigraphy
GEOS 4134,Interdisciplinary Issues and Ethics in Water Resources
GEOS 4154,Earthquake Seismology
GEOS 4164,Potential Field Methods in Exploration Geophysics
GEOS 4174,Exploration Seismology
GEOS 4184,Geodesy in the Earth Sciences
GEOS 4234,Vertebrate Evolution
GEOS 4244,Morphology of the Vertebrates
GEOS 4254,Integrative Earth System History
GEOS 4264,Sedimentary Basins
GEOS 4314,Coastal Hazards
GEOS 4354,Introduction to Remote Sensing
GEOS 4404,Advanced Structural Geology
GEOS 4614,Stable Isotope Biogeochemistry
GEOS 4624,Mineral Deposits
GEOS 4634,Environmental Geochemistry
GEOS 4714,Volcanoes and Volcanic Processes
GEOS 4804,Groundwater Hydrology
GEOS 4824,Engineering Geology
GEOS 4924,Tectonics
GEOS 4944,Study Abroad Topics in Geosciences
GEOS 4954,Study Abroad
GEOS 4964,Field Study
GEOS 4974,Independent Study
GEOS 4974H,Independent Study
GEOS 4984,Special Study
GEOS 4994,Undergraduate Research
GEOS 4994H,Undergraduate Research
GEOS 5014,Earth System History
GEOS 5024,Professional Development and Ethics in Geosciences
GEOS 5044,Writing and Communication in Geosciences
GEOS 5054,Seminars in Geosciences
GEOS 5084G,Intermediate Geographic Information Systems
GEOS 5124,Geodynamics
GEOS 5134,Dynamics of Planetary Surface and Interiors
GEOS 5144,Inverse Theory and Geoscience Applications
GEOS 5154,Strong-Motion Seismology and Seismic Hazard Analysis
GEOS 5184,Advanced Geodesy in the Earth Sciences
GEOS 5204,Terrigenous Depositional Systems
GEOS 5214,Carbonate Depositional Systems and Sequence Stratigraphy
GEOS 5234G,Advanced Vertebrate Evolution
GEOS 5244,Advanced Morphology of the Vertebrates
GEOS 5264,Advanced Sedimentary Basins
GEOS 5314,Advanced Coastal Hazards
GEOS 5354G,Advanced Remote Sensing
GEOS 5404G,Graduate Advanced Structure
GEOS 5535,X-Ray Crystallography
GEOS 5536,X-Ray Crystallography
GEOS 5614,Advanced Stable Isotope Biogeochemistry
GEOS 5634G,Advanced Environmental Geochemistry
GEOS 5704,Geochemical Thermodynamics
GEOS 5714G,Advanced Volcanic Processes
GEOS 5754,Fluids in the Earths Crust
GEOS 5804G,Advanced Groundwater Hydrology
GEOS 5814,Numerical Modeling of Groundwater
GEOS 5834,Chemical Hydrogeology
GEOS 5844,Advanced Interdisciplinary Issues and Ethics in Water Resources
GEOS 5924G,Advanced Tectonics
GEOS 5974,Independent Study
GEOS 5984,Special Study
GEOS 5994,Research and Thesis
GEOS 6104,Advanced Topics in Geophysics
GEOS 6204,Advanced Topics in Sedimentology
GEOS 6304,Advanced Topics in Paleontology
GEOS 6404,Advanced Topics in Structure/Tectonics
GEOS 6604,Advanced Topics in Geochemistry
GEOS 6704,Advanced Topics in Petrology
GEOS 6804,Advanced Topics in Surface Processes and Hydrology
GEOS 6984,Special Study
GEOS 7994,Research and Dissertation
GER 1105,Elementary German
GER 1106,Elementary German
GER 1114,Accelerated Elementary German
GER 2105,Intermediate German
GER 2106,Intermediate German
GER 2114,Accelerated Intermediate German
GER 2724,Introduction to German Culture and Civilization
GER 2964,Field Study
GER 2974,Independent Study
GER 2974H,Independent Study
GER 2984,Special Study
GER 3105,"Grammar, Composition and Conversation"
GER 3106,"Grammar, Composition and Conversation"
GER 3125,German Oral Proficiency
GER 3126,German Oral Proficiency
GER 3204,Culture of the German-Speaking Countries
GER 3305,Topics in German Culture and Literature
GER 3306,Topics in German Culture and Literature
GER 3474,Topics in German Cinema
GER 3954,Study Abroad
GER 3984,Special Study
GER 4154,Advanced Composition and Stylistics
GER 4304,Age of Goethe
GER 4314,Studies in 19th-Century Literature
GER 4324,Studies in 20th-Century Literature
GER 4334,"Special Topics in German Life, Literature, and Language"
GER 4794,Senior Tutorial in German Studies
GER 4964,Field Study
GER 4974,Independent Study
GER 4974H,Independent Study
GER 4984,Special Study
GER 4994,Undergraduate Research
GER 4994H,Undergraduate Research
GER 5334G,"Advanced Special Topics in German Life, Literature, and Language"
GER 5974,Independent Study
GER 5984,Special Study
GER 5994,Research and Thesis
GIA 5004,Power and Policy in the U.S.
GIA 5034,Democratic Governance in the Economy
GIA 5115,Research Methods I
GIA 5116,Research Methods I
GIA 5214,Contemporary Political Theory
GIA 5224,Perspectives Pol Theo
GIA 5254,Global Conflicts
GIA 5274,Comparative Social Movements
GIA 5284,Transnational Migration
GIA 5314,Middle East Geopolitics
GIA 5354,Public Policy Analysis
GIA 5364,Public Ecology
GIA 5374,Electronic Governance
GIA 5404,Topics in Political Geography
GIA 5414,Industrial Democracies
GIA 5424,Comm &amp; Post-Comm Sys
GIA 5434,Politics of Developing Areas
GIA 5444,International Politics
GIA 5454,Adv Info Tech Policy
GIA 5464,Qualitative Research Methods in Global Studies
GIA 5474,Global Governance
GIA 5484,Contemporary American Foreign Policy
GIA 5504,Discourse Analysis
GIA 5514,Global Security
GIA 5524,Internat Development
GIA 5554,Cult Pol Soc Network
GIA 5584,Environmental Politics and Policy
GIA 5614,Understanding The Israeli Palestinian Conflict
GIA 5624,Conflict Resolution and Peace Building
GIA 5664,Energy and Environmental Security
GIA 5704,Transatlantic Relations
GIA 5714,European Union
GIA 5724,European Political Economy
GIA 5734,European Politics &amp; Society
GIA 5744,European Security
GIA 5904,Project and Report
GIA 5964,Field Work/Practicum
GIA 5974,Independent Study
GIA 5984,Special Study
GIA 5994,Research and Thesis
GIA 6114,Critical Geopolitics
GIA 6124,Topics in Security Studies
GIA 6154,Topics in European Politics
GIA 6164,Topics in Transatlantic Relations
GIA 6174,Topics in EU Policies
GIA 6184,Topics in European Security
GIA 6204,Theories in Globalization
GIA 6214,Democracy Beyond the Ballot
GIA 6984,Special Study
GIA 7994,Research and Dissertation
GR 1105,Classical and New Testament Greek
GR 1106,Classical and New Testament Greek
GR 1205,Elementary Modern Greek
GR 1206,Elementary Modern Greek
GR 2104,Greek New Testament
GR 2114,Readings in Classical Greek Literature
GR 2964,Field Study
GR 2974,Independent Study
GR 2974H,Independent Study
GR 2984,Special Study
GR 4964,Field Study
GR 4974,Independent Study
GR 4974H,Independent Study
GR 4984,Special Study
GR 4994,Undergraduate Research
GR 4994H,Undergraduate Research
GR 5974,Independent Study
GR 6974,Independent Study
GRAD 5004,GTA Training Workshop
GRAD 5014,Academic Integ &amp; Plagiarism
GRAD 5024,Data Management Skills
GRAD 5034,Interdisciplinary Foundations of Disaster Resilience
GRAD 5104,Preparing the Future Professoriate
GRAD 5114,Pedagogical Practices in Contemporary Contexts
GRAD 5124,Topics in Graduate Library Research Skills
GRAD 5134,Topics in Interdisciplinary Research
GRAD 5144,Communicating Science
GRAD 5204,Citizen Scholar Seminar
GRAD 5214,Diversity and Inclusion for a Global Society
GRAD 5304,Career Development for the Future Professional
GRAD 5515,Laboratory Rotation in Molecular Plant Sciences
GRAD 5516,Laboratory Rotation in Molecular Plant Sciences
GRAD 5904,Project and Report
GRAD 5944,Graduate Cooperative Education Program
GRAD 5944P,Part-/short-term Co-op (MA/MS)
GRAD 5954,Study Abroad
GRAD 5964,Field Study
GRAD 5974,Independent Study
GRAD 5984,Special Study
GRAD 5994,Research and Thesis
GRAD 6864,Defending Masters Student
GRAD 6974,Independent Study
GRAD 6984,Special Study
GRAD 7864,Defending Doctoral Student
GRAD 7944,Graduate Cooperative Education Program
GRAD 7944P,Part-/short-term Co-op (PhD)
GRAD 7994,Research and Dissertation
HD 1004,Childhood and Adolescence
HD 1014,Introduction to Human Development &amp; Family Science First Year Experience
HD 1134,Introduction to Disabilities Studies
HD 1984,Special Study
HD 1984C,Special Study
HD 2004,Adulthood and Aging
HD 2014,"Integrative Practices for Health, Wellbeing, and Resilience"
HD 2104,Quantitative Approaches to Community Research
HD 2304,Family Relationships
HD 2314,Human Sexuality
HD 2335,Principles of Human Services
HD 2336,Principles of Human Services
HD 2964,Field Study
HD 2974,Independent Study
HD 2974H,Independent Study
HD 2984,Special Study
HD 3014,Research Methods in Human Development
HD 3024,Community Analytics
HD 3114,Issues in Aging
HD 3144,Education of Exceptional Learners
HD 3214,Infancy and Early Childhood
HD 3224,Middle Childhood and Adolescence
HD 3234,Child/Youth Community Services
HD 3254,Curriculum in Early Childhood
HD 3304,Advanced Helping Skills
HD 3464,Appalachian Communities
HD 3900,Bridge Experience
HD 3954,Study Abroad
HD 3954C,Study Abroad
HD 3954G,Study Abroad
HD 3964,Field Study
HD 3984,Special Study
HD 4304,Human Services Administration
HD 4324,Advanced Family Relationships
HD 4324H,Advanced Family Relationships
HD 4334,Perspectives On Addiction and Family Systems
HD 4354,"Family, Law, and Public Policy"
HD 4354H,"Family, Law, and Public Policy"
HD 4364,Gender And Family Diversity
HD 4714,Senior Capstone Seminar
HD 4964,Field Study
HD 4974,Independent Study
HD 4974H,Independent Study
HD 4984,Special Study
HD 4994,Undergraduate Research
HD 4994H,Undergraduate Research
HD 5005,Theories in Human Development and Family Science
HD 5006,Theories in Human Development and Family Science
HD 5104,Adult Development and Aging
HD 5224,Child Development in the Family Context
HD 5244,Sexual Health and Human Rights
HD 5254,Social Epidemiology and Health Inequities
HD 5324,Marriage and Family Relationships
HD 5344,Perspectives On Human Sexuality
HD 5424,Life Span Human Development
HD 5444,Clinical Marriage and Family Therapy II
HD 5454,Clinical Marriage and Family Therapy III
HD 5474,Professional Seminar In Marriage and Family Therapy
HD 5484,Clinical Marriage and Family Therapy IV
HD 5514,Research Methods
HD 5524,Qualitative Methods in HDFS
HD 5644,Program Development and Evaluation in Human Development
HD 5654,Grant Development and Administration in Human Development
HD 5714,Current Topics in Human Development
HD 5744,Special Topics in MFT
HD 5754,Internship
HD 5894,Final Examination
HD 5954,Study Abroad
HD 5964,Practicum
HD 5974,Independent Study
HD 5984,Special Study
HD 5994,Research And Thesis
HD 6004,Prof Development Seminar
HD 6414,Advanced Traditional Models In Marriage and Family Therapy
HD 6444,Advanced Contemporary Marriage and Family Therapy
HD 6464,Clinical Supervision of Marriage and Family Therapy
HD 6484,Marriage and Family Therapy Research
HD 6514,Adv Research Methods
HD 6524,Current Topics in Advanced Research Methods
HD 7994,Research And Dissertation
HEB 1105,Elementary Modern Hebrew
HEB 1106,Elementary Modern Hebrew
HEB 2974H,Independent Study
HEB 2984,Special Study
HEB 4974H,Independent Study
HEB 4994H,Undergraduate Research
HIST 1004,Introduction to History
HIST 1014,Topics in Reacting to the Past
HIST 1024,Ancient History
HIST 1025,Introduction to European History
HIST 1026,Introduction to European History
HIST 1084,Food Studies
HIST 1115,History of the United States
HIST 1116,History of the United States
HIST 1214,History of the Modern World
HIST 1215,Intro to World History
HIST 1216,Intro to World History
HIST 1224,Conquest and Culture in Latin American Empires
HIST 1354,Conflict and Security in Modern East Asia
HIST 1515,History of Africa
HIST 1516,History of Africa
HIST 1764,History of Rock n Roll
HIST 1984,Special Study
HIST 2004,Historical Methods
HIST 2054,Engineering Cultures
HIST 2104,Topics and Critical Issues in US History
HIST 2114,Topics and Critical Issues in European History
HIST 2124,Topics and Critical Issues in World History
HIST 2134,The Revolution Will Be Televised: Topics in History on TV
HIST 2166,History of France
HIST 2184,History of the Balkans
HIST 2224,Ancient Greek and Roman Women
HIST 2234,Classics in the Modern World
HIST 2244,Cities of Rome
HIST 2264,America in the 1960s
HIST 2275,African-American History
HIST 2276,African-American History
HIST 2345,History of the Middle East
HIST 2346,History of the Middle East
HIST 2355,History of China
HIST 2356,History of China
HIST 2364,History of Japan
HIST 2374,Gods and Kings in Premodern India
HIST 2384,Gandhi in the Making of Modern India
HIST 2394,Tofu to Tikka: Food in Asian History
HIST 2484,Modern Germany
HIST 2494,Cities in History
HIST 2504,Crime and Punishment in American History
HIST 2514,U.S. Food History
HIST 2524,History of Agriculture
HIST 2534,America at War
HIST 2544,U.S. South: Pre-Colombian to 1865
HIST 2554,U.S. South: 1865 to Present
HIST 2604,Introduction to Data in Social Context
HIST 2624,Topics in the History of Data in Social Context
HIST 2715,History of Technology
HIST 2716,History of Technology
HIST 2724,Introduction to Displacement Studies
HIST 2964,Field Study
HIST 2974,Independent Study
HIST 2974H,Independent Study
HIST 2984,Special Study
HIST 2984H,Special Study
HIST 3004,Colonial America
HIST 3014,The American Revolution
HIST 3054,The American Civil War
HIST 3084,"Recent America, 1917-Present"
HIST 3105,Women in U S History
HIST 3106,Women in U S History
HIST 3124,Murder in American History
HIST 3134,Sports in American History
HIST 3144,American Environmental History
HIST 3164,Sexuality in American History
HIST 3174,Native American History
HIST 3184,Food Sovereignty
HIST 3214,History of Appalachia
HIST 3224,History of Virginia
HIST 3234,The North American West
HIST 3254,The Vietnam War
HIST 3274,The Greek City
HIST 3284,The Roman Revolution
HIST 3294,Roman Britain
HIST 3304,The World of Alexander the Great
HIST 3314,The Later Roman Empire
HIST 3324,The Medieval World
HIST 3334,The Renaissance
HIST 3344,The Era of The Reformation
HIST 3354,Reform and Revolution in Early Modern England
HIST 3364,The Age of Revolution and Napoleon
HIST 3374,French Empire
HIST 3484,Nazi Germany: History and Memory
HIST 3494,The Holocaust
HIST 3504,The Age of The Crusades
HIST 3534,Modern Military History
HIST 3544,World War II
HIST 3554,Age of Globalization
HIST 3564,The Cold War
HIST 3594,The Rise of Modern Latin America
HIST 3604,Russia to Peter the Great
HIST 3614,Imperial Russia
HIST 3624,Health and Illness in African History
HIST 3644,Twentieth-Century Russia
HIST 3654,Arab-Israeli Conflict
HIST 3664,Revolutionary China
HIST 3674,Topics in Chinese History
HIST 3694,History through Film
HIST 3705,History of Science
HIST 3706,History of Science
HIST 3714,War and Medicine
HIST 3724,"History of Disease, Medicine, and Health"
HIST 3734,History of Modern Biology
HIST 3744,Social History of Film
HIST 3754,Public History
HIST 3764,Oral History: Methods and Practices
HIST 3774,Digital History
HIST 3914,Critical Reading and Analysis in History
HIST 3954,Study Abroad
HIST 3954B,Study Abroad
HIST 3984,Special Study
HIST 4004,Topics in Social and Cultural History
HIST 4014,"History Lab: Creative Technologies, Hidden Histories, Informal Learning"
HIST 4864,Internship
HIST 4914,History Research Seminar
HIST 4964,Field Study
HIST 4974,Independent Study
HIST 4974H,Independent Study
HIST 4984,Special Study
HIST 4994,Undergraduate Research
HIST 4994H,Undergraduate Research
HIST 5104,Historical Methods
HIST 5114,U.S. to 1877
HIST 5124,U.S. Since 1877
HIST 5134,Research Methods for Historians
HIST 5154,Writing Skills for the Professional Historian
HIST 5164,Writing Skills for Professional Historians II
HIST 5194,Topics in African American History
HIST 5205,Main Themes in the History of Science and Technology
HIST 5206,Main Themes in the History of Science and Technology
HIST 5214,Topics in Global History
HIST 5224,Readings in African History
HIST 5404,Science in Modern America
HIST 5414,Topics In Cultural History and Theory
HIST 5424,Public History
HIST 5434,Oral History Methods
HIST 5444,Digital History Methods
HIST 5454,Topics in Public History
HIST 5484,Contemporary American Foreign Policy
HIST 5544,Understanding The Israeli Palestinian Conflict
HIST 5694,Amer Environ Hist
HIST 5894,Final Examination
HIST 5904,Project and Report
HIST 5934,Gender in U.S. History
HIST 5964,Field Work/Practicum
HIST 5974,Independent Study
HIST 5984,Special Study
HIST 5994,Research and Thesis
HNFE 1004,"Foods, Nutrition And Exercise"
HNFE 1114,Orientation to HNFE
HNFE 1214,Topics in Lifetime Activities
HNFE 1215,"Meraki Living Learning Community, Be Well, Be You"
HNFE 1216,"Meraki Living Learning Community, Be Well, Be You"
HNFE 1804,Principles of Sport Science
HNFE 1984,Special Study
HNFE 2004,Professional Dietetics
HNFE 2014,Nutrition Across the Life Span
HNFE 2014H,Nutrition Across the Life Span
HNFE 2104,"Moving Body, Moving Mind"
HNFE 2204,Medical Terminology
HNFE 2254,Exercise Leadership - Group Fitness Instructor
HNFE 2264,Exercise Leadership- Personal Trainer
HNFE 2274,Wilderness First Responder
HNFE 2314,"Active Transportation for a Healthy, Sustainable Planet"
HNFE 2334,Introduction to Integrative Health
HNFE 2484,Evidence-Based Practice in Health Science
HNFE 2544,Functional Foods for Health
HNFE 2664,Behavioral Theory in Health Promotion
HNFE 2774,Topics in HNFE
HNFE 2804,Exercise and Health
HNFE 2824,Prevention and Care of Athletic Injuries
HNFE 2954,Study Abroad
HNFE 2964,Field Work/Practicum
HNFE 2974,Independent Study
HNFE 2984,Special Study
HNFE 2984A,Special Study
HNFE 2984N,Special Study
HNFE 2994,Undergraduate Research
HNFE 3024,Science of Food Prep Lab
HNFE 3034,Methods of Human Health Assessment
HNFE 3114,Foodservice and Meal Management
HNFE 3224,Communicating with Food
HNFE 3634,Epidemiologic Concepts of Health and Disease
HNFE 3804,Exercise Physiology
HNFE 3824,Kinesiology
HNFE 3954,Study Abroad
HNFE 3984,Special Study
HNFE 4004,Seminar in HNFE: Writing and Discourse in the Major
HNFE 4024,Emerging Issues in Dietetics
HNFE 4025,Metabolic Nutrition
HNFE 4026,Metabolic Nutrition
HNFE 4114,Food and Nutritional Toxicology
HNFE 4125,Medical Nutrition Therapy
HNFE 4126,Medical Nutrition Therapy
HNFE 4134,Experiential Approach to Nutritional Therapy
HNFE 4174,Nutrition and Physical Performance
HNFE 4224,Alternative and Complementary Nutrition Therapies
HNFE 4254,Experimental Foods
HNFE 4354,Dietary Supplements and Health
HNFE 4514,Nutritional Genomics
HNFE 4624,Community Nutrition
HNFE 4634,Socio-Cultural Food Systems
HNFE 4644,Health Counseling
HNFE 4645,Applications in Nutrition Counseling
HNFE 4646,Applications in Nutrition Counseling
HNFE 4754,Advanced Human Anatomy and Pathophysiology
HNFE 4774,Advanced Contemporary Topics in HNFE
HNFE 4804,Exercise Metabolism and Disease
HNFE 4814,Advanced Athletic Injuries
HNFE 4824,Advanced Kinesiology
HNFE 4834,Applications in Clinical Exercise
HNFE 4844,Exercise and Neuromuscular Performance
HNFE 4854,Internship in Exercise Science and Health Promotion
HNFE 4954,Study Abroad
HNFE 4964,Field Study
HNFE 4974,Independent Study
HNFE 4974H,Independent Study
HNFE 4984,Special Study
HNFE 4994,Undergraduate Research
HNFE 4994H,Undergraduate Research
HNFE 5034,Foundations in Nutrition Counseling and Communication
HNFE 5114G,Advanced Food and Nutritional Toxicology
HNFE 5124,Dissemination and Implementation Science: Bridging Research and Practice
HNFE 5125G,Adv Medical Nutrition Therapy
HNFE 5126G,Adv Medical Nutrition Therapy
HNFE 5144,Molecular Aspects of Nutrition and Disease
HNFE 5154,Research Methods in Nutrition and Physical Activity
HNFE 5164,Molecular Aspects of Diet and Cancer
HNFE 5174G,Advanced Nutrition and Physical Performance
HNFE 5184,Advanced Macronutrient Metabolism
HNFE 5194,Dietary Supplements and Health
HNFE 5204,Translational Science in HNFE
HNFE 5214,Physical Activity and Health
HNFE 5254,Program Development in Health Education
HNFE 5304,Principles of Dietetics and Nutrition Practice
HNFE 5314,Business of Dietetics and Healthcare
HNFE 5324,Public Health Nutrition Policies and Programs
HNFE 5334,Clinical Nutrition Care Applications
HNFE 5344,Nutrition Counseling for Behavior Change
HNFE 5354,Food for Optimal Health
HNFE 5394,Prof Pract Nutrition Dietetics
HNFE 5414,Disordered Eating &amp; Body Image
HNFE 5454,Nutrition and Disease Prevention Through the Life Cycle
HNFE 5474,Human Exercise Testing: Physiology and Biomechanics
HNFE 5644G,Advanced Health Counseling
HNFE 5684,Program Development in Health Education
HNFE 5694,Public Health Policy and Administration
HNFE 5754,Internship in Human Nutrition and Foods
HNFE 5764,Externship in Human Nutrition and Foods
HNFE 5804,Exercise Physiology
HNFE 5904,Project and Report
HNFE 5954,Study Abroad
HNFE 5964,Field Work/Practicum
HNFE 5974,Independent Study
HNFE 5984,Special Study
HNFE 5994,Research and Thesis
HNFE 6064,"Advanced Topics in Human Nutrition, Foods and Exercise"
HNFE 6234,Theory  and  Practice of Community-Based Participatory Research
HNFE 6984,Special Study
HNFE 7994,Research and Dissertation
HORT 1264,Landscape Skills Practicum
HORT 2134,Plants and Greenspaces in Urban Communities
HORT 2144,Indoor Plants
HORT 2164,Floral Design
HORT 2184,"Plants, Places, and Cultures in a Global Context"
HORT 2224,Horticulture Science and Industry
HORT 2234,Environmental Factors in Horticulture
HORT 2244,Plant Propagation
HORT 2304,Plant Biology
HORT 2834,Sustainable Agriculture Practicum
HORT 2964,Field Study
HORT 2974,Independent Study
HORT 2984,Special Study
HORT 3114,Wines and Vines
HORT 3324,Herbaceous Landscape Plants
HORT 3325,Woody Landscape Plants
HORT 3326,Woody Landscape Plants
HORT 3354,Trees in the Built Environment
HORT 3664,Hardscape Materials and Installation
HORT 4004,Horticulture Seminar
HORT 4205,Public Gardens Maintenance and Management
HORT 4206,Public Gardens Maintenance and Management
HORT 4324,Greenhouse Management
HORT 4334,Greenhouse and Controlled Environment Agriculture Management
HORT 4344,Production of Food Crops in Controlled Environment Agriculture
HORT 4504,Landscape Contracting
HORT 4545,Small Scale and Residential Landscape Design
HORT 4546,Small Scale and Residential Landscape Design
HORT 4554,Creating the Ecological City
HORT 4614,Ornamental Plant Production and Marketing
HORT 4644,Small Fruit Production
HORT 4654,Viticulture
HORT 4744,Plant Establishment and Environmental Design
HORT 4764,Vegetable Crops
HORT 4784,Vegetable Seed Production
HORT 4794,Medicinal Plants and Herbs
HORT 4835,Organic Vegetable Production
HORT 4836,Organic Vegetable Production
HORT 4845,Organic Vegetable Production Laboratory
HORT 4846,Organic Vegetable Production Laboratory
HORT 4964,Field Study
HORT 4974,Independent Study
HORT 4984,Special Study
HORT 4994,Undergraduate Research
HORT 5514,Plant Nutrition
HORT 5524,Advanced Plant Physiology and Metabolism I
HORT 5764G,Advanced Vegetable Crops
HORT 5784G,Advanced Vegetable Seeds
HORT 5904,Project and Report
HORT 5974,Independent Study
HORT 5984,Special Study
HORT 5994,Research and Thesis
HORT 7994,Research and Dissertation
HR 5974,Independent Study
HR 6984,Special Study
HTM 1414,Introduction to Hospitality and Tourism Management
HTM 1984,Special Study
HTM 2104,Careers in Hospitality and Tourism
HTM 2314,Introduction to International Business
HTM 2434,Hospitality Sales
HTM 2454,Global Travel &amp; Tourism Management
HTM 2464,Designing the Service Experience
HTM 2474,Introduction to Meetings  and  Convention Management
HTM 2514,Catering Management
HTM 2954,Hospitality and Tourism Study Abroad
HTM 2964,Field Study
HTM 2974,Independent Study
HTM 2984,Special Study
HTM 3044,Private Club Management
HTM 3244,Franchising and Ownership in the Services Industries
HTM 3414,Chef Lab: Culinary Operations Management
HTM 3424,Event Management
HTM 3444,Hospitality Financial Management
HTM 3484,Socio-Cultural Impacts of Tourism
HTM 3524,Lodging Management
HTM 3900,Bridge Experience
HTM 3954,HTM Study Abroad
HTM 3984,Special Study
HTM 4334,Sustainable Entrepreneurship and Innovation in Hospitality &amp; Tourism
HTM 4354,Information Technology and Social Media in Hospitality and Tourism
HTM 4414,Restaurant Management: Design and Innovation
HTM 4434,Event and Experience Management Senior Workshop
HTM 4444,Winery Tourism
HTM 4454,Hospitality Revenue Management
HTM 4464,Human Resources Management in the Hospitality Industry
HTM 4474,Hospitality &amp; Tourism Law
HTM 4484,International Tourism
HTM 4514,Hospitality Market Data Analysis
HTM 4954,Study Abroad
HTM 4964,Field Study in HTM
HTM 4974,Independent Study
HTM 4984,Special Study
HTM 4994,Undergraduate Research
HTM 5024,International Service Management
HTM 5424,Human Resource Management
HTM 5444,Financial Management in the Hospitality Service Industries
HTM 5454,Hospitality and Tourism Marketing Strategy and Policy
HTM 5464,Franchising in Hospitality Management
HTM 5514,Contemporary Problems in the Hospitality Industry
HTM 5534,Strategic Management and Competitive Strategy in the Hospitality Industries
HTM 5554,Qualitative Research Methods in Business
HTM 5564,Information Technology and Business Analytics in Hospitality and Tourism
HTM 5574,Revenue Management for Hospitality Services
HTM 5614,Current Issues in Travel and Tourism Management
HTM 5904,Project and Report
HTM 5944,Graduate Seminar
HTM 5954,Study Abroad
HTM 5964,Field Study
HTM 5974,Independent Study
HTM 5984,Special Study
HTM 5994,Research and Thesis
HTM 6414,The Concept of Service in the Hospitality Service Industries
HTM 6424,Human Resources Management in the Service Industry
HTM 6434,Theory Development for Hospitality and Service Management
HTM 6444,Advanced Quantitative Methods for Hospitality Applications
HTM 6454,Hospitality Marketing Research Problems
HTM 6464,Research Foundations in Hospitality and Tourism Management
HTM 6524,Seminar in Tourism Management Research
HTM 6974,Independent Study
HTM 6984,Special Study
HTM 7994,Research and Dissertation
HUM 1024,Introductory Humanities: Great Books
HUM 1054,Virginia Tech Prison Book Project
HUM 1324,Introductory Humanities: The Modern World
HUM 1504,Introduction to Popular Culture
HUM 1604,Introduction to Humanities and the Arts
HUM 1704,Introduction to Appalachian Studies
HUM 1984,Special Study
HUM 1984A,Special Study
HUM 2104,Oral Traditions and Culture
HUM 2204,The Creative Process
HUM 2404,Folk Cultures in Appalachia
HUM 2504,Introduction to American Studies
HUM 2964,Field Study
HUM 2974,Independent Study
HUM 2974H,Independent Study
HUM 2984,Special Study
HUM 3034,Theories of Popular Culture
HUM 3034H,Theories of Popular Culture
HUM 3204,Multicultural Communication
HUM 3204H,Multicultural Communication
HUM 3464,Appalachian Communities
HUM 3954,Study Abroad
HUM 4104,Explorations in Advanced Humanities Topics
HUM 4124,Topics in Culture
HUM 4414,Issues in Appalachian Studies
HUM 4964,Field Study
HUM 4974,Independent Study
HUM 4974H,Independent Study
HUM 4984,Special Study
HUM 4994,Undergraduate Research
HUM 4994H,Undergraduate Research
HUM 5104,Historical  and  Theoretical Frameworks in Material Culture  and  Public Humaniti
HUM 5204,Research Methods in Material Culture and Public Humanities
HUM 5304,Material Culture and Humanities in the Public Sphere
HUM 5584,Topics in Public Humanities
HUM 5904,Project and Report
HUM 5974,Independent Study
HUM 5984,Special Study
HUM 5994,Research and Thesis
IDS 1114,Play to Make
IDS 2015,Industrial Design Laboratory II
