"school","subject","course_code","course_name","credits","description"
"School of Humanities and Social Sciences","Humanities and Social Sciences","HSS-E 104","Topics in Social and Historical Studies","3 cr.","Specific topics will vary by section and over time, but all versions of E 104 will meet the objectives of the HSS TOPICS curriculum. The curriculum is open to freshmen and sophomores, who will learn how scholars from the social and historical studies distribution area frame questions, propose answers, and assess the validity of competing approaches. Writing and communication skills are integrated in the course."
"School of Humanities and Social Sciences","Humanities and Social Sciences","HSS-I 100","Intro to International Studies","3 cr.","This introductory, interdisciplinary course is required for all students in the International Studies Program.Â  It will expose students to various academic and disciplinary approaches (representing the social sciences, humanities, and natural sciences) essential to international studies.Â  Students will analyze critical global issues and gain a fuller understanding of the international system."
"School of Humanities and Social Sciences","Humanities and Social Sciences","HSS-S 200","Introduction to Leadership Studies","3 cr.","This course provides an overview of leadership theories and practices. It is offered in the hybrid format, meeting once per week on campus and once per week online."
"School of Humanities and Social Sciences","Humanities and Social Sciences","HSS-S 300","Leadership Practicum - Leadership in Action","1-2 cr.","This course provides hands-on experiences with leadership activities and events that provide a leadership opportunity. Students will take this class for three credits--either as three one-credit modules or as a one credit/two credit sequence."
"School of Humanities and Social Sciences","Humanities and Social Sciences","HSS-S 400","Leadership Capstone","3 cr.","This course is an applied, experiential learning course where students can practice the knowledge gained in other courses. It serves as a capstone for the minor and students will complete a semester-ling project"
"School of Humanities and Social Sciences","Humanities and Social Sciences","HSS-S 410","Interdisciplinary BA Seminar","3 cr.","P: Junior or senior standing. For students in the School of Sciences and the School of Humanities and Social Sciences. Interdisciplinary variable topics seminar for students completing a bachelor of arts. This course integrates diverse fields of knowledge upon analyzing local, national, and/or global issues. Students will work collaboratively to develop effective, interdisciplinary approaches to addressing enduring problems."
"School of Humanities and Social Sciences","Humanities and Social Sciences","HSS-X 101","Introduction to American Identities","3 cr.","An introduction to the study of personal and collective identity in the United States, including (but not limited to) ethnicity, class, gender, sexuality, and religion."
"School of Humanities and Social Sciences","Humanities and Social Sciences","HSS-X 401","American Identities Capstone Project","1-3 cr.","A guided study in which students research and complete a project on a selected aspect of American pluralism."
"School of Humanities and Social Sciences","Women and Gender Studies","WOST-W 350","Women: Images and Perspectives","3 cr.","Fall or spring. This interdisciplinary course studies how womenâs lives in America are shaped by social values; by cultural beliefs, traditions, and ideology; and by social, political, and economic institutions or policies. It also considers how these are reflected in imaginative literature as well as social reality."
"School of Humanities and Social Sciences","Fine Arts","FINA-A 101","Ancient and Medieval Art","3 cr.","A survey of major styles and monuments in art and architecture from prehistoric times to the end of the Middle Ages."
"School of Humanities and Social Sciences","Fine Arts","FINA-A 102","Renaissance Through Modern Art","3 cr.","A survey of major artists, styles, and movements in European and American art and architecture from the fifteenth century to the present."
"School of Humanities and Social Sciences","Fine Arts","FINA-A 200","Topics in Art History","3 cr.","Various topics in the history of art will be offered depending upon instructors and their area of expertise. May be repeated with a different topic for a maximum of 6 credit hours."
"School of Humanities and Social Sciences","Fine Arts","FINA-A 262","Introduction to Japanese Art and Culture","3 cr.","P: FINA-A 101, FINA-A 102. Awaiting Approval.  A historical survey of Japanese art in the context of culture, society, and politics; the arts of traditional Buddhism; ink painting and other arts associated with the Zen sect; the created landscape, in painting and garden design; historical narratives and scenes of ordinary life; and decorative and useful things, e.g., ceramics, lacquer, textiles, and âgolden screens.â"
"School of Humanities and Social Sciences","Fine Arts","FINA-A 280","Art of the Comics","3 cr.","Analysis of the visual and narrative language of comics from the earliest newspaper strips to the graphic novels of today."
"School of Humanities and Social Sciences","Fine Arts","FINA-A 333","From Van Eyck to Vermeer","3 cr.","P: FINA-A 101, FINA-A 102. Survey of major artists and themes in Netherlandish painting from the fifteenth to the seventeenth century."
"School of Humanities and Social Sciences","Fine Arts","FINA-A 340","Topics in Modern Art","3 cr.","Special topics in the history and study of nineteenth and twentieth-century European and American art. May be repeated with different topics for a maximum of 6 credits."
"School of Humanities and Social Sciences","Fine Arts","","","","A study of contemporary art from 1960 to the present.Â"
"School of Humanities and Social Sciences","New Media, Art, & Technology","NMAT-D 207","Intro to Visual Communication","3 cr.","P: ENG-W 131. This course looks at the visual aspects of print and electronic communication. It deals with issues of page design, visuals and other graphics, from practical, historical, and theoretical perspectives. Students will produce visual designs, including flyers and brochures."
"School of Humanities and Social Sciences","New Media, Art, & Technology","NMAT-D 216","Digital Media Studio 1: Still Images","3 cr.","Still images and Digital Imaging.Â  Introductory work in the use of digital media tools, image manipulation, and digital photography in the creation of art."
"School of Humanities and Social Sciences","New Media, Art, & Technology","NMAT-D 217","Typography I","3 cr.","This course is an introduction to the aesthetics, mechanics, history, terminology, specifications, and use of type in design. Typefaces will be evaluated and rendered in a variety of studio assignments using both hand written and computer techniques."
"School of Humanities and Social Sciences","New Media, Art, & Technology","NMAT-D 257","Graphic Design I","3 cr.","Emphasis on visual communication through the perceptive use of line, form, and color. Elementary study of letter forms and typography. Introduction to basic tools, drawing disciplines of graphic design, and computer graphics.*"
"School of Humanities and Social Sciences","New Media, Art, & Technology","NMAT-D 277","Design Center: Introduction to Graphic Design Production and Practice","3 cr.","P: Instructor permission required. This course introduces and focuses on the interaction graphic designers have with clients & printers and gaining professional graphic design skills.Â D 277 and D 377 run concurrently,Â serving real client (non for profit) needs, each semester.Â"
"School of Humanities and Social Sciences","New Media, Art, & Technology","NMAT-D 316","Digital Media II: Time Based Art","3 cr.","P: NMAT-D 216 An exploration of time-based work, including video creation, video editing and audio for video in the creation of art."
"School of Humanities and Social Sciences","New Media, Art, & Technology","NMAT-D 317","Typography II","3 cr.","P: NMAT-D 217 This is an advanced course in type design. Typefaces will be created and evaluated in a variety of studio assignments using both hand written and computer techniques. In this course you will learn to produce work that is conceptual and/or practical, for physical and/or digital media. Exploration will be driven by a combination of larger studio/lab projects and a series of smaller lecture/demos. Projects and assignments will require reading, research, writing, design work and critique."
"School of Humanities and Social Sciences","New Media, Art, & Technology","NMAT-D 326","Digital Illustration I","3 cr.","Course explores basic development of digital illustrations for use in graphic design.*"
"School of Humanities and Social Sciences","New Media, Art, & Technology","NMAT-D 327","Beginning 3D Modeling","3 cr.","Introduction to generating 3D model assets for animation and video game development. Topics include hard-surface model development, materials and mat generation, generative node programming, topology flow, rigging characters, and simplistic animation cycles. Students will use industry standard software to bring projects from concept to completion following best practices.Â"
"School of Humanities and Social Sciences","New Media, Art, & Technology","NMAT-D 336","Sound in Context: Audio for Film, Video & Interaction","3 cr.","P: NMAT-D 216. Sound in Context is a lecture/lab course designed to introduce students to concepts of music and sound for a variety of media with a primary focus on creating original audio and/or sound tracks. Topics include music structures, production and editing, film and video synchronization, game audio, sound art, and other related topics."
"School of Humanities and Social Sciences","New Media, Art, & Technology","NMAT-D 346","Animation","3 cr.","Explore creating digital 2-D animation"
"School of Humanities and Social Sciences","New Media, Art, & Technology","NMAT-D 347","Intermediate 3D Modeling","3-3 cr.","P: NMAT-D 327. 


Intermediate studio-based course for 3D modelling and animation. Topics include advanced hard-surface model practices, node programming, kinematic rigging, and further exploring animation cycles. Students will develop a core body of assets for a proposed world and will learn to optimize assets for game building engines.Â"
"School of Humanities and Social Sciences","New Media, Art, & Technology","NMAT-D 357","Graphic Design II","3 cr.","P: NMAT-D 257. Further studies exploring design principles. Students utilize both hand and digital methods to solve design problems creatively and effectively. Course includes typographic exploration."
"School of Humanities and Social Sciences","New Media, Art, & Technology","NMAT-D 367","Identity Design & Branding","3 cr.","P: NMAT-D 257. Teaches how to create a visual identity that communicates the essential qualities desired by the particular business."
"School of Humanities and Social Sciences","New Media, Art, & Technology","NMAT-D 377","Design Center: Graphic Design Production & Practice","3 cr.","P: NMAT-D 257 and instructor approval. Graphic Design Production and Practice is a unique community outreach learning opportunity, providing design services to the greater Kokomo area. The students will work in a design studio environment, invest in their community and gain vast knowledge and experience. The aim here is to develop a strong portfolio that moves beyond consisting of solely hypothetical assignments into being a showcase of actual/published client based projects that a student developed from concept to actualization/production."
"School of Humanities and Social Sciences","New Media, Art, & Technology","NMAT-D 416","Advanced Digital Media Studio","3 cr.","P: NMAT-D 316 or instructor consent. This course will explore the creative use of the digital image in still and moving formats.Â  Emphasis will be on the possibilities provided by this advanced technology and the growing sets of delivery options available. Students will learn to think and adopt creative approaches to photography and cinematography/videography through a set of challenging class projects, exercises, demonstrations, and presentations."
"School of Humanities and Social Sciences","New Media, Art, & Technology","NMAT-D 426","Advanced Digital Illustration","3 cr.","P: NMAT-D 326. Using the pre-requisite D 326 Introduction to Digital Illustration (formerly N 312) as a springboard, this course will encourage self expression and diversity while primarily focusing on illustrative work that is directly tied to Graphic Design based creative briefs. The aim here is to develop strong portfolio pieces."
"School of Humanities and Social Sciences","New Media, Art, & Technology","NMAT-D 467","Publication & Editorial Design","3 cr.","P: NMAT-D 257. A publication and editorial design course that tackles multiple paged printed and bound documents, beginning with magazines and transitioning to focus upon the book format for the bulk of the course. It currently operates primarily within InDesign, while utilizing other software from the Adobe suite, such as Photoshop and Illustrator."
"School of Humanities and Social Sciences","New Media, Art, & Technology","NMAT-F 101","Core Foundations: Tier 1--Block 1","3 cr.","Each block consists ofÂ three five week sectionsÂ under umbrella topicsÂ taught by differentÂ NMAT faculty.Â The faculty rotate in order to expose the students to a wideÂ rangeÂ of experiences andÂ creativeÂ approaches.Â TheÂ scopeÂ and flexibilityÂ of the topicsÂ establishesÂ a solidÂ foundation ofÂ traditional and digitalÂ skills aÂ long with theÂ critical thinkingÂ that is relevant to a contemporary practiceÂ in art and design."
"School of Humanities and Social Sciences","New Media, Art, & Technology","NMAT-F 102","Core Foundations: Tier 1--Block 2","3 cr.","Each block consists ofÂ three five week sectionsÂ under umbrella topicsÂ taught by differentÂ NMAT faculty.Â The faculty rotate in order to expose the students to a wideÂ rangeÂ of experiences andÂ creativeÂ approaches.Â TheÂ scopeÂ and flexibilityÂ of the topicsÂ establishesÂ a solidÂ foundation ofÂ traditional and digitalÂ skills aÂ long with theÂ critical thinkingÂ that is relevant to a contemporary practiceÂ in art and design."
"School of Humanities and Social Sciences","New Media, Art, & Technology","NMAT-F 103","Core Foundations: Tier 1--Block 3","3 cr.","Each block consists ofÂ three five week sectionsÂ under umbrella topicsÂ taught by differentÂ NMAT faculty.Â The faculty rotate in order to expose the students to a wideÂ rangeÂ of experiences andÂ creativeÂ approaches.Â TheÂ scopeÂ and flexibilityÂ of the topicsÂ establishesÂ a solidÂ foundation ofÂ traditional and digitalÂ skills aÂ long with theÂ critical thinkingÂ that is relevant to a contemporary practiceÂ in art and design."
"School of Humanities and Social Sciences","New Media, Art, & Technology","NMAT-F 201","Core Foundations: Tier 2--Block 1","3 cr.","P: NMAT-F 103.  Each block consists of two eight-week sections under umbrella topics taught by different NMAT faculty.Â  The faculty rotate in order to expose the students to a wide range of experiences and creative approaches.Â  The scope and flexibility of the topics establishes a solid foundation of traditional and digital skills a long with the critical thinking that is relevant to a contemporary practice in art and design."
"School of Humanities and Social Sciences","New Media, Art, & Technology","NMAT-F 202","Core Foundations: Tier 2--Block 2","3 cr.","P: NMAT-F 103. Each block consists of two eight-week sections under umbrella topics taught by different NMAT faculty.Â  The faculty rotate in order to expose the students to a wide range of experiences and creative approaches.Â  The scope and flexibility of the topics establishes a solid foundation of traditional and digital skills a long with the critical thinking that is relevant to a contemporary practice in art and design."
"School of Humanities and Social Sciences","New Media, Art, & Technology","NMAT-F 203","Core Foundations: Tier 2--Block 3","3 cr.","P: NMAT-F 103.  Each block consists of two eight-week sections under umbrella topics taught by different NMAT faculty.Â  The faculty rotate in order to expose the students to a wide range of experiences and creative approaches.Â  The scope and flexibility of the topics establishes a solid foundation of traditional and digital skills a long with the critical thinking that is relevant to a contemporary practice in art and design."
"School of Humanities and Social Sciences","New Media, Art, & Technology","NMAT-F 250","Connected Foundations","3 cr.","P: NMAT-F 201 Connected Foundations is the capstone of the core foundations program. The course will help students synthesize the foundation learning to help build the momentum, awareness, and confidence for majors to excel in their junior and senior years.Â The course is one week long and involves experiences at a retreat center off campus."
"School of Humanities and Social Sciences","New Media, Art, & Technology","NMAT-G 341","Independent Study In New Media, Art & Technology","1-6 cr.","In-depth projects and studies of special topics closely related to existing areas of concentration within New Media, Art & Technology.  May be repeated."
"School of Humanities and Social Sciences","New Media, Art, & Technology","NMAT-G 346","Classics in Philosophy of Art","3 cr.","P: 3 cr. of Philosophy. Readings from ancient to contemporary philosophers on the definition of art, the nature of beauty, the relationship of art to society, and other related topics. This course must be taken on the IU Kokomo campus."
"School of Humanities and Social Sciences","New Media, Art, & Technology","NMAT-G 398","Internship In New Media, Art & Technology","1-3 cr.","P: Consent of the instructor. The Internship in New Media, Art, & Technology has two components: the service-learning portion, where you work on location in your internship (40 hours/1 credit); and the academic portion, where you earn a grade and receive credit toward your degree.  May be repeated once for credit, but no more than 6 credits total may be earned."
"School of Humanities and Social Sciences","New Media, Art, & Technology","NMAT-G 405","Concepts and Images","3 cr.","This advanced study course covers the understanding and use of critical theory in the contemporary world. Questions such as, in what ways does theory help in thinking and understanding the world. This course will explore, through the visual arts, contemporary critical theory and how we use it to be better thinkers, writers, students, and citizens of the world."
"School of Humanities and Social Sciences","New Media, Art, & Technology","NMAT-G 411","New Media Theory","3 cr.","P: ENG-W 131.  This course examines various theories of new media communication and its effects on the world. Theories of design, criticism and computer-mediated communication will be explored. After taking this course, students should be able to critique new media and their societal effects."
"School of Humanities and Social Sciences","New Media, Art, & Technology","NMAT-G 491","Professional Practices","3 cr.","P: Junior or higher status or instructor approval.  Senior Seminar is the culminating capstone course for students majoring in New Media, Art, and Technology. This course marks the end of your undergraduate experience and, as such, asks you to reflect upon your undergraduate experience, demonstrate the academic abilities you have gained over the course of your academic career, and prepare for the next stages of your professional and educational life."
"School of Humanities and Social Sciences","New Media, Art, & Technology","NMAT-G 499","Senior Thesis Capstone","1-3 cr.","Centers around the senior thesis exhibition.Â  A body of work that is conceived, proposed, researched, developed, critiqued, reviewed, and exhibited in the annual spring senior thesis exhibition.  Repeatable for a total of 3 cr"
"School of Humanities and Social Sciences","New Media, Art, & Technology","NMAT-H 258","History of Graphic Design","3 cr.","Explore how the technologies used in graphic design have evolved, and research the consequences of those changes."
"School of Humanities and Social Sciences","New Media, Art, & Technology","NMAT-H 358","Fierce Women and Political Art","3 cr.","The study of the creative works of women that are socially engaged, politically subversive, and sometimes branded as âdangerousâ by the dominant culture. Special attention will be given to issues of social inequality and political justice."
"School of Humanities and Social Sciences","New Media, Art, & Technology","NMAT-S 100","Fundamental Studio Drawing","3 cr.","This course is designed to introduce the drawing student to the foundation principles of drawing from observation. Through direct observation of objects, interiors, and figures students will explore different materials. Proportion, structure and composition will be covered. Students in this class work with graphite pencils, charcoal, conte crayon and pen. Students will be encouraged to find their own personal expressive creativity through various assignments."
"School of Humanities and Social Sciences","New Media, Art, & Technology","NMAT-S 110","Fundamental Studio-2D","3 cr.","This course will involve a comprehensive study of design elements and principles as basic means of organizing two-dimensional space. There will be an emphasis on inventiveness and an exploration of many media."
"School of Humanities and Social Sciences","New Media, Art, & Technology","NMAT-S 112","Fundamental Studio-3D","3 cr.","Volume, space, material, and physical properties studies provide the basis for exploration of three-dimensional form; includes carving, construction, modeling and casting. Materials that will be used are wood, plaster, metal and found objects."
"School of Humanities and Social Sciences","New Media, Art, & Technology","NMAT-S 200","Drawing II","3 cr.","P: S 100 Fundamental Studio Drawing.  This course is designed to expand upon the drawing studentâs knowledge of foundation principles of drawing from observation. Through the exploration of materials and direct observation of objects, interiors, and figures students will create advanced drawing projects. Students in this class work with colored pastels, pen and ink and colored pencils Students will be encouraged to find their own personal expressive creativity through various assignments."
"School of Humanities and Social Sciences","New Media, Art, & Technology","NMAT-S 230","Painting I","3 cr.","In this course you will work throughout the semester learning and practicing observational painting techniques using acrylic paint, discovering how the artist creates and composes a well-rounded painting. It is the goal of this course to provide, in addition to the skill and knowledge necessary to make dynamic paintings, a background in aesthetics and history. Each student is expected to build upon a good foundation of drawing, design and color theory, with interest in the craft of materials, and the challenge to creatively express yourself through painting."
"School of Humanities and Social Sciences","New Media, Art, & Technology","NMAT-S 240","Introduction to Printmaking Media","3 cr.","This course will provide an introduction to the basic techniques of Monotype, Relief, Intaglio, and Silkscreen Printmaking. The course will provide the beginning student with the basic terminology of printmaking and an understanding of contemporary prints."
"School of Humanities and Social Sciences","New Media, Art, & Technology","NMAT-S 260","Ceramics I","3 cr.","This course is designed to introduce students to the basic skills of ceramics. You will learn how to manipulate clay in various ways to create 3D works of art. Projects are designed to introduce skills with allowance for creative thought and personal input."
"School of Humanities and Social Sciences","New Media, Art, & Technology","NMAT-S 270","Sculpture I","3 cr.","This course deals with the contemporary practice of object making & sculptural theory. The instructor will explore the possible visual and sculptural outcomes of working with processes and materials."
"School of Humanities and Social Sciences","New Media, Art, & Technology","NMAT-S 300","Drawing III","3-6 cr.","P: S 200. This course is designed to advance the drawing studentâsÂ knowledge of materials and principlesÂ through experimentation and investigation of oneâs own research. Through the exploration of materials and research of subject matter the student will create advanced drawing projects. Students in this class work with non-traditional drawing materials and tools. Students will be encouraged to find their own personal expressive creativity through various assignments.  May be repeated once."
"School of Humanities and Social Sciences","New Media, Art, & Technology","NMAT-S 302","Advanced Drawing","3-6 cr.","This course is designed to train the advanced art student the foundation of drawing from the human figure. Through direct observation of live models and anatomical drawing aids will help the students learn to sight and translate. Proportion and structure will be stressed. Â Gesture, line quality, value, composition, and human anatomy will be studied. A variety of techniques and approaches to drawing will allow each student to find their own personal expressive creativity. Conceptual figurative issues will be considered in the work in the last part of the semester.  May be repeated once."
"School of Humanities and Social Sciences","New Media, Art, & Technology","NMAT-S 322","Exploration of Materials and Process","3-6 cr.","P: NMAT-F 203 This course will explore diverse art mediums and ways of working. The student may use printmaking, clay, metal, plastics, sculpture, photography and drawing in mixed media projects. The projects will involve different methods of working including intentional and intuitive methods of planning as well as collaborative works. The elements and principles of design will be infused within the objectives of the projects.  May be repeated once."
"School of Humanities and Social Sciences","New Media, Art, & Technology","NMAT-S 330","Painting II","3-6 cr.","In this course you will work throughout the semester learning and practicing observational painting techniques discovering how the artist creates and composes a well-rounded painting using oil paints. It is the goal of this course to provide, in addition to the skill and knowledge necessary to make dynamic paintings, a background in aesthetics and history. Each student is expected to build upon a good foundation of drawing, design and color theory, with interest in the craft of materials, and the challenge to creatively express yourself through painting.  May be repeated once."
"School of Humanities and Social Sciences","New Media, Art, & Technology","","","","P: NMAT-S 230 - Painting I. Landscape painting on location throughout the surrounding region--including investigation of color, light, application of materials, and linear and atmospheric perspective."
"School of Humanities and Social Sciences","New Media, Art, & Technology","NMAT-S 340","Intaglio Printmaking","3-6 cr.","This course will provide intermediate studies in Intaglio Printmaking. The course will build on the basic terminology and techniques of printmaking studied in NMAT-S 240. There will be a continued focus on the study of contemporary prints.  May be repeated once."
"School of Humanities and Social Sciences","New Media, Art, & Technology","NMAT-S 342","Relief Printmaking","3-6 cr.","P: NMAT-S 240. This course will build on the basic printmaking techniques studied in the Introduction to Printmaking Media. It will provide advanced studies in Relief Printmaking with a focus on multiple block printing and color reduction printing with linoleum and wood. The course will build on the basic terminology of printmaking studied in the introductory course and will include a focus on contemporary prints.Â   May be repeated once."
"School of Humanities and Social Sciences","New Media, Art, & Technology","NMAT-S 344","Silkscreen Printmaking","3-6 cr.","This course will provide intermediate studies in Printmaking with an introduction to the techniques of Silkscreen Printmaking. The course will build on the basic terminology and techniques of printmaking studied in NMAT-S 240, but it could be taken without previous printmaking experience. There will be a focus on the study of contemporary prints and printmaking.  May be repeated once."
"School of Humanities and Social Sciences","New Media, Art, & Technology","NMAT-S 350","Community Art Projects","1-3 cr.","This variable credit studio course will allow students to partner with local not-for-profit agencies and businesses to complete art projects including but not limited to murals and public sculptures. Under the direction of the faculty member, students will work with community members to establish a project plan including designs and materials budget.  Repeatable up to 6 cr."
"School of Humanities and Social Sciences","New Media, Art, & Technology","NMAT-S 360","Ceramics II","3-6 cr.","This course is designed to introduce students to the basic skills of wheel throwing. You will learn how to manipulate clay on the wheel to make vessels. Handles and learning how to trim and cut a foot are also a major skill that will be perfected in this semester. Projects are designed to introduce skills with allowance for creative thought and personal input.  May be repeated once."
"School of Humanities and Social Sciences","New Media, Art, & Technology","NMAT-S 370","Sculpture II","3 cr.","P: NMAT-S 270. This course deals with the contemporary practice of object making & sculptural theory. The instructor will explore the possible visual and sculptural outcomes of working with processes and materials.   Can be repeated once."
"School of Humanities and Social Sciences","New Media, Art, & Technology","NMAT-S 372","Sculpting the Human Form","3 cr.","P: NMAT-S 470 or permission of instructor. Instruction in the principles of modeling the human figure and achieving a basic proficiency in three-dimensional form--including study of the balance and proportion of the human figure."
"School of Humanities and Social Sciences","New Media, Art, & Technology","NMAT-S 430","Painting III","3-12 cr.","P: NMAT-S 230 Painting I, NMAT-S 330 Painting II. In this course you will work throughout the semester advancing your observational painting skills while combining abstract images and practicing how the artist creates and composes a well-rounded painting. It is the goal of this course to provide, in addition to the skill and knowledge necessary to make dynamic paintings, a background in aesthetics and history. Each student is expected to build upon a good foundation of drawing, design and color theory, with interest in the craft of materials, and the challenge to creatively express your ideas through painting.  Repeatable."
"School of Humanities and Social Sciences","New Media, Art, & Technology","NMAT-S 432","Advanced Painting","3-12 cr.","P: NMAT-S 230 Painting I, NMAT-S 330 Painting II, NMAT-S 430 Painting III. This is an advanced course in the use of photography and cinematography. The recent developments in digital cameras and the inclusion of video capabilities are compelling. The ability to use still and moving images are at the core of the cultural communications milieu and require our attention. This course will explore the creative use of the digital image in still and moving formats.Â  Emphasis will be on the possibilities provided by this advanced technology and the growing sets of delivery options available. Students will learn to think and adopt creative approaches to photography and cinematography/videography through a set of challenging class projects, exercises, demonstrations, and presentations.  Repeatable."
"School of Humanities and Social Sciences","New Media, Art, & Technology","NMAT-S 442","Advanced Printmaking","3-12 cr.","P: NMAT-S 240 Basic Printmaking Media, 300-level printmaking course. This course will build on the basic printmaking techniques studied in the Introduction to Printmaking Media. It will provide advanced studies in Relief Printmaking with a focus on multiple block printing and large scaled prints. The course will build on the basic terminology of printmaking studied in the introductory course and will include a focus on contemporary prints.  Repeatable."
"School of Humanities and Social Sciences","New Media, Art, & Technology","NMAT-S 444","Advanced Silkscreen Printmaking","3-12 cr.","P: NMAT-S 240 Basic Printmaking Media, NMAT-S 344 Silkscreen Printmaking. This course will provide advanced studies in Printmaking with a focus on the techniques of Silkscreen Printmaking. The course will build on the basic terminology and techniques of printmaking studied in NMAT-S 240 and NMAT-S 344. There will be a focus on the study of contemporary prints and printmaking.  Repeatable."
"School of Humanities and Social Sciences","New Media, Art, & Technology","NMAT-S 460","Ceramics III","3-12 cr.","P: NMAT-S 260 Ceramics I, NMAT-S 360 Ceramics II. This course is designed to advance students in skills of the ceramic arts. You will learn how to incorporate molds into your body of work. Â Slip casting will also be a major focus in this class and how you transform these casts into a body of work will make up the majority of the projects. Projects are designed to introduce skills with allowance for creative thought and personal input.  Repeatable."
"School of Humanities and Social Sciences","New Media, Art, & Technology","NMAT-S 470","Sculpture III","3 cr.","P: NMAT-S 270, NMAT-S 370 This course deals with the contemporary practice of object making & sculptural theory. The instructor will explore the possible visual and sculptural outcomes of working with processes and materials.  Repeatable."
"School of Humanities and Social Sciences","New Media, Art, & Technology","NMAT-S 472","Advanced Sculpture","3-12 cr.","(previously FINA-S 472) P: NMAT-S 270, NMAT-S 370, NMAT-S 470. This is an advanced course in object making and contemporary practices. This is an advanced course for juniors and seniors who are specializing in sculpture/object making in there degree and thesis for graduation.  Repeatable."
"School of Humanities and Social Sciences","New Media, Art, & Technology","NMAT-W 201","Introduction to New Media","3 cr.","P: ENG-W 131. This course is an introduction to New Media. Through readings and projects, students learn basic principles of web sites and other online communication, focusing on creating content, developing designs, and producing graphics. Particular attention is paid to learning web site creation and management software."
"School of Humanities and Social Sciences","New Media, Art, & Technology","NMAT-W 235","Web Design I","3 cr.","Teaches basic principles of web design and gives students practice creating sites using these principles through contemporary markup language."
"School of Humanities and Social Sciences","New Media, Art, & Technology","NMAT-W 265","JavaScript I","3 cr.","This course introduces students to the JavaScript programming language as a basis for creating interactive and time-based web design.Â  Students will focus on client-side web programming and will learn how to create highly dynamic and interactive web pages."
"School of Humanities and Social Sciences","New Media, Art, & Technology","NMAT-W 305","Art With Robotics","3 cr.","This course will explore human computer interaction through the intersection of physical and software based art. Students will work with contemporary issues and problems in the arts and technology through the investigation into the digital nature of the computing object.  Repeatable"
"School of Humanities and Social Sciences","New Media, Art, & Technology","NMAT-W 345","Programming for Artists","3 cr.","P: NMAT-W 245.  Teaches intermediate principles of web design and gives students practice creating sites using these principles and common website creation tools. Students should learn to produce professional-quality websites."
"School of Humanities and Social Sciences","New Media, Art, & Technology","NMAT-W 365","JavaScript II","3 cr.","This course discusses server-side Web programming using the PHP programming language. Through a detailed discussion of programming fundamentals, students will develop a comprehensive understanding of the server-side aspects of developing interactive Web applications. This course also offers an introductory overview of interfacing web applications with relational databases. Students are expected to develop real-world server-side Web applications."
"School of Humanities and Social Sciences","New Media, Art, & Technology","NMAT-W 445","Advanced Web Design","3 cr.","This course teaches advanced principles of web design and gives students practice creating sites using these principles and common website creation tools. Students will produce high-quality professional level websites."
"School of Humanities and Social Sciences","Undergraduate","PSY-B 388","Human Sexuality","3 cr.","P: PSY-P 103 and Sophomore standing.Â  Variable scheduling. A survey of human sexuality to increase knowledge and comfort regarding sexuality in a variety of aspects, i.e. sexual behavior and response, influences of culture and environmental factors, psychological issues, disability effects on sexuality, sexual research, anatomy and physiology"
"School of Humanities and Social Sciences","Undergraduate","PSY-B 421","Internship in Psychology","3 cr.","P: PSY-P 381 and consent of instructor. This course completes the clinical-focus (Helping Skills-Practicum) sequence for the IU Kokomo psychology major. Â By completing 120 hours of supervised work at an approved practicum site, students will engage in the experiential learning needed to prepare them for meaningful work in the field of psychology after graduation."
"School of Humanities and Social Sciences","Undergraduate","PSY-K 300","Statistical Techniques","3 cr.","Fall and Spring. P: MATH-M 118 or MATH-M 119 or equivalent. Introduction to statistics, nature of statistical data, ordering and manipulation of data, measures of central tendency and dispersion, elementary probability. Concepts of statistical inference decision- making, estimation, and hypothesis testing. Special topics include regression and correlation, analysis of variance, nonparametric methods."
"School of Humanities and Social Sciences","Undergraduate","PSY-P 103","General Psychology","3 cr.","Fall, Spring, and Summer. Introduction to psychology: its methods, data, and theoretical interpretations in areas of learning, sensory psychology, psychophysiology, individual differences, personality development, and abnormal and social psychology."
"School of Humanities and Social Sciences","Undergraduate","PSY-P 216","Life Span Developmental Psychology","3 cr.","Fall, Spring, and Summer. P: PSY-P 103. A survey course that integrates the basic concepts of physical, cognitive, and psychosocial development from the prenatal period to death. Throughout the life span, theories, research, and critical issues in developmental psychology are explored, with consideration of practical implications.Â Credit not to be given for both PSY-P 216 and PSY-P 316."
"School of Humanities and Social Sciences","Undergraduate","PSY-P 259","Introduction to Psychological Inquiry","3 cr.","P: PSY-P 103; ENG-W221 recommended. This course will provide psychology majors with an introduction to the basic processes of psychological inquiry. Students will be assisted in becoming more effective learners and critical thinkers, reading primary literature in psychology, and conducting basic survey research as well as learning about the most common methods in psychological research. This course will also include an overview of the psychology major and opportunities for graduate study and careers."
"School of Humanities and Social Sciences","Undergraduate","PSY-P 279","Introduction to Creative Arts Therapies","3 cr.","P: PSY-P 103. An introduction to the historical origins, theoretical approaches, and applications of various creative arts therapies including art, play, music, drama, equine, and poetry. Clinical population treatment settings, guiding ethical documents, and educational requirements for each discipline will be represented."
"School of Humanities and Social Sciences","Undergraduate","PSY-P 303","Health Psychology","3 cr.","P: PSY-P 103 and Sophomore standing. Focuses on the role of psychological factors in health and illness. Through readings, lecture, and discussion, students will become better consumers of research on behavior-health interactions and develop a broad base of knowledge concerning how behavior and other psychological factors can impact health both positively and negatively."
